identifier	cluster
2532889X_1946-08-14_01_082.tcf.xml-41-19	sense4
2532889X_1950-04-20_01_079.tcf.xml-36-1	sense4
2532889X_1955-02-22_01_076.tcf.xml-5-10	-1
2532889X_1961-03-01_01_115.tcf.xml-19-3	-1
2532889X_1962-02-02_01_083.tcf.xml-25-1	-1
2532889X_1962-09-23_01_096.tcf.xml-8-7	sense4
2532889X_1965-06-18_01_187.tcf.xml-46-46	sense4
2532889X_1966-05-09_01_147.tcf.xml-3-5	sense4
2532889X_1970-04-15_01_146.tcf.xml-2-19	sense4
2532889X_1980-08-28_01_138.tcf.xml-4-14	-1
2532889X_1983-05-16_01_206.tcf.xml-2-11	-1
2532889X_1985-04-03_01_073.tcf.xml-3-6	sense4
2532889X_1990-08-27_01_097.tcf.xml-12-16	sense4
26120215_1959_03_27_01_277.tcf.xml-2-11	-1
26120215_1961_06_01_01_180.tcf.xml-28-10	sense5
26120215_1963_12_13_01_118.tcf.xml-28-15	-1
26120215_1966_07_27_01_394.tcf.xml-9-7	-1
26120215_1967_06_13_01_027.tcf.xml-6-18	sense5
26120215_1968_11_10_01_157.tcf.xml-1-10	-1
26120215_1969_03_25_01_101.tcf.xml-12-9	-1
26120215_1972_01_25_01_112.tcf.xml-31-12	sense4
26120215_1973_09_02_01_116.tcf.xml-26-19	-1
26120215_1988_04_02_01_393.tcf.xml-1-14	sense4
26120215_1990_06_14_01_174.tcf.xml-2-10	sense4
26120215_1990_07_21_01_183.tcf.xml-3-9	-1
buechner_werke_1879-4191-22	-1
carus_zoologie_1872-8165-26	sense4
egger_vater_1895-1217-31	sense5
goethe_divan_1819-1436-40	sense5
hundtradowsky_judenschule03_1823-927-37	sense5
klueber_recht_1817-1265-25	sense4
kotzebue_kleinstaedter_1803-2568-10	sense5
kuernberger_amerikamuede_1855-1854-14	sense5
laband_staatsrecht01_1876-3007-23	sense5
laube_europa0102_1833-240-14	sense5
munzinger_japaner_1898-4946-19	sense4
nn_maehrisches300_1896-301-19	sense5
nn_maehrisches40_1889-79-2	sense4
nn_nrhz012013_1848-455-21	sense4
nn_nrhz117_1848-663-18	sense5
nn_nrhz133_1848-528-19	sense5
nn_nrhz142ii_1848-69-29	sense5
nn_nrhz189b_1849-222-76	sense4
nn_nrhz231b_1849-54-4	sense5
ranke_reformation01_1839-585-20	sense5
rein_japan01_1881-4452-28	sense5
robert_griechische_1881-1366-6	-1
savigny_system01_1840-2586-21	sense3
steub_tirol_1846-6476-16	sense5
treitschke_geschichte05_1894-2281-17	sense5
