identifier	cluster
2532889X_1950-05-07_01_127.tcf.xml-15-4	sense1
2532889X_1951-03-28_01_048.tcf.xml-76-13	sense3
2532889X_1958-11-27_01_040.tcf.xml-55-0	-1
2532889X_1958-11-30_01_011.tcf.xml-4-13	sense3
2532889X_1962-03-02_01_062.tcf.xml-38-10	sense1
2532889X_1963-04-03_01_066.tcf.xml-66-12	sense3
2532889X_1965-01-19_01_055.tcf.xml-14-19	sense1
2532889X_1968-05-07_01_098.tcf.xml-4-7	-1
2532889X_1970-04-02_01_150.tcf.xml-46-49	sense3
2532889X_1973-03-29_01_375.tcf.xml-0-27	sense1
2532889X_1977-07-28_01_097.tcf.xml-5-39	sense1
2532889X_1978-06-24_01_211.tcf.xml-16-13	sense1
2532889X_1980-02-09_01_592.tcf.xml-2-15	sense1
2532889X_1984-02-01_01_082.tcf.xml-17-7	sense1
2532889X_1988-09-10_01_026.tcf.xml-19-7	-1
26120215_1948_06_19_01_181.tcf.xml-3-7	sense1
26120215_1949_09_09_01_190.tcf.xml-28-6	sense1
26120215_1962_06_23_01_221.tcf.xml-6-4	sense1
26120215_1962_08_28_01_163.tcf.xml-56-14	sense1
26120215_1966_09_18_01_339.tcf.xml-259-41	sense1
26120215_1971_07_25_01_162.tcf.xml-12-21	sense1
26120215_1973_04_09_01_003.tcf.xml-5-19	sense1
26120215_1982_05_13_01_282.tcf.xml-11-110	-1
26120215_1985_08_08_01_180.tcf.xml-27-1	sense1
26120215_1989_01_09_01_036.tcf.xml-43-4	sense1
bluntschli_voelkerrecht_1868-505-6	-1
lehnert_seehaefen01_1891-13281-14	sense1
ludwig_physiologie01_1852-2025-67	-1
ludwig_physiologie01_1852-2873-59	-1
marx_kapital01_1867-9505-91	-1
mohr_fachwerk02_1875-128-9	-1
mohr_fachwerk02_1875-154-31	-1
mueller_festigkeitslehre_1886-1881-15	-1
mueller_festigkeitslehre_1886-210-2	-1
mueller_festigkeitslehre_1886-294-9	-1
mueller_festigkeitslehre_1886-303-5	-1
mueller_festigkeitslehre_1886-444-21	-1
mueller_festigkeitslehre_1886-490-17	-1
mueller_festigkeitslehre_1886-551-15	-1
mueller_festigkeitslehre_1886-592-16	-1
rein_japan01_1881-1660-24	-1
schubert_naturwissenschaft_1808-2638-7	-1
treitschke_geschichte01_1879-10728-61	sense1
valentin_entwicklungsgeschichte_1835-6748-32	-1
vischer_aesthetik030201_1852-237-57	-1
vischer_aesthetik030204_1857-1437-18	-1
wundt_medizinische_1867-1513-1	-1
wundt_medizinische_1867-4089-20	-1
wundt_medizinische_1867-4731-41	-1
wundt_medizinische_1867-4736-4	-1
