identifier	cluster
2532889X_1953-02-10_01_044.tcf.xml-10-21	sense3
2532889X_1955-01-08_01_051.tcf.xml-8-26	-1
2532889X_1962-01-24_01_024.tcf.xml-27-17	-1
2532889X_1963-05-11_01_043.tcf.xml-39-20	-1
2532889X_1965-11-13_01_042.tcf.xml-46-32	sense3
2532889X_1966-02-13_01_235.tcf.xml-6-18	-1
2532889X_1967-09-06_01_168.tcf.xml-11-39	sense3
2532889X_1974-07-30_01_113.tcf.xml-14-25	sense3
2532889X_1975-10-25_01_181.tcf.xml-9-26	-1
2532889X_1980-12-03_01_045.tcf.xml-3-41	sense1
2532889X_1984-01-05_01_103.tcf.xml-24-11	sense3
26120215_1948_10_07_01_023.tcf.xml-7-19	-1
26120215_1959_04_01_01_224.tcf.xml-5-11	-1
26120215_1960_06_26_01_343.tcf.xml-20-8	-1
26120215_1960_07_17_01_533.tcf.xml-19-26	-1
26120215_1963_10_03_01_130.tcf.xml-21-10	-1
26120215_1966_05_07_01_285.tcf.xml-15-13	-1
26120215_1967_06_17_01_056.tcf.xml-9-32	sense3
26120215_1971_04_18_01_468.tcf.xml-8-12	-1
26120215_1978_03_18_01_155.tcf.xml-9-13	sense3
26120215_1979_05_26_01_341.tcf.xml-15-24	sense4
26120215_1984_06_19_01_036.tcf.xml-17-20	-1
26120215_1985_06_08_01_028.tcf.xml-6-31	sense3
26120215_1988_07_06_01_125.tcf.xml-3-19	-1
26120215_1990_05_03_01_342.tcf.xml-390-28	sense3
beck_eisen03_1897-10544-29	-1
dickens_weihnachtsabend_1844-903-11	-1
goethe_leben01_1811-2459-6	-1
grimm_maerchen02_1837-2514-36	-1
grimm_maerchen02_1843-2690-36	-1
grimm_maerchen02_1850-3047-35	-1
grimm_maerchen02_1857-3091-35	-1
hauptmann_henschel_1899-268-9	-1
immermann_muenchhausen04_1839-342-16	-1
ledebur_eisenhuettenkunde_1884-14941-36	-1
ledebur_eisenhuettenkunde_1884-5694-22	-1
ledebur_eisenhuettenkunde_1884-5861-14	sense4
ledebur_eisenhuettenkunde_1884-5998-32	-1
ledebur_eisenhuettenkunde_1884-6299-15	-1
ledebur_eisenhuettenkunde_1884-6302-29	sense4
menzel_maurer_1847-4284-5	sense4
munzinger_japaner_1898-448-4	-1
nn_maehrisches71_1886-490-16	sense5
nn_nrhz296_1849-189-4	-1
polenz_buettnerbauer_1895-6066-22	sense4
wanderley_bauconstructionslehre01_1877-1526-77	sense4
wanderley_bauconstructionslehre01_1877-2488-7	sense4
wanderley_bauconstructionslehre01_1877-3217-23	-1
wanderley_bauconstructionslehre02_1878-1492-27	sense4
wanderley_bauconstructionslehre02_1878-4862-11	-1
