data	kri_full	kri_annotatorA,annotatorB	kri_annotatorA,annotatorC	kri_annotatorB,annotatorC	cohen_kappa_annotatorA,annotatorB	cohen_kappa_annotatorA,annotatorC	cohen_kappa_annotatorB,annotatorC	cohen_kappa_mean	ita_annotatorA,annotatorB	ita_annotatorA,annotatorC	ita_annotatorB,annotatorC	ita_mean	judgments_None	judgments_others	judgments_total
full	0.8674022038182758	0.8447226713092721	0.8874716338167626	0.8865034881789365	0.8447351696185531	0.8874646565531322	0.8864799312186071	0.8728932524634309	0.847985347985348	0.889990089197225	0.8889934148635936	0.8756562840153889	119	134	3481
Abgesang	0.7749546279491832	0.7033333333333334	1.0	0.8402777777777778	0.7026431718061674	1.0	0.837962962962963	0.8468687115897101	0.8666666666666667	1.0	0.9428571428571428	0.9365079365079364	1	19	149
Armenhaus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2	1	148
Dynamik	0.6427672955974844	0.5995316159250585	0.6598056032018296	0.6260504201680672	0.5970149253731343	0.6606538895152199	0.6226415094339622	0.6267701081074387	0.8125	0.8372093023255813	0.8222222222222222	0.8239771748492678	2	5	148
Eintagsfliege	0.9074252651880425	0.9010025062656641	0.8986842105263158	0.9099378881987578	0.899749373433584	0.8973684210526316	0.9089026915113871	0.9020068286658676	0.95	0.9487179487179487	0.9545454545454546	0.9510878010878011	16	3	134
Engpaß	0.9171461449942463	0.9583150504607284	0.9148351648351648	0.916958041958042	0.9578947368421052	0.9139194139194139	0.916083916083916	0.9292993556151451	0.9791666666666666	0.9574468085106383	0.9583333333333334	0.9649822695035462	4	0	146
Fuß	0.9178680646570555	0.9377718300434928	0.9665187575635337	0.9059859154929577	0.9371657754010695	0.9661290322580645	0.9049964813511612	0.9360970963367651	0.9574468085106383	0.9761904761904762	0.9333333333333333	0.9556568726781492	4	4	146
Knotenpunkt	0.2642019837691614	0.12854757929883143	0.8381374722838137	0.05245901639344264	0.24714828897338403	0.8370044052863437	0.16457142857142848	0.41624137427705205	0.5909090909090908	0.9189189189189189	0.6046511627906976	0.7048263908729023	6	7	144
Manschette	0.8154746754899466	0.7837222538417757	0.8577013291634089	0.8257946210268949	0.7820658342792282	0.85625	0.824390243902439	0.8209020260605557	0.9166666666666666	0.9565217391304348	0.9375	0.9368961352657005	2	2	148
Mißklang	0.5704779189352692	0.5921052631578947	0.6044444444444443	0.5303030303030303	0.5924855491329479	0.6003552397868561	0.53	0.5742802629732681	0.8723404255319149	0.8888888888888888	0.8297872340425532	0.863672182821119	5	1	145
Ohrwurm	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	16	2	134
Rezeption	0.7705426356589147	0.8350340136054422	0.8986415882967607	0.6710963455149501	0.8338983050847457	0.8977035490605428	0.6721311475409836	0.8012443338954242	0.9591836734693877	0.9795918367346939	0.92	0.9529251700680272	1	0	149
Schmiere	0.8152173913043479	0.8462448255470136	0.7616136919315404	0.8064516129032258	0.8441558441558441	0.7602905569007263	0.8050541516245487	0.8031668508937063	0.8787878787878788	0.8181818181818181	0.8666666666666667	0.8545454545454545	22	2	128
