lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2
abbauen	1_2	161	61	100	[77, 49, 26, 2, 1, 1, 1]	[3, 42, 15, 1, 0, 0, 0]	[74, 7, 11, 1, 1, 1, 1]	[0.49, 0.312, 0.166, 0.013, 0.006, 0.006, 0.006]	[0.049, 0.689, 0.246, 0.016, 0.0, 0.0, 0.0]	[0.771, 0.073, 0.115, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.7189538828	1	5	1	5
abdecken	1_2	152	52	100	[64, 53, 22, 2, 1, 1, 1, 1, 1]	[29, 0, 13, 2, 1, 1, 1, 0, 0]	[35, 53, 9, 0, 0, 0, 0, 1, 1]	[0.438, 0.363, 0.151, 0.014, 0.007, 0.007, 0.007, 0.007, 0.007]	[0.617, 0.0, 0.277, 0.043, 0.021, 0.021, 0.021, 0.0, 0.0]	[0.354, 0.535, 0.091, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	1	1	0	0.6265338519	1	5	1	5
abgebrüht	1_2	164	64	100	[96, 65, 1]	[3, 60, 0]	[93, 5, 1]	[0.593, 0.401, 0.006]	[0.048, 0.952, 0.0]	[0.939, 0.051, 0.01]	0	0	0	0.8473402158	1	5	1	5
Abgesang	1_2	200	100	100	[114, 57, 14, 9, 1]	[98, 2, 0, 0, 0]	[16, 55, 14, 9, 1]	[0.585, 0.292, 0.072, 0.046, 0.005]	[0.98, 0.02, 0.0, 0.0, 0.0]	[0.168, 0.579, 0.147, 0.095, 0.011]	1	1	0	0.7690516069	1	5	1	5
Ackergerät	1_2	153	53	100	[149]	[52]	[97]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
Armenhaus	1_2	200	100	100	[120, 77, 1, 1]	[94, 5, 0, 0]	[26, 72, 1, 1]	[0.603, 0.387, 0.005, 0.005]	[0.949, 0.051, 0.0, 0.0]	[0.26, 0.72, 0.01, 0.01]	0	0	0	0.6414268435	1	5	1	5
artikulieren	1_2	159	59	100	[112, 29, 7, 1, 1, 1, 1, 1, 1]	[21, 29, 5, 1, 1, 1, 1, 0, 0]	[91, 0, 2, 0, 0, 0, 0, 1, 1]	[0.727, 0.188, 0.045, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006]	[0.356, 0.492, 0.085, 0.017, 0.017, 0.017, 0.017, 0.0, 0.0]	[0.958, 0.0, 0.021, 0.0, 0.0, 0.0, 0.0, 0.011, 0.011]	1	0	1	0.6389759208	1	5	1	5
aufrechterhalten	1_2	140	40	100	[137]	[39]	[98]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	4	1	5
Ausnahmegesetz	1_2	159	59	100	[157, 1]	[57, 1]	[100, 0]	[0.994, 0.006]	[0.983, 0.017]	[1.0, 0.0]	0	0	0	0.0931384151	1	5	1	5
ausspannen	1_2	200	100	100	[91, 57, 24, 9, 7, 2, 2, 1, 1, 1]	[77, 1, 13, 0, 2, 2, 0, 1, 0, 0]	[14, 56, 11, 9, 5, 0, 2, 0, 1, 1]	[0.467, 0.292, 0.123, 0.046, 0.036, 0.01, 0.01, 0.005, 0.005, 0.005]	[0.802, 0.01, 0.135, 0.0, 0.021, 0.021, 0.0, 0.01, 0.0, 0.0]	[0.141, 0.566, 0.111, 0.091, 0.051, 0.0, 0.02, 0.0, 0.01, 0.01]	1	1	0	0.7220599794	1	5	1	5
Behandlung	1_2	200	100	100	[141, 14, 7, 7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[71, 7, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[70, 7, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0.709, 0.07, 0.035, 0.035, 0.015, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.717, 0.071, 0.02, 0.03, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.7, 0.07, 0.05, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.3950672203	1	5	1	5
beimischen	1_2	200	100	100	[103, 90, 2, 1, 1, 1, 1, 1]	[47, 49, 0, 1, 1, 1, 1, 0]	[56, 41, 2, 0, 0, 0, 0, 1]	[0.515, 0.45, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.47, 0.49, 0.0, 0.01, 0.01, 0.01, 0.01, 0.0]	[0.56, 0.41, 0.02, 0.0, 0.0, 0.0, 0.0, 0.01]	0	0	0	0.2010178256	1	5	1	5
