data	avg_judgment_no	kri_full	kri_annotator7,mean_others	kri_annotator6,mean_others	kri_annotator6,annotator7	kri_annotator5,mean_others	kri_annotator5,annotator7	kri_annotator5,annotator6	kri_annotator4,mean_others	kri_annotator4,annotator7	kri_annotator4,annotator6	kri_annotator4,annotator5	kri_annotator3,mean_others	kri_annotator3,annotator7	kri_annotator3,annotator6	kri_annotator3,annotator5	kri_annotator3,annotator4	kri_annotator2,mean_others	kri_annotator2,annotator7	kri_annotator2,annotator6	kri_annotator2,annotator5	kri_annotator2,annotator4	kri_annotator2,annotator3	kri_annotator1,mean_others	kri_annotator1,annotator7	kri_annotator1,annotator6	kri_annotator1,annotator5	kri_annotator1,annotator4	kri_annotator1,annotator3	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator7	kri_annotator0,annotator6	kri_annotator0,annotator5	kri_annotator0,annotator4	kri_annotator0,annotator3	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator6,annotator7	kri2_annotator5,annotator7	kri2_annotator5,annotator6	kri2_annotator4,annotator7	kri2_annotator4,annotator6	kri2_annotator4,annotator5	kri2_annotator3,annotator7	kri2_annotator3,annotator6	kri2_annotator3,annotator5	kri2_annotator3,annotator4	kri2_annotator2,annotator7	kri2_annotator2,annotator6	kri2_annotator2,annotator5	kri2_annotator2,annotator4	kri2_annotator2,annotator3	kri2_annotator1,annotator7	kri2_annotator1,annotator6	kri2_annotator1,annotator5	kri2_annotator1,annotator4	kri2_annotator1,annotator3	kri2_annotator1,annotator2	kri2_annotator0,annotator7	kri2_annotator0,annotator6	kri2_annotator0,annotator5	kri2_annotator0,annotator4	kri2_annotator0,annotator3	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator7,mean_others	spr_annotator6,mean_others	spr_annotator6,annotator7	spr_annotator5,mean_others	spr_annotator5,annotator7	spr_annotator5,annotator6	spr_annotator4,mean_others	spr_annotator4,annotator7	spr_annotator4,annotator6	spr_annotator4,annotator5	spr_annotator3,mean_others	spr_annotator3,annotator7	spr_annotator3,annotator6	spr_annotator3,annotator5	spr_annotator3,annotator4	spr_annotator2,mean_others	spr_annotator2,annotator7	spr_annotator2,annotator6	spr_annotator2,annotator5	spr_annotator2,annotator4	spr_annotator2,annotator3	spr_annotator1,mean_others	spr_annotator1,annotator7	spr_annotator1,annotator6	spr_annotator1,annotator5	spr_annotator1,annotator4	spr_annotator1,annotator3	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator7	spr_annotator0,annotator6	spr_annotator0,annotator5	spr_annotator0,annotator4	spr_annotator0,annotator3	spr_annotator0,annotator2	spr_annotator0,annotator1	ham_mean_weighted	ham_mean	ham_annotator7,mean_others	ham_annotator6,mean_others	ham_annotator6,annotator7	ham_annotator5,mean_others	ham_annotator5,annotator7	ham_annotator5,annotator6	ham_annotator4,mean_others	ham_annotator4,annotator7	ham_annotator4,annotator6	ham_annotator4,annotator5	ham_annotator3,mean_others	ham_annotator3,annotator7	ham_annotator3,annotator6	ham_annotator3,annotator5	ham_annotator3,annotator4	ham_annotator2,mean_others	ham_annotator2,annotator7	ham_annotator2,annotator6	ham_annotator2,annotator5	ham_annotator2,annotator4	ham_annotator2,annotator3	ham_annotator1,mean_others	ham_annotator1,annotator7	ham_annotator1,annotator6	ham_annotator1,annotator5	ham_annotator1,annotator4	ham_annotator1,annotator3	ham_annotator1,annotator2	ham_annotator0,mean_others	ham_annotator0,annotator7	ham_annotator0,annotator6	ham_annotator0,annotator5	ham_annotator0,annotator4	ham_annotator0,annotator3	ham_annotator0,annotator2	ham_annotator0,annotator1	overlap_annotator6,annotator7	overlap_annotator5,annotator7	overlap_annotator5,annotator6	overlap_annotator4,annotator7	overlap_annotator4,annotator6	overlap_annotator4,annotator5	overlap_annotator3,annotator7	overlap_annotator3,annotator6	overlap_annotator3,annotator5	overlap_annotator3,annotator4	overlap_annotator2,annotator7	overlap_annotator2,annotator6	overlap_annotator2,annotator5	overlap_annotator2,annotator4	overlap_annotator2,annotator3	overlap_annotator1,annotator7	overlap_annotator1,annotator6	overlap_annotator1,annotator5	overlap_annotator1,annotator4	overlap_annotator1,annotator3	overlap_annotator1,annotator2	overlap_annotator0,annotator7	overlap_annotator0,annotator6	overlap_annotator0,annotator5	overlap_annotator0,annotator4	overlap_annotator0,annotator3	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_annotator3	judgments_annotator4	judgments_annotator5	judgments_annotator6	judgments_annotator7	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	1.7282878858830735	0.6660656010180743	0.4779806484466049	0.6264917686725607	0.23390049824179893	0.5805406161993316	0.33441964795629464	0.5228766056694564	0.603346799205877	0.4532287104546784	0.5670336166775016	0.5284208217155765	0.6872524048502472	-0.017627813522818725	0.43317120900281725	0.35597332360181067	0.43089390911811964	0.6652407719701212	-0.06383362202144105	0.14628745216728234	0.035876031231725225	0.06864486352562416	0.6596442497105182	0.7308295549800468	0.3714683566394773	0.5076055898771623	0.4433302445067153	0.5002521624189971	0.6066876003861001	0.5556733312989901	0.744348865264243	0.5687694452410046	0.32363001013656956	0.2972811525406843	0.36137461941349736	0.6450740063887013	0.5988541308016588	0.7299401689065165	0.6754050896296939	0.3484240372894708	0.5670857972354947	0.6469364316178852	0.4449438220483023	0.5427729326131101	0.5388356592649824	0.2341168176719729	0.5346024610105922	0.5002826508760194	0.40988572919113975	0.17719040876406522	0.4005661309804811	0.3639357561597234	0.15051671379987686	0.686906425257512	0.5488931137565194	0.6291551090195324	0.6181693307268562	0.5161402103581383	0.6341122379916109	0.6197618156534712	0.6671010618844582	0.47348326938471663	0.49962946935261954	0.3747808609758084	0.6240131112367304	0.6189873959872052	0.7413178828184496	0.6068308817141304	0.44242680723642064	0.5398836232629594	0.6391670615937667	0.26322965208883153	0.597826223816684	0.3574134764655929	0.5424450904603819	0.6546354987638292	0.48667752147196747	0.5881411575868125	0.5529126583920387	0.7398619319981824	0.158402022954588	0.4739081232857924	0.46779573825764476	0.5054899042602141	0.7031764936646563	0.01233985369220595	0.1591755929207108	0.12770338058146344	0.11404841058387115	0.662814399513271	0.748968406817377	0.4041384093075677	0.5200374449334073	0.4432496683378937	0.5306707086387975	0.684482169843637	0.6267299194568651	0.7639303990039724	0.5681753311748774	0.3585398672914316	0.30661468766806504	0.3692592786330846	0.7071075874351535	0.659009821597024	0.7374387257865879	0.5138506696019078	0.4609501349094779	nan	nan	0.4714285714285714	nan	0.4920634920634921	0.5122549019607843	nan	0.3484848484848485	0.49390243902439024	0.42000000000000004	nan	0.28301886792452835	0.44613259668508287	0.3802588996763754	0.43982808022922637	nan	0.36585365853658536	0.40937500000000004	0.3913043478260869	0.3281733746130031	0.6029301277235162	nan	0.5042016806722689	0.508641975308642	0.5388888888888889	0.4012269938650307	0.49644081202214607	0.4899925871015567	nan	0.5057471264367817	0.48674698795180726	0.5102564102564102	0.41625615763546797	0.5681753487048107	0.518860662047729	0.576158940397351	70	63	408	66	492	400	106	724	618	698	41	320	276	323	2662	119	810	720	815	3793	2698	87	415	390	406	3513	2598	3624	10218	11575	7134	10944	2488	2491	2467	662	47979	6116	11553	10530	17907	1873
abbauen	1.7794316644113668	0.602961155888081	0.38304747700720854	0.6461151346616144	nan	0.6589201687998725	-0.5	0.690898534997287	0.4521006341122429	0.7311827956989247	0.490685671375538	0.46261072834645667	0.7006451407918464	0.0	0.5141504244764099	0.7434175751569211	0.5848053745769013	0.5137079346591629	0.0	0.009271978021977989	0.07083333333333319	-0.281931014576418	0.5558707875665349	0.6395697534065639	0.3700000000000001	0.6900793650793651	0.6990012337029365	0.07954731835328854	0.6231192712108353	0.47394986159463004	0.7271979472369143	0.5833333333333333	0.42334054834054835	0.20138888888888884	-0.1530920060331824	0.7593990150409117	0.5174989736300767	0.7458316873348821	0.676263825357452	1.0	0.354481959220892	0.7542055193872885	0.7759264897914	0.39738007523906727	0.3918112568871791	0.5061849993091116	0.6035651982836738	0.7906178109311786	0.5658391665898832	0.2218088479314858	0.35085975409142356	0.47219174825396615	-0.4665486857036909	0.6575842016828592	0.5913268919852483	0.7814756055117181	0.7891777171776697	0.08989553151548868	0.7255979290993326	0.6092922466071748	0.7024933154090958	0.7057450795555305	0.5525717051293707	-0.022319703603165708	0.8301077569848117	0.6218744030023913	0.8257653689567954	0.6062490088735971	0.5308525931631037	0.7676103107863972	0.6936623866906046	nan	0.6603890832884504	nan	0.7036648538754232	0.6319708665735255	0.8660254037844387	0.6684516860129376	0.5044575756006716	0.7052522124499501	nan	0.5321713028189051	0.7560348886150521	0.6417641446776221	0.5813788922442191	nan	0.08247860988423224	0.0	0.05776364076147507	0.6617022043453268	0.6387437221337676	0.3333333333333334	0.7030240925300195	0.7360165633416202	0.20559619360481904	0.6284659297448798	0.5127800832668824	0.7323507403223309	1.0	0.3982683982683982	0.1656431155326294	0.5204164998665332	0.7610666204292789	0.5510515241342503	0.7502855714857591	0.5742574257425742	0.48056975120497014	nan	nan	1.0	nan	0.0	0.6	nan	0.33333333333333337	0.4137931034482759	0.4375	nan	0.5	0.5666666666666667	0.75	0.5277777777777778	nan	0.5	0.375	0.5	0.07692307692307687	0.6164383561643836	nan	0.25	0.5833333333333333	0.7241379310344828	0.29032258064516125	0.6636363636363636	0.540983606557377	nan	0.33333333333333337	0.5	0.25	0.15384615384615385	0.6162790697674418	0.6612903225806452	0.691358024691358	1	2	25	3	29	16	2	30	24	36	2	8	8	13	73	4	36	29	31	110	61	3	12	8	13	86	62	81	231	302	154	291	107	103	109	18	1315	82	548	256	400	29
abdecken	1.8097165991902835	0.7885536468426569	0.6167452830188679	0.7231472786092888	-0.5	0.8404385089838001	0.0	0.7788089225589225	0.4674356138660558	nan	0.2737462714392246	0.3895933014354067	0.811638154082998	0.5375	0.409402949318569	0.6950381935138032	0.12852668504134301	0.7506930007259341	0.0	0.44592985842985844	0.37568226120857695	-0.055606129570626495	0.7124911162069458	0.8569400737376274	0.0	0.754801975970413	0.744643463398073	0.21899437850288173	0.828034685781942	0.6707895876415952	0.8441842149017865	0.28481240981240985	0.5461348175633891	0.7094396908639249	0.41235132951802533	0.817885272951043	0.6917235158389674	0.853713978480221	0.7786477288205262	-0.3006016619551417	0.5061849993091116	0.8271512193461394	nan	0.008415012732700622	0.2568174009529619	0.761643877493691	0.5707977206936112	0.761115763923194	-0.12162449874555836	0.5696546394805946	0.686196833692775	0.6322292457540573	-0.2005118419827221	0.7188713142893228	0.7345117002191016	0.8250731591835745	0.8071322806517996	-0.07649586819249587	0.8270224017963236	0.7401768951572585	0.484128209522931	0.6810072585494038	0.7975475186567447	0.3519985706636022	0.8235111734431336	0.7241909462819542	0.8515328247505993	0.7303981131199022	0.6606275554822341	0.6495698024616309	0.736863566300411	nan	0.8442813746993902	nan	0.7692370735483758	0.7706572188957028	nan	0.5393598899705937	0.7320879213920561	0.8160046397269659	0.5443310539518174	0.4119638201042898	0.6896209692805161	0.588538587287927	0.8038723469160997	nan	0.4279199322415188	0.43448435580964495	0.8172694126965068	0.7476739005229934	0.8626398364861759	nan	0.7634567761349889	0.7461043685550327	0.6971998388434032	0.8290698932631505	0.6957040420633309	0.8510195070380103	0.31180478223116176	0.5942737688741095	0.7356469741582815	0.7106777049506506	0.826746262118663	0.7280202096474129	0.8532422384449588	0.6263982102908277	0.5150083411964625	nan	nan	0.0	nan	0.5	0.8333333333333334	nan	nan	0.41666666666666663	0.4545454545454546	nan	0.5	0.65625	0.6428571428571428	0.19999999999999996	nan	0.0	0.625	0.5833333333333333	0.15384615384615385	0.5977011494252873	nan	0.6666666666666667	0.696969696969697	0.6666666666666667	0.2962962962962963	0.7477477477477478	0.6853932584269663	nan	0.4285714285714286	0.5714285714285714	0.7333333333333334	0.125	0.7755102040816326	0.6081081081081081	0.74	2	2	12	0	12	11	4	32	28	30	1	16	12	13	87	3	33	30	27	111	89	7	21	15	24	98	74	100	274	310	206	280	78	81	83	29	1341	267	486	149	401	38
abgebrüht	1.8103161397670549	0.7836305163701196	nan	0.7614489036053832	nan	0.619022795912457	nan	0.08333333333333348	0.7369747840478202	nan	0.8618654073199528	0.0	0.7705956192758346	nan	0.8865357142857143	0.40078834209269	0.8294283036551078	0.8523787099222617	nan	0.9	0.79	0.5416666666666667	0.932813226200323	0.8541745471365113	nan	0.36363636363636365	0.5475206611570248	0.2920310015898252	0.7873820098049386	0.8622880531059589	0.7032606338544842	nan	0.10666666666666669	-0.13636363636363624	-0.40000000000000013	0.4892414983302775	0.7133169691560051	0.8606685571327369	0.7021258557854402	nan	nan	0.25165230189278054	nan	0.803786866943605	0.52714120589359	nan	0.9032253508309559	0.5833573861504284	0.7603397054667005	nan	0.9361196837243493	0.8637756306617494	0.30758063484956266	0.9416699944901816	nan	0.6090110253771226	0.6778596915814356	0.11400322215719472	0.7303016979455115	0.846647565178781	nan	0.011434025322617503	-0.062343056261151775	-2.2012938986036947	0.27321524493539007	0.6069101507614343	0.7332364317651927	0.7981639655461291	0.61227181420324	nan	0.8225705251876965	nan	0.7066694957615673	nan	0.48000000000000004	0.7920716067768404	nan	1.0	nan	0.865183795860775	nan	0.9246929112180865	0.516886561221819	0.9710083124552245	0.8994729522059057	nan	0.9128709291752768	0.8333333333333335	1.0	0.9402847825902354	0.8817111211028947	nan	0.4472135954999579	0.5493502655735357	0.3651483716701107	0.8870203555761784	0.8970106932647851	0.8036227791121804	nan	0.25	-0.5000000000000001	-0.5773502691896257	0.7081421309052377	0.7790582672463624	0.8607660435242808	0.5363321799307958	0.48149945019799517	nan	nan	nan	nan	nan	0.33333333333333337	nan	nan	0.5714285714285714	0.6666666666666667	nan	nan	0.7857142857142857	0.5	0.5454545454545454	nan	nan	0.9	0.75	0.33333333333333337	0.9193548387096774	nan	nan	0.2727272727272727	0.375	0.25	0.46464646464646464	0.5333333333333333	nan	nan	0.19999999999999996	0.0	0.25	0.2857142857142857	0.4444444444444444	0.7303370786516854	0	0	6	0	7	3	0	14	14	11	0	10	4	6	62	0	11	8	8	99	60	0	5	3	4	91	63	89	255	267	222	272	23	24	25	0	1088	254	239	60	458	77
Abgesang	1.591337099811676	0.46902900325919394	0.5830143540669857	0.493525961853856	0.79	0.5848180908065885	0.0	0.5237659483748237	0.471750200284506	0.17571059431524538	0.2958476549506598	0.7050517254398551	0.48834658175401335	-0.37368421052631584	0.3661720193565272	0.366310849366028	0.1005882493603385	0.22283335245323077	0.0	-0.18598000824402305	-0.5174743892828999	-0.4736509669369928	0.1725894193017613	0.5821505127677968	0.11928571428571422	0.2528736165041643	0.45144455521527405	0.3721688401348464	0.30996119573045544	0.12456784788245445	0.4682120985341931	-0.5	0.30466350865730163	0.5261083743842365	0.2325905292479108	0.3226672510470301	-0.10622898880051945	0.4185212105615692	0.4753965345951069	0.7014180210533214	0.5696546394805946	0.6359954335180371	-0.13399602808484512	0.0881762489654283	0.5792909049322297	-0.30664345795610815	0.5126625613816176	0.3739080854892256	-0.37170458402991335	0.1329322253632388	0.1188551869376755	-0.2918673440622932	-1.2094602908667875	0.36478618499959636	0.40397859962036686	0.6082564426027812	0.6030943458239955	0.22134519262354013	0.44642760954185645	0.29183807129902817	-0.1110837515544989	0.4037507176377475	0.40802807704935995	-0.079402376024851	0.20914802364614016	-0.15815685257077838	0.4308004510011627	0.4035924030932537	0.2974358440621725	0.6461179375507606	0.5048284515436204	0.8333333333333335	0.5875314715826129	nan	0.552561671371143	0.6003976755477451	0.21997067253202998	0.4412420238184623	0.7381297589023309	0.5784762243043196	-0.25	0.4059820916260833	0.5137563976600656	0.3947014083540265	0.38651409511444	nan	0.02868876552746235	-0.23990876793318108	-0.13660756688543274	0.18427866526074843	0.6093093319620029	0.15214515486254615	0.24664075728288812	0.45558438433345605	0.5749753469593915	0.44797336259661885	0.36270564390817833	0.6161171654028582	-0.9999999999999999	0.4720567261914779	0.6168627652634953	0.395376145113647	0.6013061463451191	0.1960992304859064	0.5254778287066872	0.38752783964365256	0.34144592493247866	nan	nan	0.75	nan	0.0	0.4666666666666667	nan	0.16666666666666663	0.2068965517241379	0.46875	nan	0.0	0.3695652173913043	0.5	0.23684210526315785	nan	0.0	0.25	0.16666666666666663	0.09999999999999998	0.44067796610169496	nan	0.6	0.5882352941176471	0.5800000000000001	0.15094339622641506	0.5053763440860215	0.3928571428571429	nan	0.5	0.30000000000000004	0.44999999999999996	0.33333333333333337	0.36111111111111116	0.24	0.4358974358974359	4	1	30	6	29	32	5	46	34	38	1	16	12	20	59	5	51	50	53	93	56	2	20	20	15	72	50	78	229	367	120	318	206	200	200	50	1690	256	550	298	517	69
Ackergerät	1.6940639269406392	-0.01617848996881266	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.17469678713596948	nan	nan	nan	nan	-0.1735106566378739	nan	nan	nan	nan	nan	-0.04482212042778899	nan	nan	nan	nan	-0.2107900943396226	-0.3076923076923077	0.11394812874845972	nan	nan	nan	nan	-0.125	-0.11666666666666647	0.15955338266384778	0.49227929375326973	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	0.3737665770664452	0.2495693270707462	nan	nan	nan	nan	0.5580941134883031	0.5797603287161317	0.47118875402331306	0.16642014349621959	0.16642014349621959	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09282391399476916	nan	nan	nan	nan	nan	nan	0.1290860777335546	nan	nan	nan	nan	nan	nan	0.16642014349621959	0.7087912087912088	0.7107843137254902	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	0.625	0.5	nan	nan	nan	nan	nan	0.75	0.7647058823529411	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	32	26	0	0	0	0	32	34	32	98	97	80	96	0	0	0	0	371	0	1	69	293	8
Armenhaus	1.6195826645264848	0.6989439271409731	0.8351239669421487	0.41537285684053293	-0.41666666666666696	0.6864185381740648	1.0	0.612603305785124	0.6484203135472865	0.0	-0.09171826625387003	0.8484848484848484	0.725611248880012	-0.25	0.4315126050420167	0.15654761904761894	0.6511830153134501	0.7244519492840444	0.3055555555555556	0.502056766762649	-0.38437001594896336	0.1785714285714286	0.6248543123543123	0.754768156308399	1.0	0.007070947284978257	0.8618082153496319	0.7624803921568628	0.5551036745112967	0.523494241192412	0.7872394833078838	1.0	-0.14471652914559496	0.6904761904761905	0.35526315789473684	0.5556204818908992	0.596961612067995	0.8371620115881742	0.7525685830412647	0.051013235743778695	1.0	0.7123498470787659	0.1329322253632388	0.4026687986497759	0.8813747113403542	0.559514342541654	0.7163479353880249	0.4072500191952283	0.711180753632215	0.4875939477287137	0.6826270349862542	0.314939543821698	0.4893654635220688	0.6784136727869969	1.0	0.43299569576802677	0.9237851627970464	0.8504850795905738	0.6653281227460834	0.6686901209574279	1.0	0.373344981535893	0.9372720662662044	0.6288004721543512	0.6241407351444638	0.6553151997342002	0.8962394369134496	0.650489721927242	0.6544629051962642	0.9332565252573827	0.6651859280485768	nan	0.8049820096062923	1.0	1.0	0.7820570306028035	nan	0.8432740427115679	0.8539125638299665	0.7631181912128423	nan	0.46872321512141907	0.25495538671064694	0.6974241628757661	0.7333846652626391	0.2721655269759087	0.6708203932499368	nan	0.14433756729740646	0.6230338563323043	0.8111042450371796	1.0	0.4309462113704066	0.904534033733291	0.7585826061362605	0.6565318227990281	0.6217387327152419	0.7949585819489539	1.0	0.3278388278388278	0.733799385705343	0.36826252042614555	0.6223424355337974	0.6069764029367924	0.8469100304102797	0.6241935483870968	0.5764741656594196	nan	nan	0.0	nan	1.0	0.375	nan	0.0	0.1875	0.9230769230769231	nan	0.33333333333333337	0.5294117647058824	0.44999999999999996	0.6666666666666667	nan	0.75	0.4545454545454546	0.36363636363636365	0.5	0.7115384615384616	nan	1.0	0.19999999999999996	0.7777777777777778	0.84	0.5882352941176471	0.5555555555555556	nan	1.0	0.19999999999999996	0.9285714285714286	0.6923076923076923	0.6212121212121212	0.6595744680851063	0.8333333333333334	2	4	8	1	16	13	3	17	20	21	4	11	11	12	52	4	25	27	25	68	45	4	15	14	13	66	47	72	199	227	119	194	80	78	73	39	1009	0	407	140	455	7
artikulieren	1.792817679558011	0.5371931512569902	0.2551364115841964	0.4244843490179323	0.13805970149253732	0.3389604470257147	0.360576923076923	0.8542990966878554	0.6078785361579675	0.976027397260274	0.3859907508321305	0.5804977145759268	0.6030517570591809	-0.0351945854483926	0.05403277180067967	0.2841785150078989	0.5114152823492073	0.44252985652661214	-0.41666666666666696	-0.04513888888888884	-0.3486394557823129	0.19831223628691985	0.4802299435747316	0.6053840716288934	-0.22550000000000003	0.283114670734808	-0.16563106796116522	0.3664173356982824	0.4449302379129655	0.2350487819027246	0.6297492155089846	0.9234167893961709	0.37626378238144287	0.17454545454545456	0.5893430656934306	0.4136804332866424	0.25725285638667095	0.5341131765204832	0.5719109778499242	-0.23061781938963066	0.4069539172152631	0.822989749293755	0.959964114985839	0.25677726807490653	0.6521127558120061	0.15070477182072783	0.20136120945240388	0.46064726190370464	0.471039402836572	0.051013235743778695	0.3423165939637691	0.29128000254585973	0.3239465062262622	0.6750747325758913	0.011826059830578273	0.3622596615145096	0.06403063532485431	0.42844161814370785	0.6254648771940556	0.4429465385919036	0.9243751112017445	0.31151819874850883	0.35960983584301887	0.5483351337314173	0.4823573030163969	0.42384349722320125	0.5627179391506644	0.4793860538136305	0.43802031486805154	0.6121512445274803	0.47998426512162107	0.019999999999999997	0.33895049044224385	0.8164965809277261	0.9617163101410254	0.6555104556841245	1.0	0.38348930952338034	0.7336077053167659	0.6711434058984427	0.7532435771547095	0.2021044720651457	0.40352777045431215	0.6711042067823597	0.5725928733522649	nan	-0.061721339984836754	-0.2545875386086578	0.5388159060803247	0.5654396616326386	0.6300936109085513	-0.22514363231593693	0.343192324775723	-0.2336528316926781	0.42950240142026236	0.5139523697182915	0.38754398603361634	0.7560491812970772	0.9393364366277241	0.44910457051140923	0.1432229748078866	0.6756487025948102	0.5952792247140791	0.4352422712771712	0.6400830814801399	0.38742138364779866	0.4009239788176733	nan	nan	0.5	nan	0.25	0.5714285714285714	nan	0.75	0.5294117647058824	0.5454545454545454	nan	0.09999999999999998	0.28125	0.35	0.5185185185185186	nan	0.0	0.5	0.1428571428571429	0.30000000000000004	0.4629629629629629	nan	0.4	0.275	0.19999999999999996	0.28125	0.3545454545454545	0.4482758620689655	nan	0.8571428571428572	0.5	0.4545454545454546	0.5333333333333333	0.3870967741935484	0.375	0.35779816513761464	6	4	7	4	17	11	10	32	20	27	2	8	7	10	54	10	40	15	32	110	58	7	28	11	15	93	48	109	270	309	154	278	85	83	90	29	1298	300	277	361	287	73
aufrechterhalten	1.7276785714285714	0.2520165850398276	0.0	0.08333333333333337	nan	-0.5	nan	nan	0.12499999999999989	nan	nan	nan	0.405444346536032	nan	nan	nan	0.0	0.23795867411021787	0.0	-0.41666666666666696	nan	-0.41666666666666696	0.17364061247792562	0.23320548881541292	0.0	0.4444444444444444	nan	0.7777777777777778	0.3708640261912388	0.13469588916954933	0.30178127029211743	nan	0.0	-0.5	0.0	0.4107906291942427	0.31040177534642477	0.11275055064051098	0.49084556101716337	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	0.5696546394805946	0.5696546394805946	0.051013235743778695	1.0	0.051013235743778695	0.4360234030758542	0.5696546394805946	0.6882220232939904	1.0	0.8804243069726362	0.6444065698983041	0.3490084474720011	nan	0.1329322253632388	-0.3006016619551417	0.6478158054549041	0.6167776082910778	0.48618344730440965	0.3907030913256113	0.30374285897941256	0.3952978464997047	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	0.4117266637285473	nan	nan	nan	nan	0.28477312788457804	nan	nan	nan	nan	0.1825389134011986	0.2797531315464362	nan	0.5000000000000001	nan	0.8660254037844387	0.509198586466686	0.16977342726036354	0.29517678956222454	nan	nan	nan	nan	0.4052791725828859	0.39375151105989104	0.13581575744217372	0.5142857142857142	0.45006693931796526	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	0.0	nan	0.0	0.0	1.0	0.0	0.5357142857142857	nan	0.0	0.6666666666666667	1.0	0.6666666666666667	0.5666666666666667	0.37037037037037035	nan	nan	0.0	0.0	0.5	0.6764705882352942	0.5769230769230769	0.4418604651162791	0	0	0	0	0	0	1	1	0	1	1	2	1	2	28	1	3	1	3	30	27	0	1	2	2	34	26	43	103	98	77	96	4	3	4	2	387	1	25	132	222	7
Ausnahmegesetz	1.7155555555555555	-0.10138893858374187	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.19976415314921359	nan	nan	nan	nan	-0.2401128063776352	nan	nan	nan	nan	-0.028169014084507005	-0.2567816799577538	nan	nan	nan	nan	-0.36734693877551017	-0.4878048780487805	0.021756476555054083	nan	nan	nan	nan	-0.014285714285714235	-0.08333333333333326	-0.010683760683760868	0.42080100977095625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8400287486040188	nan	nan	nan	nan	0.18830725744215926	0.088210833370994	nan	nan	nan	nan	0.8886477690729792	0.6641192409293306	0.34543899974177505	0.032765098110796434	0.008180602745660764	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.2191780208047798	nan	nan	nan	nan	nan	0.14323514241781335	nan	nan	nan	nan	nan	-0.24618298195866548	0.1746048949099255	nan	nan	nan	nan	nan	-0.0747017880833996	0.3454265782790474	0.6619047619047619	0.655413630745699	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.9189189189189189	nan	nan	nan	nan	nan	0.4411764705882353	0.32258064516129037	nan	nan	nan	nan	nan	0.9444444444444444	0.8181818181818181	0.4871794871794872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	34	31	0	0	0	0	36	33	39	102	101	84	99	0	0	0	0	386	0	4	66	315	1
