identifier	cluster
fic_1833_7321.txt-2925-15	0
nf_1852_771569.txt-1631-28	0
nf_1834_755185.txt-1648-29	0
fic_1853_9158.txt-521-37	0
nf_1855_771880.txt-1208-5	0
nf_1830_754783.txt-1899-8	0
fic_1851_746.txt-661-3	0
fic_1848_1108.txt-565-11	0
nf_1834_755185.txt-797-5	0
fic_1835_1103.txt-3270-29	0
fic_1834_7047.txt-1088-9	0
fic_1821_8985.txt-298-12	0
fic_1853_3465.txt-1268-8	0
fic_1832_7177.txt-3105-6	0
fic_1856_3677.txt-3324-7	0
mag_1817_552967.txt-64-45	0
mag_1847_565700.txt-75-24	0
fic_1859_9192.txt-6675-14	0
mag_1858_506205.txt-554-52	0
nf_1843_748690.txt-348-66	0
fic_1847_7149.txt-2790-14	0
nf_1830_754783.txt-1434-25	0
fic_1852_2364.txt-2320-13	0
fic_1843_7074.txt-4254-6	0
fic_1854_9826.txt-5858-35	0
fic_1846_544.txt-1982-10	0
nf_1830_754783.txt-1477-11	0
mag_1853_504777.txt-129-34	0
fic_1823_7213.txt-2641-11	0
fic_1847_8805.txt-638-22	0
mag_1827_553810.txt-180-23	0
fic_1839_7048.txt-868-8	0
fic_1860_2807.txt-2043-13	0
mag_1855_505250.txt-366-17	0
fic_1827_7261.txt-2919-22	0
fic_1853_9040.txt-780-108	0
fic_1847_7124.txt-1094-15	0
fic_1835_7327.txt-1292-40	0
fic_1848_7341.txt-2494-10	0
fic_1834_8947.txt-1310-6	0
fic_1832_7176.txt-3143-9	0
fic_1822_7243.txt-1425-17	0
fic_1836_7053.txt-4705-44	0
mag_1835_554345.txt-434-24	0
fic_1860_8725.txt-688-11	0
nf_1846_748061.txt-1629-50	0
fic_1855_1273.txt-3055-19	0
fic_1859_9037.txt-623-40	0
fic_1854_3384.txt-4387-9	0
fic_1835_7134.txt-2829-19	0
nf_1821_747955.txt-44-9	0
fic_1823_8520.txt-284-26	0
fic_1855_2965.txt-1918-25	0
mag_1839_554746.txt-294-34	0
nf_1846_748061.txt-1579-15	-1
fic_1835_7016.txt-230-28	-1
fic_1855_2494.txt-3630-21	0
fic_1835_7172.txt-9258-4	0
fic_1854_3847.txt-2175-32	0
fic_1855_2630.txt-277-20	0
fic_1827_7261.txt-2548-6	0
fic_1835_7133.txt-1898-36	0
mag_1835_565001.txt-70-21	0
fic_1845_7162.txt-2475-11	0
fic_1842_7206.txt-895-2	0
fic_1856_9779.txt-1151-18	0
fic_1845_7183.txt-1799-5	0
fic_1855_2965.txt-1077-34	0
fic_1833_7321.txt-3604-1	0
fic_1851_746.txt-8848-1	0
fic_1835_7133.txt-2274-13	0
mag_1845_587513.txt-248-16	0
nf_1854_750818.txt-899-41	0
fic_1851_688.txt-829-16	0
nf_1843_748690.txt-314-6	0
fic_1851_1253.txt-771-3	0
fic_1843_7039.txt-4219-28	0
nf_1837_747898.txt-1114-2	0
mag_1845_522622.txt-438-21	0
fic_1839_7024.txt-815-6	0
mag_1856_566684.txt-67-18	0
fic_1856_2367.txt-1546-13	0
nf_1841_768644.txt-1558-4	0
fic_1857_3100.txt-3717-17	0
mag_1837_554476.txt-28-22	1
fic_1853_9040.txt-132-11	0
fic_1851_746.txt-408-0	-1
fic_1827_9758.txt-2531-6	0
fic_1821_8985.txt-288-24	0
fic_1841_799.txt-1159-18	0
fic_1851_1253.txt-48-11	0
nf_1837_747946.txt-390-1	0
fic_1835_1103.txt-2590-3	0
fic_1845_7316.txt-1628-3	0
fic_1845_7183.txt-1984-14	0
mag_1823_553451.txt-482-10	0
fic_1837_7273.txt-777-13	0
fic_1846_7036.txt-1026-17	0
fic_1851_746.txt-5047-7	0
nf_1833_747531.txt-1508-47	0
fic_1997_54621.txt-255-3	0
fic_1963_24513.txt-180-9	0
fic_1971_782009.txt-495-14	0
mag_2001_416301.txt-220-11	0
fic_1982_23959.txt-415-34	0
fic_1995_39254.txt-27-56	0
fic_2000_28763.txt-111-38	0
fic_1998_43332.txt-33-37	1
fic_1993_1040076.txt-1289-2	0
mag_1989_480911.txt-315-12	0
fic_1962_16286.txt-1450-9	0
fic_1976_782016.txt-4673-4	0
fic_1993_1040076.txt-716-18	0
fic_1983_780038.txt-3933-3	0
fic_1992_53514.txt-218-27	0
mag_2003_407669.txt-21-24	0
fic_1970_753.txt-715-8	0
fic_1993_1040085.txt-3491-27	0
mag_1998_400540.txt-41-7	0
fic_2007_52366.txt-849-7	0
mag_1983_492317.txt-154-10	0
fic_2002_30623.txt-389-14	0
news_2007_637100.txt-15-7	0
mag_1998_401802.txt-68-25	0
fic_1998_28261.txt-115-10	0
fic_1980_780048.txt-2137-4	0
fic_2006_51438.txt-95-32	0
fic_1995_39408.txt-174-24	0
news_1972_730128.txt-8-16	0
fic_1993_1040077.txt-3779-20	0
fic_2002_14561.txt-10-5	0
fic_2007_33740.txt-169-3	0
mag_1976_290953.txt-5-14	0
fic_1989_14062.txt-112-4	0
mag_2006_385869.txt-220-22	0
fic_1976_10607.txt-6044-11	0
mag_2005_417335.txt-110-2	0
news_1973_731044.txt-11-15	0
fic_1979_10650.txt-4490-4	0
mag_1986_331864.txt-3-3	0
fic_1979_16368.txt-854-10	0
fic_2003_31846.txt-130-49	0
fic_1983_10710.txt-2126-15	0
fic_1980_16260.txt-1152-19	0
fic_2002_14561.txt-618-8	0
mag_1973_491569.txt-183-47	0
news_2004_661054.txt-33-17	0
fic_2004_780513.txt-1938-47	0
mag_1990_387445.txt-29-17	0
fic_1996_13983.txt-1222-1	0
fic_1961_10405.txt-133-9	0
fic_2009_36450.txt-87-17	0
fic_1998_43802.txt-21-18	0
fic_1995_39362.txt-493-3	0
fic_1969_781999.txt-147-11	0
fic_1973_10568.txt-1650-9	0
fic_1992_40339.txt-79-31	0
fic_1984_10714.txt-3154-8	0
fic_1973_10566.txt-359-7	0
fic_1997_54828.txt-6-15	0
fic_2004_780503.txt-2051-9	0
fic_1995_39408.txt-194-29	0
fic_1963_13496.txt-829-3	0
fic_2003_48246.txt-1066-8	0
fic_1993_1040078.txt-5801-13	0
mag_1963_243808.txt-5-22	0
mag_1996_383822.txt-35-17	0
fic_1993_25033.txt-4939-13	0
fic_2001_45723.txt-8-31	0
fic_1985_16058.txt-908-17	0
fic_1993_53799.txt-447-10	0
fic_1999_45403.txt-10-5	0
fic_2002_47054.txt-385-10	0
fic_2003_31346.txt-75-13	0
fic_1974_780164.txt-3350-20	0
fic_2004_49844.txt-274-5	0
mag_2002_392308.txt-25-30	0
fic_2000_32354.txt-80-9	0
mag_1964_244311.txt-10-31	0
fic_2006_51066.txt-34-17	0
nf_1992_773879.txt-525-51	0
fic_1997_54717.txt-262-30	0
mag_2001_417008.txt-19-14	0
fic_1997_42270.txt-234-7	0
mag_1984_432191.txt-53-10	0
fic_1996_42182.txt-13-45	0
fic_2002_31414.txt-252-7	0
fic_2005_28065.txt-108-10	0
fic_2002_28281.txt-49-57	0
fic_1988_16794.txt-30-6	0
fic_1974_10584.txt-27-24	0
mag_1995_397381.txt-83-4	0
fic_2005_30446.txt-137-3	0
fic_1988_780054.txt-731-6	0
fic_1995_53002.txt-569-9	0
fic_1984_10723.txt-1360-4	0
fic_1999_30922.txt-196-11	0
fic_1976_13997.txt-1693-7	0
fic_2001_29345.txt-626-10	0
fic_2004_48968.txt-442-9	0
