identifier	cluster
fic_1848_1108.txt-892-14	0
mag_1827_553811.txt-241-8	3
mag_1858_556623.txt-365-50	-1
fic_1819_8988.txt-1529-15	3
fic_1843_7026.txt-476-36	-1
fic_1852_9031.txt-1189-25	4
fic_1848_1108.txt-902-6	0
nf_1844_747533.txt-1857-4	1
fic_1840_7057.txt-1784-63	5
fic_1848_1108.txt-886-11	0
fic_1827_7168.txt-1724-40	1
fic_1848_1108.txt-1251-25	0
fic_1848_1108.txt-880-9	0
fic_1848_1108.txt-658-11	0
fic_1844_3928.txt-2022-43	-1
fic_1844_3928.txt-3841-15	6
mag_1834_564675.txt-91-45	1
mag_1831_563844.txt-522-33	-1
fic_1835_7143.txt-1888-47	-1
fic_1838_7250.txt-1671-18	0
nf_1833_747531.txt-2651-12	1
nf_1859_748120.txt-1635-2	-1
fic_1844_3928.txt-1406-9	2
mag_1827_553813.txt-223-51	-1
mag_1860_567343.txt-87-1	1
mag_1827_553811.txt-58-39	2
fic_1850_7304.txt-1678-37	-1
fic_1827_7168.txt-915-10	1
mag_1836_554393.txt-176-33	0
mag_1845_565442.txt-141-14	1
mag_1843_565236.txt-728-35	1
nf_1843_748690.txt-2460-61	-1
fic_1819_8988.txt-1465-17	-1
mag_1827_553813.txt-226-40	7
fic_1848_1108.txt-1273-1	0
nf_1838_747482.txt-728-5	-1
fic_1844_3928.txt-3319-1	-1
nf_1838_747482.txt-609-7	0
mag_1832_564353.txt-125-27	1
fic_1851_1184.txt-1851-6	-1
nf_1856_755595.txt-1039-23	0
mag_1850_555680.txt-297-13	2
fic_1848_1108.txt-882-6	-1
fic_1848_1108.txt-1271-6	0
fic_1830_7266.txt-2405-21	1
fic_1835_7142.txt-815-43	2
fic_1844_3928.txt-2149-12	2
fic_1848_1108.txt-1284-31	8
fic_1848_1108.txt-1288-2	-1
fic_1835_7133.txt-2558-11	-1
fic_1835_7142.txt-1357-3	2
fic_1848_1108.txt-704-4	0
fic_1848_1108.txt-895-6	-1
fic_1848_1108.txt-888-9	0
fic_1843_7026.txt-1111-34	1
fic_1846_556.txt-613-30	0
fic_1835_7064.txt-946-17	-1
fic_1848_1108.txt-660-44	0
fic_1848_1108.txt-1752-4	0
fic_1848_1108.txt-907-2	0
fic_1855_602.txt-2563-6	0
fic_1848_1108.txt-1267-1	0
mag_1836_554393.txt-176-6	2
fic_1846_544.txt-2808-20	3
mag_1835_554346.txt-89-53	9
fic_1973_10570.txt-3537-12	0
news_1981_671027.txt-1-32	0
news_1998_632300.txt-65-5	0
mag_1989_328766.txt-15-6	0
fic_2007_33461.txt-116-19	0
mag_2009_405412.txt-17-12	0
nf_1977_774125.txt-1398-15	0
news_1994_606769.txt-54-0	0
fic_2005_50340.txt-357-17	0
mag_1994_426049.txt-149-1	0
nf_1977_774125.txt-986-6	0
fic_1993_25002.txt-9471-1	0
nf_1991_774072.txt-1394-40	0
nf_1977_774125.txt-767-0	0
fic_1989_14218.txt-1947-9	0
news_2002_603927.txt-69-19	0
mag_1999_407915.txt-20-11	0
mag_1995_395507.txt-3-6	0
news_1977_732998.txt-23-0	0
mag_2002_385272.txt-92-13	-1
mag_1997_428061.txt-153-6	-1
news_1997_621043.txt-70-18	0
news_1993_655748.txt-41-5	0
mag_1997_428061.txt-162-1	-1
fic_2005_32589.txt-87-26	0
fic_2004_32588.txt-86-3	0
nf_1977_774125.txt-1297-15	0
news_1995_638686.txt-13-1	0
mag_2004_410917.txt-95-12	0
mag_1994_409087.txt-47-2	0
mag_1988_327176.txt-25-12	0
mag_1995_395507.txt-45-4	0
news_2004_617203.txt-102-4	0
mag_2003_407716.txt-5-8	0
fic_2001_27380.txt-81-4	0
news_1998_610624.txt-51-8	0
news_1969_727860.txt-19-7	0
fic_1993_25016.txt-45-24	0
