identifier	cluster
fic_1838_7145.txt-337-28	0
nf_1847_749455.txt-378-83	0
mag_1851_555704.txt-420-4	0
nf_1847_748116.txt-1358-31	6
fic_1839_7352.txt-785-7	1
fic_1851_201.txt-1081-37	0
fic_1843_7051.txt-65-69	3
fic_1852_69.txt-673-32	1
fic_1833_7046.txt-1469-12	7
fic_1844_800.txt-1208-31	8
fic_1845_622.txt-6627-18	0
nf_1843_752682.txt-1186-52	0
nf_1833_747531.txt-2068-9	0
nf_1851_771607.txt-2498-2	0
nf_1837_747786.txt-21-52	0
nf_1855_750257.txt-1133-40	2
fic_1852_9232.txt-3311-22	1
nf_1839_747507.txt-497-7	0
mag_1850_555680.txt-182-17	0
fic_1851_746.txt-9185-11	2
mag_1838_554612.txt-2-20	2
nf_1856_769051.txt-3443-25	2
nf_1853_748464.txt-945-8	2
fic_1855_7489.txt-298-14	0
nf_1834_747634.txt-3591-24	0
mag_1849_525090.txt-0-31	0
nf_1832_758144.txt-732-27	0
fic_1853_2454.txt-891-36	0
fic_1844_8085.txt-407-11	0
fic_1855_8110.txt-9-17	0
nf_1848_747893.txt-2743-9	9
nf_1847_754437.txt-1669-5	10
nf_1843_747536.txt-118-64	0
mag_1852_566234.txt-182-52	1
nf_1855_748479.txt-565-27	0
fic_1845_622.txt-1234-16	11
fic_1845_7183.txt-1102-29	0
fic_1840_7681.txt-690-26	0
nf_1837_747786.txt-311-42	0
nf_1837_757476.txt-3347-28	0
mag_1859_567209.txt-186-76	0
fic_1857_7468.txt-39-19	0
fic_1853_9040.txt-415-9	1
fic_1849_7216.txt-1751-3	1
mag_1835_565135.txt-40-8	3
mag_1832_564149.txt-248-32	0
fic_1844_800.txt-2376-37	0
mag_1857_556477.txt-126-32	0
fic_1835_7133.txt-220-75	-1
fic_1851_2538.txt-506-22	0
nf_1843_752682.txt-733-16	0
nf_1834_747938.txt-930-9	0
fic_1860_2807.txt-1871-17	0
nf_1836_747959.txt-1006-21	2
mag_1832_564149.txt-231-13	0
nf_1843_747536.txt-1982-14	0
mag_1852_526392.txt-250-47	0
nf_1829_751465.txt-3059-20	0
nf_1833_747941.txt-471-43	0
mag_1849_525201.txt-329-27	1
nf_1834_747938.txt-932-3	0
fic_1848_8541.txt-1342-63	0
nf_1833_747463.txt-2837-5	1
fic_1828_8204.txt-554-58	0
nf_1852_748165.txt-261-19	0
fic_1849_7167.txt-1046-9	0
nf_1839_747507.txt-486-28	12
mag_1824_553512.txt-160-36	0
nf_1857_767292.txt-2546-14	1
nf_1826_747833.txt-3001-20	0
mag_1850_525559.txt-145-6	0
mag_1852_555790.txt-362-1	13
mag_1846_565491.txt-419-1	0
nf_1832_771858.txt-179-12	2
nf_1839_747610.txt-367-25	0
mag_1852_555753.txt-306-20	0
mag_1839_554700.txt-188-4	0
nf_1853_747976.txt-1131-15	0
fic_1854_9218.txt-3406-5	0
nf_1833_747505.txt-2334-41	1
mag_1849_525407.txt-112-9	0
nf_1834_747938.txt-457-11	0
nf_1837_747946.txt-186-8	0
fic_1855_9053.txt-7324-13	14
mag_1853_555823.txt-255-36	1
nf_1843_747536.txt-1808-14	0
mag_1827_553836.txt-489-12	0
fic_1849_7218.txt-1464-28	1
mag_1827_553836.txt-437-31	0
mag_1839_554726.txt-181-14	1
nf_1855_750257.txt-717-46	0
nf_1847_749455.txt-221-11	0
mag_1831_554106.txt-122-37	0
mag_1855_505432.txt-474-10	0
nf_1843_747536.txt-331-35	0
mag_1854_555972.txt-236-16	0
mag_1852_555753.txt-288-18	0
fic_1860_1818.txt-109-5	3
nf_1837_747786.txt-11-12	0
mag_1852_555790.txt-561-11	15
nf_1961_774087.txt-480-4	16
nf_1961_774087.txt-2112-10	17
nf_1961_774312.txt-125-80	4
nf_1961_774087.txt-123-3	2
nf_1970_774162.txt-3160-9	0
fic_1971_10541.txt-1-2	18
mag_1998_400338.txt-20-25	0
news_1972_730447.txt-0-12	0
mag_2005_417894.txt-211-16	0
nf_1969_774349.txt-1011-16	0
fic_1976_14383.txt-588-29	0
news_1979_734241.txt-11-5	0
nf_1973_774379.txt-1345-13	19
nf_1963_773730.txt-66-20	0
mag_1973_283682.txt-19-16	0
fic_1987_780058.txt-2052-2	2
nf_1970_774109.txt-548-20	0
nf_1986_774269.txt-1187-15	0
nf_1982_773732.txt-117-52	0
mag_1977_431927.txt-118-16	5
nf_1973_774330.txt-133-21	20
nf_1961_774087.txt-215-10	21
fic_2004_49459.txt-255-22	2
news_1985_671481.txt-8-31	22
fic_2007_51918.txt-86-0	0
mag_1986_487020.txt-18-35	0
news_2000_633204.txt-20-14	0
mag_1970_431796.txt-48-12	0
mag_2002_398683.txt-74-48	23
news_1988_670261.txt-50-22	24
fic_1962_10420.txt-1794-33	0
mag_1980_490834.txt-21-13	0
mag_1969_431790.txt-79-17	0
mag_1987_480750.txt-75-18	3
mag_1998_358401.txt-25-12	25
mag_1963_441351.txt-287-5	0
nf_1982_773732.txt-110-12	0
news_1988_670255.txt-35-11	26
nf_1996_774086.txt-936-5	0
mag_2001_408078.txt-181-16	0
nf_2008_774810.txt-133-20	0
nf_1982_774071.txt-530-17	0
mag_1980_491548.txt-16-10	0
fic_1993_25030.txt-1619-10	0
fic_1981_780030.txt-1087-8	0
nf_1961_774087.txt-151-21	4
nf_1982_774071.txt-510-17	0
fic_2004_48967.txt-410-7	0
fic_2004_31226.txt-123-1	27
fic_1981_10681.txt-372-14	0
news_1979_734098.txt-31-0	0
fic_2002_29934.txt-791-14	0
fic_1971_10541.txt-3363-5	0
mag_1979_318026.txt-8-3	0
mag_1976_287157.txt-12-12	0
mag_1992_394705.txt-185-4	2
news_2002_634226.txt-51-8	0
fic_1999_45342.txt-81-13	0
mag_1976_493205.txt-14-3	0
mag_1976_493205.txt-15-0	0
mag_2005_417075.txt-170-22	0
nf_1976_774315.txt-1115-13	0
nf_1974_774254.txt-1685-24	0
nf_1976_774315.txt-2019-44	28
nf_1978_773460.txt-188-15	0
mag_1975_290548.txt-6-7	0
nf_1996_774086.txt-1832-8	29
fic_2005_50150.txt-37-28	0
mag_1999_400374.txt-143-9	0
nf_1982_774071.txt-352-16	0
fic_2006_32257.txt-2-10	0
mag_1960_491715.txt-1-18	0
news_1987_668802.txt-145-11	1
mag_1981_480279.txt-65-13	30
news_2002_634221.txt-10-16	0
news_1974_731285.txt-29-10	0
nf_1962_774040.txt-637-13	0
nf_1966_774177.txt-1915-4	5
news_1965_724965.txt-32-9	0
nf_1976_774315.txt-1263-10	4
mag_2005_417894.txt-122-7	0
mag_1981_432058.txt-389-11	0
mag_2007_388240.txt-28-6	0
mag_1983_326797.txt-11-10	0
nf_2006_746942.txt-69-2	0
nf_1996_774086.txt-957-34	0
mag_1972_251389.txt-5-41	2
mag_1975_290548.txt-21-7	0
nf_2008_774810.txt-393-14	0
news_1983_671261.txt-21-25	3
fic_1995_39260.txt-119-3	1
nf_1961_774087.txt-630-5	31
news_1982_668369.txt-78-19	0
mag_1986_492576.txt-160-3	32
news_1995_641075.txt-111-9	1
nf_1960_774274.txt-57-7	0
nf_1960_773896.txt-741-1	0
mag_1983_325599.txt-5-34	0
mag_1985_378617.txt-10-6	0
