identifier	cluster
fic_1849_7218.txt-2815-6	0
fic_1839_1484.txt-1094-13	0
fic_1828_7245.txt-3728-33	-1
fic_1827_7168.txt-711-47	0
nf_1829_747740.txt-1710-25	0
fic_1849_583.txt-3355-13	-1
fic_1853_2454.txt-325-10	0
nf_1844_748164.txt-873-38	-1
fic_1849_583.txt-1636-22	0
fic_1850_2310.txt-1422-10	0
fic_1829_7072.txt-420-25	0
fic_1848_7193.txt-6564-15	0
fic_1860_9188.txt-5205-18	0
nf_1834_747481.txt-601-16	0
fic_1848_7193.txt-215-13	0
fic_1854_9160.txt-2935-1	0
nf_1852_752548.txt-1489-7	0
fic_1835_7327.txt-1814-1	0
fic_1850_7171.txt-5203-23	-1
fic_1860_9791.txt-498-11	0
fic_1835_7134.txt-2170-14	0
fic_1853_2454.txt-331-21	0
fic_1850_2310.txt-1424-30	0
nf_1852_771569.txt-1053-5	0
nf_1843_747536.txt-2573-52	0
fic_1850_7171.txt-5228-62	0
fic_1839_7088.txt-2105-7	0
fic_1840_8770.txt-357-40	0
fic_1860_9817.txt-4328-22	0
fic_1849_583.txt-456-9	0
nf_1846_748061.txt-38-49	-1
fic_1835_7327.txt-1794-11	0
fic_1850_7171.txt-5301-17	-1
fic_1835_7133.txt-1751-9	0
fic_1855_602.txt-3576-18	0
fic_1854_9230.txt-132-29	0
fic_1853_9805.txt-173-0	-1
fic_1835_7064.txt-3003-4	0
fic_1848_7193.txt-9529-5	0
fic_1835_7327.txt-3084-15	0
nf_1846_748061.txt-111-13	-1
fic_1860_1171.txt-2878-9	0
fic_1827_9757.txt-3901-7	0
fic_1859_9037.txt-623-77	0
fic_1856_2749.txt-2796-11	0
mag_1859_591226.txt-285-18	-1
fic_1847_7194.txt-480-16	0
fic_1837_7395.txt-3027-6	0
mag_1816_552728.txt-70-26	0
mag_1850_555617.txt-87-26	0
fic_1848_7193.txt-351-5	0
fic_1835_7327.txt-3215-37	0
mag_1844_587318.txt-562-14	0
fic_1849_7218.txt-3145-7	0
fic_1848_7193.txt-6563-11	0
nf_1841_747926.txt-253-54	0
nf_1849_762578.txt-1018-1	-1
nf_1846_748061.txt-309-43	0
fic_1850_7171.txt-5239-44	0
nf_1852_771569.txt-625-17	1
mag_1836_554391.txt-337-10	0
nf_1840_768793.txt-692-82	0
nf_1846_748061.txt-558-12	0
fic_1856_9779.txt-1894-20	0
fic_1853_2454.txt-1153-54	0
fic_1817_8809.txt-8-8	2
fic_1856_1281.txt-5817-35	0
mag_1850_525614.txt-579-6	0
fic_1844_7187.txt-252-15	0
fic_1832_7054.txt-348-37	0
fic_1847_7190.txt-1076-33	0
fic_1849_2605.txt-945-13	0
fic_1838_7145.txt-243-15	0
fic_1839_7001.txt-2701-11	0
nf_1833_747463.txt-3388-3	0
mag_1845_522622.txt-76-24	-1
fic_1838_7145.txt-612-34	0
fic_1847_7149.txt-2767-10	0
nf_1834_755185.txt-2416-6	0
fic_1840_7057.txt-1737-26	0
fic_1835_7327.txt-2481-11	0
fic_1855_2730.txt-1391-6	-1
nf_1851_771607.txt-830-32	0
fic_1835_7143.txt-1845-13	0
fic_1856_2470.txt-2926-28	0
mag_1855_505324.txt-133-11	0
fic_1856_5515.txt-880-9	0
fic_1848_7193.txt-171-17	0
fic_1843_7208.txt-2712-27	0
fic_1856_5515.txt-1094-80	0
fic_1839_7088.txt-1960-61	0
fic_1827_7169.txt-1167-14	0
fic_1850_7171.txt-150-13	0
fic_1850_7171.txt-5179-24	-1
fic_1849_583.txt-2611-5	0
fic_1854_9160.txt-2372-79	0
fic_1855_602.txt-888-18	0
fic_1847_7190.txt-1403-45	3
nf_1846_748061.txt-80-31	-1
nf_1846_748061.txt-170-24	0
fic_2006_30607.txt-88-14	0
fic_2006_26531.txt-7-12	0
fic_2006_30085.txt-52-6	0
fic_2005_27837.txt-22-16	0
news_2004_640251.txt-79-10	-1
mag_1977_287957.txt-10-17	0
fic_2006_30607.txt-118-14	0
fic_1967_10489.txt-4044-23	0
news_2002_622956.txt-69-20	-1
fic_2002_32197.txt-498-8	0
news_1985_669993.txt-0-15	-1
fic_2006_26773.txt-89-2	0
mag_2000_413712.txt-35-46	0
news_1981_670991.txt-5-38	-1
news_1979_734403.txt-3-5	-1
mag_2004_412315.txt-14-20	0
mag_2005_419504.txt-124-4	0
news_1961_722035.txt-2-0	-1
fic_1998_27532.txt-18-9	0
fic_1995_52953.txt-10-22	0
