identifier	cluster
nf_1837_757476.txt-3509-25	0
nf_1833_747505.txt-2577-1	0
fic_1834_7252.txt-2156-30	0
nf_1821_747955.txt-297-9	0
mag_1850_525559.txt-183-23	0
nf_1837_757476.txt-2982-17	0
nf_1843_752682.txt-1165-16	0
fic_1854_8328.txt-1016-3	0
nf_1837_757476.txt-2144-13	0
nf_1853_748464.txt-1055-15	0
mag_1846_555416.txt-45-18	0
mag_1852_555790.txt-93-73	0
fic_1859_9192.txt-10844-4	0
nf_1853_748464.txt-1893-11	0
mag_1849_525380.txt-118-33	0
nf_1837_757476.txt-2900-42	0
nf_1821_747955.txt-469-26	0
nf_1837_757476.txt-2889-17	0
nf_1833_747505.txt-2389-80	0
nf_1844_747892.txt-594-56	0
fic_1847_8805.txt-756-7	0
nf_1853_748464.txt-1522-7	0
fic_1848_8541.txt-550-10	0
nf_1853_748464.txt-478-6	0
nf_1839_747610.txt-431-106	0
nf_1839_747507.txt-922-24	0
nf_1830_754783.txt-1658-6	0
nf_1852_748165.txt-2839-13	0
nf_1837_757476.txt-3610-16	0
nf_1839_747507.txt-810-30	0
nf_1830_754783.txt-1737-11	0
mag_1845_565473.txt-197-43	0
nf_1830_754783.txt-605-1	0
nf_1849_747900.txt-864-68	0
nf_1853_748464.txt-1176-2	0
nf_1830_754783.txt-1737-17	0
mag_1852_555790.txt-492-2	-1
nf_1837_757476.txt-2960-18	0
mag_1845_522622.txt-197-18	0
nf_1821_747955.txt-469-15	0
nf_1847_748116.txt-1506-3	0
nf_1853_748464.txt-481-5	0
nf_1853_748464.txt-1098-33	0
mag_1845_565473.txt-193-10	0
nf_1821_747955.txt-465-7	0
fic_1848_7154.txt-819-10	0
mag_1846_555416.txt-45-11	0
fic_1850_7304.txt-6902-11	0
fic_1856_2655.txt-1899-10	0
nf_1843_752682.txt-309-11	0
nf_1849_748465.txt-1135-68	0
mag_1831_554110.txt-117-17	0
fic_1833_7059.txt-366-53	0
