identifier	cluster
fic_1843_7325.txt-236-25	0
fic_1853_9040.txt-378-68	0
fic_1845_7183.txt-149-44	0
fic_1839_7182.txt-151-31	0
fic_1854_9230.txt-3965-48	0
fic_1853_9040.txt-423-9	0
fic_1859_9037.txt-449-17	0
mag_1857_523523.txt-642-29	0
fic_1853_3465.txt-995-17	0
fic_1854_9230.txt-1114-18	0
fic_1827_7168.txt-962-53	0
fic_1823_7241.txt-198-31	0
fic_1853_9040.txt-1440-15	0
fic_1853_9040.txt-360-9	0
fic_1853_9040.txt-98-30	0
nf_1852_752548.txt-1511-20	0
fic_1839_1484.txt-2252-27	0
fic_1853_9040.txt-544-20	0
fic_1852_9832.txt-2711-27	0
fic_1852_9804.txt-140-14	0
fic_1853_9040.txt-131-29	0
fic_1847_2352.txt-781-19	0
fic_1860_3347.txt-189-54	0
fic_1853_9040.txt-594-12	0
fic_1853_3465.txt-747-10	0
fic_1853_9040.txt-4758-26	0
fic_1845_7170.txt-988-68	0
fic_1845_7183.txt-2506-19	0
nf_1838_747585.txt-1930-56	0
fic_1823_7242.txt-1137-28	0
fic_1859_9037.txt-398-14	0
fic_1853_9040.txt-438-32	0
fic_1831_7002.txt-1882-8	0
mag_1853_504777.txt-58-45	0
fic_1858_1282.txt-1571-6	0
fic_1833_7321.txt-3071-18	0
fic_1851_746.txt-759-22	0
fic_1859_9037.txt-581-12	0
fic_1852_9804.txt-139-32	0
fic_1859_9037.txt-386-9	0
fic_1848_7107.txt-277-17	0
fic_1849_7192.txt-1149-14	0
fic_1859_9037.txt-427-43	0
fic_1839_7049.txt-1013-15	0
fic_1853_9040.txt-1439-8	0
fic_1853_9040.txt-336-27	0
mag_1857_523523.txt-643-9	0
fic_1839_7182.txt-137-2	0
fic_1859_9037.txt-382-4	0
fic_1853_9040.txt-469-1	0
fic_1859_9037.txt-473-18	0
fic_1849_7167.txt-1527-19	0
fic_1853_9040.txt-345-11	0
fic_1859_9037.txt-373-11	0
fic_1853_9040.txt-447-36	0
fic_1859_9037.txt-425-12	0
fic_1859_9037.txt-120-33	0
nf_1856_755595.txt-2201-2	0
fic_1836_7276.txt-1259-44	0
fic_1853_9040.txt-350-20	0
fic_1854_2820.txt-3581-19	0
fic_1853_9040.txt-403-41	0
fic_1856_1552.txt-2827-23	0
fic_1849_7192.txt-1650-33	0
fic_1853_9040.txt-529-41	0
fic_1858_1282.txt-3648-38	0
fic_1853_9040.txt-371-2	0
fic_1859_9037.txt-403-24	0
fic_1846_7036.txt-1797-2	0
fic_1843_7325.txt-296-24	0
fic_1859_9037.txt-397-2	0
fic_1853_9040.txt-397-17	0
fic_1853_9040.txt-377-25	0
fic_1845_7183.txt-2471-9	0
fic_1853_9040.txt-419-10	0
nf_1856_755595.txt-438-35	0
fic_1835_7268.txt-1888-52	0
fic_1843_7325.txt-778-98	0
fic_1850_7171.txt-420-13	0
fic_1823_7242.txt-1136-20	0
fic_1853_9040.txt-354-4	0
fic_1843_7325.txt-221-12	0
fic_1849_7192.txt-1259-17	0
fic_1853_9040.txt-866-11	0
fic_1843_7325.txt-233-48	0
mag_1857_523523.txt-645-22	0
nf_1856_755595.txt-2200-10	0
fic_1859_9037.txt-612-11	0
fic_1849_7167.txt-1726-11	0
fic_1851_746.txt-758-90	0
fic_1843_7325.txt-208-35	0
fic_1853_9040.txt-351-13	0
fic_1848_7341.txt-59-13	0
fic_1850_7171.txt-237-80	0
fic_1854_9218.txt-3375-34	0
fic_1859_9037.txt-378-20	0
fic_1849_7192.txt-1467-17	0
fic_1856_9779.txt-1695-24	0
fic_1853_9040.txt-424-15	0
fic_1859_9220.txt-1273-124	0
fic_1967_10489.txt-833-13	0
mag_2003_402116.txt-22-10	0
nf_1987_773961.txt-24-2	0
fic_1994_41330.txt-150-25	0
fic_1984_14628.txt-3-29	0
mag_1987_487710.txt-71-10	1
fic_1988_16142.txt-474-6	0
fic_2006_28357.txt-52-18	0
news_2001_661942.txt-4-12	0
fic_2009_36450.txt-72-6	0
fic_1999_30271.txt-351-17	0
fic_2003_29829.txt-68-24	0
fic_1996_41636.txt-17-13	0
fic_1964_10443.txt-6397-17	0
fic_2001_45724.txt-441-5	0
fic_1994_14635.txt-86-8	0
fic_2006_51071.txt-56-1	0
fic_1973_23893.txt-190-24	0
news_2000_627649.txt-1752-1	0
fic_1995_39362.txt-547-10	0
fic_1972_10558.txt-6068-5	0
mag_2001_419629.txt-54-12	0
fic_1980_10661.txt-1624-16	0
fic_2007_34349.txt-7-4	0
mag_1968_490663.txt-60-13	1
news_1998_615318.txt-26-18	0
mag_1997_398797.txt-19-2	0
mag_2002_393038.txt-8-0	0
fic_1972_10558.txt-6041-5	0
fic_2000_32016.txt-346-19	0
mag_1996_427680.txt-21-6	0
fic_2003_29829.txt-309-9	0
fic_2003_29829.txt-42-10	0
fic_1994_41330.txt-169-19	0
fic_1994_41330.txt-97-41	0
fic_1996_41636.txt-253-2	0
fic_2002_46770.txt-193-22	0
nf_1987_773961.txt-32-6	0
fic_2003_29829.txt-394-9	0
mag_1976_290955.txt-20-4	0
fic_2003_29829.txt-301-21	0
fic_1982_10695.txt-1606-3	0
fic_1967_10486.txt-1986-21	0
mag_2002_427156.txt-37-17	0
fic_1994_41309.txt-527-36	0
fic_2008_36221.txt-155-13	0
fic_2009_36595.txt-134-32	0
fic_1966_10470.txt-484-8	0
fic_1966_23832.txt-501-11	0
fic_1994_41330.txt-132-1	0
fic_2003_27792.txt-295-11	0
fic_1994_41330.txt-6-21	0
fic_1994_54045.txt-357-20	0
fic_1994_41330.txt-80-9	0
fic_1996_41838.txt-907-2	0
fic_1995_39238.txt-29-3	0
fic_1999_55557.txt-360-37	0
mag_2001_419629.txt-54-8	0
fic_1972_10558.txt-5772-6	0
fic_1993_1040085.txt-1649-19	0
nf_1987_773961.txt-0-4	0
fic_1988_24000.txt-228-1	0
fic_1970_23869.txt-164-2	0
fic_1994_41330.txt-100-1	0
fic_2002_46910.txt-345-21	0
fic_1993_1040095.txt-3725-7	0
fic_2003_29829.txt-97-12	0
fic_2002_31835.txt-147-12	0
fic_2006_32227.txt-58-3	0
fic_1960_23758.txt-244-5	0
fic_1980_10672.txt-2071-17	0
fic_1993_53808.txt-495-32	0
fic_1994_41309.txt-527-45	0
fic_1976_10607.txt-6502-29	0
