identifier	cluster
mag_1845_587427.txt-128-16	1
fic_1849_7216.txt-200-17	0
nf_1847_747595.txt-241-22	0
fic_1856_1281.txt-1360-18	0
fic_1843_7208.txt-10511-25	0
fic_1843_7208.txt-4905-33	0
mag_1840_586512.txt-853-72	5
nf_1845_747502.txt-339-15	0
fic_1853_9040.txt-627-24	0
mag_1835_554357.txt-300-24	0
mag_1852_555751.txt-173-80	0
fic_1855_602.txt-2752-15	-1
fic_1848_7906.txt-111-29	0
fic_1856_5515.txt-1284-14	0
mag_1823_553494.txt-190-75	0
fic_1856_1281.txt-4096-4	0
fic_1853_9069.txt-676-40	3
fic_1856_5515.txt-1149-30	0
fic_1848_1279.txt-222-47	0
fic_1839_8877.txt-142-20	0
fic_1843_7208.txt-9818-5	1
fic_1856_5515.txt-1683-24	0
fic_1853_3465.txt-1089-43	0
mag_1857_526498.txt-79-16	2
fic_1854_8328.txt-3033-25	0
fic_1843_7208.txt-513-8	0
fic_1845_7103.txt-365-23	0
mag_1840_586584.txt-140-47	0
fic_1833_7321.txt-3317-3	0
fic_1851_746.txt-1956-13	-1
nf_1857_767292.txt-1611-8	3
fic_1849_7192.txt-6161-4	1
mag_1840_554848.txt-170-30	0
nf_1848_747893.txt-2275-26	0
fic_1849_5168.txt-697-54	0
nf_1845_747502.txt-359-46	0
fic_1812_8649.txt-18-4	0
fic_1843_7039.txt-4238-4	0
fic_1851_746.txt-9213-32	0
fic_1856_1281.txt-5311-18	1
fic_1854_9826.txt-2995-24	0
fic_1855_9098.txt-4674-8	0
fic_1855_9053.txt-162-24	0
fic_1828_7259.txt-660-46	0
fic_1848_7341.txt-1681-50	0
fic_1844_7189.txt-3024-9	0
nf_1821_747955.txt-233-0	0
fic_1843_7208.txt-1235-45	0
fic_1860_9168.txt-1744-29	0
fic_1856_1281.txt-1296-54	0
mag_1843_555104.txt-700-19	0
fic_1848_7193.txt-9888-11	0
fic_1843_7208.txt-12969-15	0
fic_1851_746.txt-341-19	0
