identifier	cluster
mag_1845_565477.txt-150-10	0
mag_1846_565554.txt-266-14	2
fic_1860_8044.txt-3065-24	0
nf_1853_747555.txt-379-24	0
mag_1860_506692.txt-83-4	1
mag_1832_564427.txt-155-37	0
fic_1833_7059.txt-1591-113	0
mag_1838_586167.txt-74-13	-1
fic_1845_7162.txt-760-4	-1
fic_1854_3384.txt-7241-5	1
mag_1839_554730.txt-105-17	0
fic_1845_7162.txt-2692-24	0
mag_1857_556296.txt-145-16	-1
nf_1858_753804.txt-1955-3	0
fic_1855_9098.txt-4133-17	0
mag_1841_586607.txt-99-25	0
fic_1845_7162.txt-2288-2	1
nf_1854_747500.txt-415-7	-1
mag_1839_586418.txt-63-103	1
fic_1839_7336.txt-1016-22	2
nf_1853_747555.txt-1414-40	0
mag_1825_553604.txt-170-0	-1
fic_1855_9773.txt-246-6	0
mag_1846_555403.txt-390-1	0
fic_1851_9819.txt-1127-27	0
fic_1860_9817.txt-4006-29	0
fic_1842_9749.txt-1469-3	0
mag_1834_554265.txt-97-15	0
nf_1844_747892.txt-139-9	-1
nf_1847_749455.txt-19-4	0
nf_1839_748083.txt-331-149	0
fic_1845_622.txt-4060-0	-1
fic_1812_8649.txt-381-14	0
nf_1852_771569.txt-1768-40	0
mag_1858_566921.txt-409-64	-1
mag_1830_554012.txt-492-38	-1
nf_1836_747485.txt-422-21	-1
mag_1852_526185.txt-103-45	1
fic_1856_9779.txt-12876-26	0
fic_1846_7542.txt-2-12	0
fic_1836_4118.txt-1221-31	0
fic_1859_9192.txt-13120-8	0
fic_1843_7051.txt-2047-11	0
nf_1859_748120.txt-1289-18	-1
nf_1858_747890.txt-2069-1	-1
nf_1859_747504.txt-379-5	-1
mag_1839_586418.txt-168-2	0
fic_1854_9230.txt-2149-16	-1
mag_1833_554221.txt-92-23	-1
mag_1856_566665.txt-319-50	0
fic_1832_8751.txt-2074-16	-1
mag_1851_566070.txt-46-3	-1
mag_1856_566737.txt-295-20	-1
mag_1850_525497.txt-33-26	0
nf_1844_749098.txt-2203-7	1
mag_1851_566013.txt-35-30	-1
fic_1846_4462.txt-1300-27	0
mag_1850_589363.txt-22-56	-1
mag_1851_566093.txt-58-17	-1
fic_1860_9817.txt-4426-1	1
