identifier	cluster
fic_1836_9497.txt-695-27	0
fic_1856_2367.txt-2709-6	0
fic_1835_1103.txt-26-31	0
fic_1839_7477.txt-6475-44	0
nf_1859_748098.txt-3007-26	0
mag_1834_554274.txt-303-2	0
fic_1827_7169.txt-1435-11	0
nf_1852_771569.txt-554-1	0
fic_1839_7336.txt-2130-30	0
mag_1827_553793.txt-242-1	0
nf_1852_771569.txt-687-11	0
mag_1853_555862.txt-450-20	0
fic_1834_2652.txt-5083-21	0
fic_1852_2477.txt-2210-8	0
fic_1838_7253.txt-2419-20	0
mag_1833_554231.txt-975-40	0
fic_1828_7370.txt-1021-8	0
fic_1850_7171.txt-8092-29	0
fic_1828_7245.txt-2983-30	0
fic_1841_7302.txt-1307-3	0
fic_1846_200.txt-71-22	0
fic_1860_9817.txt-3467-5	0
mag_1845_555238.txt-144-32	0
mag_1856_566709.txt-188-14	0
fic_1814_8564.txt-874-11	0
fic_1860_9072.txt-4162-28	0
mag_1856_566736.txt-216-26	0
fic_1856_1552.txt-5485-30	0
fic_1848_3752.txt-6407-36	0
fic_1835_1103.txt-4295-9	0
fic_1838_7253.txt-266-17	0
nf_1855_772309.txt-369-15	0
mag_1835_554293.txt-56-5	0
fic_1853_3465.txt-1401-96	0
fic_1828_7245.txt-1427-4	0
fic_1847_7123.txt-1622-9	0
fic_1839_7297.txt-2833-27	0
fic_1850_4498.txt-1146-15	0
fic_1853_9158.txt-3400-12	0
fic_1839_7087.txt-897-8	0
fic_1836_7052.txt-3921-41	0
fic_1853_2486.txt-2828-21	0
fic_1840_7292.txt-488-21	0
nf_1852_752548.txt-119-15	0
fic_1845_8969.txt-446-21	0
fic_1848_7265.txt-2045-11	0
fic_1827_7168.txt-1497-40	0
mag_1844_518559.txt-394-24	0
mag_1859_556713.txt-217-3	0
mag_1854_566406.txt-19-24	0
fic_1854_9160.txt-194-8	0
mag_1833_554209.txt-98-13	0
mag_1845_519376.txt-934-8	0
fic_1857_3100.txt-4900-42	0
fic_1857_9075.txt-774-3	0
mag_1823_553479.txt-35-10	0
nf_1843_747536.txt-1077-1	0
nf_1829_751465.txt-2629-9	0
fic_1839_7001.txt-1644-31	0
fic_1835_7016.txt-184-6	0
nf_1839_747507.txt-1930-49	0
fic_1860_9165.txt-3412-8	0
fic_1831_7210.txt-2737-8	0
mag_1860_527283.txt-197-3	0
fic_1855_1280.txt-2247-2	0
nf_1849_762578.txt-1672-10	0
nf_1853_765349.txt-1705-23	0
fic_1834_2652.txt-6533-0	0
fic_1839_7296.txt-600-36	0
fic_1849_7006.txt-2733-28	0
mag_1827_553832.txt-193-4	0
fic_1830_7238.txt-3387-25	0
fic_1849_9495.txt-796-52	0
fic_1854_9160.txt-1652-68	0
fic_1823_7246.txt-5269-10	0
fic_1860_2807.txt-3923-16	0
fic_1841_7302.txt-1931-27	0
fic_1834_2652.txt-4539-25	0
fic_1818_8861.txt-1255-16	0
fic_1856_9852.txt-4896-55	0
fic_1840_7332.txt-2602-7	0
fic_1849_7167.txt-576-12	0
fic_1846_544.txt-719-6	0
mag_1855_556005.txt-137-18	0
mag_1852_555766.txt-251-46	0
fic_1835_7142.txt-166-15	0
fic_1853_3819.txt-1940-13	0
fic_1856_9797.txt-1080-7	0
fic_1823_7242.txt-1227-23	0
nf_1841_768644.txt-2103-18	0
nf_1852_771569.txt-508-40	0
mag_1844_565358.txt-33-7	0
nf_1835_748051.txt-829-13	0
fic_1831_7210.txt-852-31	0
fic_1848_7154.txt-1300-33	0
mag_1831_554100.txt-86-51	0
nf_1852_748165.txt-2307-23	0
nf_1839_747507.txt-958-67	0
mag_1847_555447.txt-143-19	0
mag_1857_523318.txt-260-60	0
news_1969_727984.txt-68-29	0
mag_1969_313779.txt-20-10	0
mag_1985_487022.txt-58-8	0
mag_2007_391560.txt-24-9	0
mag_1995_395505.txt-51-19	0
mag_1997_399269.txt-40-2	0
news_1998_653837.txt-17-13	0
fic_1995_39352.txt-584-11	0
mag_1988_327281.txt-18-21	0
fic_1989_5359.txt-7902-14	0
mag_2002_388217.txt-87-7	0
nf_1996_773465.txt-459-22	0
mag_2003_386851.txt-47-7	0
nf_2002_776274.txt-89-13	0
mag_1997_397274.txt-76-4	0
mag_2007_389374.txt-17-3	0
mag_1968_431762.txt-279-29	0
nf_2006_747040.txt-18-1	0
news_2005_623940.txt-34-7	0
mag_2007_390517.txt-67-24	0
mag_1977_317319.txt-28-25	0
news_1963_723484.txt-7-13	0
nf_1983_774262.txt-77-24	0
nf_1975_774369.txt-100-28	0
fic_1987_10762.txt-915-5	0
mag_1988_492482.txt-30-10	0
news_1999_653843.txt-18-13	0
mag_1980_431992.txt-8-11	0
mag_1991_421681.txt-97-17	0
nf_1977_774125.txt-5546-29	0
fic_1993_1040060.txt-6789-17	0
nf_1996_773465.txt-429-14	0
nf_1975_774323.txt-2315-8	0
mag_1983_321417.txt-14-28	0
mag_2001_369903.txt-1-40	0
news_2006_618092.txt-38-8	0
mag_1993_408298.txt-13-7	0
fic_1995_52940.txt-652-9	0
mag_2005_397306.txt-317-6	0
fic_1987_10763.txt-1582-23	0
nf_1996_746570.txt-151-9	0
mag_1997_397711.txt-27-54	0
news_1977_733355.txt-13-2	0
mag_1965_478419.txt-216-2	0
news_2002_634255.txt-11-28	0
mag_2006_380440.txt-20-18	0
fic_1962_10417.txt-2215-7	0
mag_1998_401800.txt-69-36	0
mag_2007_387816.txt-36-20	0
fic_1993_1040072.txt-4334-12	0
news_1988_670265.txt-38-11	0
fic_2009_36830.txt-89-26	0
mag_1992_423656.txt-90-16	0
mag_1961_93561.txt-16-20	0
mag_1969_431779.txt-241-14	0
nf_2006_747117.txt-295-21	0
nf_1989_773862.txt-800-43	0
fic_1993_25009.txt-2539-8	0
nf_1970_774162.txt-3172-2	0
mag_1999_407854.txt-21-22	0
fic_1973_780108.txt-1261-22	0
mag_2001_407712.txt-9-34	0
news_2004_608646.txt-41-1	0
nf_2007_747179.txt-179-19	0
nf_1982_773998.txt-1561-5	0
news_1977_732876.txt-83-25	0
fic_1968_10503.txt-3043-24	0
mag_2004_415504.txt-1-4	0
mag_2005_397462.txt-173-8	0
news_1991_619090.txt-43-12	0
mag_2001_369903.txt-18-22	0
mag_2001_417479.txt-58-2	0
mag_2001_415171.txt-27-7	0
mag_2003_402334.txt-47-12	0
fic_2004_27158.txt-20-24	0
fic_2009_36517.txt-7-4	0
mag_2001_412021.txt-54-2	0
news_1985_671440.txt-13-4	0
mag_1998_400336.txt-16-6	0
news_2001_627713.txt-535-23	0
nf_1983_774262.txt-282-19	0
nf_2006_746405.txt-156-4	0
mag_1999_391790.txt-72-10	0
mag_2001_417479.txt-84-48	0
fic_1971_782006.txt-1035-26	0
nf_1977_774125.txt-6207-10	0
fic_1988_10768.txt-2570-27	0
fic_2003_31411.txt-0-5	0
mag_1995_394830.txt-18-14	0
mag_1983_492093.txt-36-28	0
fic_1975_10601.txt-11881-9	0
news_1968_727355.txt-8-40	0
mag_2001_417641.txt-39-12	0
mag_1962_311797.txt-19-7	0
news_2004_661030.txt-353-26	0
mag_1997_385757.txt-31-33	0
news_1970_728635.txt-5-24	0
nf_1968_773850.txt-479-23	0
nf_1989_773862.txt-777-16	0
mag_1999_360899.txt-29-15	0
