identifier	cluster
fic_1836_7053.txt-4982-56	0
fic_1850_7304.txt-3244-2	0
fic_1841_7302.txt-4200-43	0
fic_1828_7245.txt-454-112	0
fic_1853_2486.txt-2111-14	0
nf_1841_747994.txt-1924-0	0
fic_1822_7243.txt-1575-17	0
mag_1824_553506.txt-13-23	0
mag_1842_555050.txt-432-20	0
fic_1828_7245.txt-1991-52	0
nf_1851_758845.txt-913-33	0
mag_1852_555749.txt-111-30	0
mag_1824_553525.txt-319-24	0
mag_1846_555389.txt-189-12	0
fic_1853_4303.txt-3287-34	0
fic_1827_7269.txt-670-7	0
fic_1848_7005.txt-1894-2	0
fic_1848_7005.txt-150-15	0
fic_1846_544.txt-4006-6	0
nf_1841_762742.txt-241-4	0
mag_1852_555767.txt-115-30	0
fic_1853_9158.txt-4207-8	0
fic_1812_8987.txt-7-15	0
fic_1860_8118.txt-2474-22	0
fic_1850_7304.txt-1886-19	0
fic_1850_7304.txt-2757-10	0
fic_1848_8541.txt-396-4	0
fic_1846_544.txt-1395-28	0
fic_1827_9758.txt-4499-13	0
nf_1833_747463.txt-733-11	0
fic_1834_7029.txt-754-29	0
fic_1844_7148.txt-1544-2	0
mag_1854_566447.txt-26-26	0
fic_1826_314.txt-4996-11	0
fic_1827_9758.txt-5188-37	0
fic_1857_2618.txt-1945-11	0
fic_1849_7230.txt-1780-5	0
fic_1850_7304.txt-3690-6	0
mag_1835_554353.txt-183-13	0
fic_1824_7037.txt-2279-13	0
mag_1847_565651.txt-233-46	0
fic_1856_2655.txt-1619-17	0
mag_1835_554293.txt-164-21	0
fic_1850_7304.txt-3844-14	0
fic_1853_2486.txt-2793-43	0
fic_1839_7297.txt-256-16	0
mag_1859_506498.txt-51-42	0
fic_1843_7074.txt-496-38	0
fic_1853_2486.txt-1949-16	0
fic_1851_746.txt-10901-41	0
fic_1851_746.txt-1178-1	0
nf_1856_755595.txt-2431-21	0
fic_1856_2655.txt-1859-26	0
nf_1853_747555.txt-428-7	0
fic_1828_7245.txt-454-166	0
fic_1860_9817.txt-896-10	0
fic_1839_7296.txt-4678-33	0
fic_1846_4462.txt-2177-74	0
mag_1836_554391.txt-88-8	0
fic_1839_7297.txt-76-50	0
