identifier	cluster
fic_1852_69.txt-1523-34	0
fic_1832_9478.txt-978-17	0
fic_1849_7192.txt-4800-10	0
fic_1849_7218.txt-189-36	0
nf_1855_750257.txt-923-19	0
fic_1851_746.txt-2628-13	0
fic_1811_8637.txt-503-12	0
fic_1836_7053.txt-1160-14	0
fic_1843_7208.txt-9786-20	0
fic_1811_8637.txt-501-3	0
fic_1835_7014.txt-850-4	0
fic_1845_7183.txt-1647-8	0
fic_1860_616.txt-3268-28	0
fic_1860_615.txt-2332-3	0
fic_1845_7183.txt-1647-6	0
fic_1835_7014.txt-1532-17	0
fic_1851_746.txt-4145-38	0
fic_1835_8114.txt-1994-20	0
fic_1852_593.txt-2223-13	0
fic_1849_583.txt-4164-27	0
fic_1835_7203.txt-1302-36	0
fic_1858_9768.txt-3748-3	0
fic_1840_7256.txt-738-31	0
fic_1835_7014.txt-885-12	0
fic_1854_3384.txt-44-23	0
fic_1855_604.txt-2870-69	1
fic_1834_8947.txt-332-1	0
fic_1853_3819.txt-1598-15	0
fic_1847_1094.txt-3248-10	0
fic_1847_7123.txt-1078-22	0
fic_1834_7029.txt-806-34	0
fic_1845_7183.txt-1694-25	0
fic_1849_7192.txt-4800-8	0
mag_1850_555635.txt-181-63	0
fic_1845_7183.txt-2859-15	0
fic_1835_7203.txt-1285-34	0
fic_1851_746.txt-2628-9	0
fic_1852_69.txt-1581-9	0
fic_1846_544.txt-1419-11	0
fic_1838_7250.txt-1414-8	0
fic_1851_3300.txt-2778-13	0
fic_1835_7073.txt-924-66	0
fic_1853_3465.txt-1986-57	0
fic_1855_604.txt-3117-30	0
fic_1811_8637.txt-1168-23	0
fic_1854_70.txt-3450-34	0
fic_1843_7208.txt-4449-45	0
fic_1838_7250.txt-1406-33	0
fic_1856_2470.txt-2425-28	0
fic_1849_7218.txt-850-9	0
mag_1852_504502.txt-333-37	0
fic_1852_69.txt-1060-63	0
fic_1854_2820.txt-3349-44	0
fic_1856_7698.txt-65-78	0
fic_1848_7341.txt-1750-2	0
fic_1842_7206.txt-3234-7	0
fic_1834_7032.txt-1907-4	0
fic_1850_7171.txt-7180-2	0
fic_1849_7230.txt-2350-12	0
fic_1820_7562.txt-335-46	0
fic_1823_7213.txt-3612-4	0
fic_1855_2301.txt-3680-16	0
fic_1835_5605.txt-2166-11	0
nf_1856_755595.txt-739-7	0
fic_1845_7170.txt-7510-7	0
fic_1852_593.txt-2998-18	0
fic_1834_7032.txt-2020-62	0
fic_1837_7273.txt-1910-23	0
fic_1851_3300.txt-3435-47	0
fic_1835_5605.txt-2329-20	0
fic_1838_7250.txt-1404-18	0
fic_1858_9768.txt-1536-4	0
fic_1814_8564.txt-320-50	0
fic_1849_7230.txt-495-50	0
nf_1844_772139.txt-734-18	0
nf_1856_755595.txt-1476-13	0
nf_1856_769051.txt-335-33	0
fic_1849_7230.txt-2413-23	0
fic_1856_2655.txt-7488-3	0
fic_1847_2352.txt-2257-5	0
fic_1849_583.txt-3296-15	0
nf_1855_748479.txt-489-11	0
fic_1852_69.txt-8025-55	0
fic_1855_9773.txt-1916-37	0
fic_1834_7047.txt-813-14	0
fic_1851_201.txt-1325-27	0
nf_1851_758845.txt-1861-3	0
fic_1840_8770.txt-155-42	0
fic_1856_3677.txt-1083-13	0
fic_1980_10663.txt-162-19	0
fic_1975_780160.txt-3970-18	0
fic_1997_54789.txt-245-2	0
fic_2003_48329.txt-402-7	0
fic_2009_36638.txt-1978-3	0
fic_1980_23948.txt-23-10	0
fic_2001_27749.txt-280-8	0
fic_1986_10741.txt-6708-15	0
fic_1998_30880.txt-46-24	0
fic_1982_23965.txt-368-20	0
mag_1960_491715.txt-182-21	0
fic_1968_16170.txt-2157-20	0
fic_1985_782029.txt-1967-12	0
fic_1964_781988.txt-1703-32	0
fic_1997_42218.txt-90-23	0
fic_1995_53076.txt-108-15	0
fic_1993_25006.txt-1237-3	0
fic_1997_54541.txt-512-24	0
fic_1992_53680.txt-95-4	0
fic_1962_781984.txt-1364-3	0
fic_1993_1040078.txt-1341-8	0
fic_1988_10768.txt-7866-5	0
fic_1970_16380.txt-1689-26	0
fic_1964_10443.txt-7509-24	0
mag_1998_401580.txt-134-9	0
fic_1999_29339.txt-118-12	0
fic_1972_10550.txt-1234-1	0
fic_1999_13743.txt-347-31	0
fic_1997_54541.txt-512-34	0
fic_1970_16380.txt-5042-12	0
nf_1971_774393.txt-171-5	0
fic_1979_10650.txt-9974-9	0
fic_1974_10580.txt-881-3	0
fic_1997_42316.txt-135-7	0
news_1994_606788.txt-495-2	0
fic_1995_53083.txt-265-5	0
mag_1981_293638.txt-1-8	2
fic_1986_780060.txt-916-2	0
fic_1960_4217.txt-551-36	0
fic_1965_780079.txt-2467-9	0
mag_1976_317132.txt-12-7	0
mag_1999_407980.txt-5-12	0
mag_1986_332055.txt-3-15	0
mag_1997_389607.txt-65-17	0
fic_1967_10489.txt-6302-16	0
fic_2003_47904.txt-517-7	0
fic_1999_29005.txt-114-39	0
fic_1975_780111.txt-4781-5	0
fic_1993_25009.txt-5265-15	0
fic_1976_782016.txt-4088-4	0
fic_1999_55357.txt-231-4	0
fic_1962_23783.txt-278-25	0
fic_1993_1040056.txt-5489-1	0
fic_1983_16197.txt-2014-11	0
fic_2002_32720.txt-189-12	0
fic_1962_14052.txt-3255-11	3
mag_1987_480750.txt-86-4	0
fic_1989_5359.txt-546-7	0
mag_2000_408971.txt-2-4	0
fic_2002_47140.txt-255-12	0
fic_1960_5214.txt-481-13	0
mag_2006_398341.txt-86-8	0
fic_2008_36180.txt-212-12	0
fic_2003_48243.txt-828-13	0
fic_2004_31444.txt-38-22	0
fic_1981_10679.txt-4749-11	0
fic_1993_25001.txt-1341-1	0
fic_1981_10679.txt-5299-2	0
news_2006_636165.txt-23-11	0
fic_1978_10636.txt-13922-16	0
fic_1996_54197.txt-426-3	0
fic_1987_16030.txt-1482-16	0
fic_1976_23911.txt-596-3	0
fic_2000_52600.txt-267-38	0
fic_1967_10488.txt-552-10	0
mag_1999_407884.txt-339-10	0
fic_1975_10598.txt-5614-5	0
fic_2005_28065.txt-46-7	0
fic_2002_32720.txt-189-13	0
fic_1961_4832.txt-52-1	0
fic_1997_42340.txt-385-8	0
fic_1997_43069.txt-760-7	0
fic_1981_780031.txt-1211-1	0
fic_1993_1040082.txt-3185-12	0
fic_1998_30065.txt-57-20	0
fic_2005_33276.txt-86-24	0
fic_1967_10484.txt-5601-38	0
fic_1998_43531.txt-376-7	0
fic_1970_10530.txt-4200-2	0
fic_1993_30713.txt-62-4	0
fic_1986_780090.txt-511-17	0
fic_2006_51208.txt-18-20	0
fic_1966_13783.txt-506-5	0
mag_1979_485613.txt-140-9	0
fic_1976_16789.txt-540-22	0
fic_1989_10786.txt-17-24	0
fic_1993_1040092.txt-2605-11	0
fic_1995_53082.txt-151-59	0
mag_1985_123522.txt-5-22	4
news_1995_601228.txt-59-16	0
