identifier	cluster
fic_1830_7238.txt-330-33	0
fic_1839_7067.txt-1486-47	1
mag_1837_554498.txt-233-5	0
nf_1854_755030.txt-2999-17	1
fic_1850_7222.txt-216-2	3
fic_1854_7839.txt-1455-0	0
fic_1841_8921.txt-336-16	1
fic_1824_7277.txt-826-67	4
fic_1815_8679.txt-689-1	0
fic_1847_2352.txt-1660-19	0
fic_1838_7145.txt-1698-40	1
fic_1840_7681.txt-2114-153	1
mag_1848_524975.txt-644-23	9
fic_1857_3100.txt-2226-50	0
fic_1849_7006.txt-1314-10	4
fic_1845_7183.txt-3218-5	0
fic_1847_1094.txt-718-3	0
fic_1858_1282.txt-3308-9	0
fic_1843_7039.txt-2779-6	1
fic_1838_7250.txt-1616-53	3
fic_1857_3100.txt-2926-15	0
fic_1854_9826.txt-9894-33	0
fic_1856_5515.txt-2714-37	1
fic_1835_5605.txt-2415-40	1
fic_1824_7037.txt-401-7	0
fic_1846_8819.txt-1554-0	6
fic_1834_8947.txt-2303-8	-1
nf_1854_750818.txt-3005-11	1
fic_1855_9098.txt-10084-4	6
fic_1854_9230.txt-3551-16	0
fic_1850_7953.txt-1479-29	1
nf_1838_747482.txt-1255-8	1
fic_1860_9165.txt-4471-18	0
mag_1856_566737.txt-60-29	0
nf_1851_747930.txt-3721-17	1
fic_1850_4498.txt-189-53	3
fic_1855_9098.txt-10113-10	6
fic_1834_2652.txt-2205-26	1
fic_1819_8009.txt-1059-48	1
fic_1838_7250.txt-1578-20	3
mag_1838_586221.txt-152-2	-1
nf_1849_762578.txt-385-36	10
fic_1852_2751.txt-85-29	0
fic_1833_7239.txt-2507-11	11
mag_1833_564542.txt-49-6	12
fic_1844_7187.txt-489-25	4
mag_1850_565940.txt-174-9	-1
fic_1847_7124.txt-2094-13	0
fic_1846_7036.txt-2226-29	1
fic_1846_7121.txt-955-17	1
fic_1849_8065.txt-361-27	1
fic_1837_7395.txt-2167-5	0
fic_1859_270.txt-401-88	1
fic_1856_9852.txt-2080-16	0
fic_1846_7136.txt-1711-20	13
fic_1853_3465.txt-428-7	1
fic_1843_7208.txt-12479-12	7
fic_1839_7204.txt-433-43	1
fic_1851_746.txt-4519-42	0
fic_1843_7116.txt-400-18	1
fic_1858_1282.txt-2858-67	1
fic_1827_7168.txt-909-183	-1
fic_1860_9165.txt-3887-15	0
nf_1851_747930.txt-2962-24	1
fic_1854_7839.txt-517-5	0
fic_1844_3928.txt-355-13	1
mag_1820_553305.txt-6-2	-1
fic_1839_7336.txt-2484-29	8
fic_1854_9230.txt-1889-2	0
fic_1844_7148.txt-96-14	1
fic_1853_9040.txt-443-12	1
