identifier	cluster
nf_1858_747890.txt-1633-3	0
nf_1858_747890.txt-792-5	0
fic_1846_544.txt-3430-5	0
fic_1824_7278.txt-989-22	0
fic_1853_4303.txt-1570-30	0
fic_1844_7189.txt-2280-26	0
fic_1831_8376.txt-4942-4	0
fic_1836_7111.txt-1882-14	0
mag_1838_554654.txt-295-19	0
fic_1846_4464.txt-1775-9	0
fic_1856_7889.txt-218-68	0
mag_1831_563912.txt-14-6	0
fic_1853_9200.txt-1628-23	0
mag_1859_506406.txt-218-6	0
fic_1851_3336.txt-2841-13	0
fic_1856_2470.txt-5940-8	0
mag_1851_504024.txt-369-23	0
fic_1822_7243.txt-2784-30	0
fic_1849_7006.txt-2460-3	0
fic_1848_7009.txt-3726-46	0
nf_1845_747928.txt-712-7	0
nf_1845_747909.txt-1201-33	0
nf_1845_747928.txt-48-41	0
fic_1853_9040.txt-1302-23	0
fic_1849_7230.txt-1758-7	0
mag_1851_525821.txt-26-21	0
fic_1836_7040.txt-2834-40	0
fic_1848_7341.txt-544-26	0
fic_1837_7452.txt-1377-7	0
nf_1851_747930.txt-4010-15	0
fic_1848_7009.txt-3202-24	0
fic_1833_7201.txt-717-24	0
fic_1859_270.txt-4005-9	0
nf_1844_747892.txt-285-15	0
nf_1841_747926.txt-2077-1	0
nf_1833_747941.txt-1275-24	0
fic_1822_7243.txt-4765-23	0
fic_1837_8325.txt-1062-42	0
fic_1850_2535.txt-108-5	0
mag_1848_555520.txt-129-53	0
mag_1858_566921.txt-158-3	-1
fic_1847_8247.txt-115-11	0
fic_1852_2751.txt-15085-31	0
nf_1844_762654.txt-2000-47	0
fic_1854_8328.txt-2813-25	0
nf_1858_747890.txt-902-2	0
nf_1858_747890.txt-177-42	0
nf_1841_747926.txt-950-14	0
nf_1858_747890.txt-1017-11	0
fic_1853_2409.txt-622-6	0
nf_1834_747621.txt-729-73	0
fic_1856_9797.txt-6645-69	0
nf_1841_747926.txt-1510-45	0
fic_1839_7336.txt-168-16	0
nf_1851_758845.txt-1961-56	0
mag_1854_566452.txt-328-15	0
fic_1839_7335.txt-551-10	0
nf_1845_747928.txt-861-20	0
fic_1835_7134.txt-934-27	0
mag_1837_554445.txt-162-10	0
nf_1833_747941.txt-896-4	0
fic_1845_7170.txt-3107-11	0
fic_1832_7177.txt-2251-5	0
fic_1835_7014.txt-3380-18	0
fic_1860_615.txt-851-48	0
mag_1832_554167.txt-84-20	0
fic_1855_2661.txt-1093-19	0
fic_1844_9118.txt-279-19	0
nf_1833_747941.txt-247-38	0
nf_1849_755107.txt-2709-2	0
fic_1846_7121.txt-989-51	0
nf_1848_747893.txt-2337-60	0
nf_1851_747930.txt-4018-1	0
fic_1849_7230.txt-2090-6	0
fic_1850_7171.txt-5572-3	0
nf_1856_769051.txt-2612-27	0
mag_1851_555720.txt-8-25	0
fic_1856_9779.txt-13013-23	0
nf_1853_771859.txt-1580-12	0
nf_1833_747941.txt-839-20	0
fic_1854_9218.txt-0-21	0
nf_1845_747928.txt-890-10	0
nf_1856_769051.txt-3330-25	0
fic_1846_4462.txt-2507-79	0
fic_1827_7168.txt-303-74	0
nf_1851_747930.txt-3604-60	0
fic_1849_7216.txt-4777-12	0
fic_1855_2965.txt-2197-4	0
nf_1847_754437.txt-2309-4	0
nf_1848_747893.txt-2604-12	0
nf_1841_747926.txt-1956-10	0
nf_1850_747863.txt-1002-17	0
nf_1841_747926.txt-2442-3	0
fic_1858_9231.txt-2377-16	0
nf_1849_747900.txt-1005-19	0
fic_1845_7170.txt-517-23	0
fic_1824_7037.txt-2407-4	0
nf_1836_749613.txt-1908-19	0
nf_1833_747941.txt-1621-0	0
fic_1860_8118.txt-263-11	0
fic_2002_47054.txt-391-39	0
mag_1962_133963.txt-63-22	0
fic_1966_1008.txt-127-39	0
fic_1997_42318.txt-0-28	0
mag_1995_415114.txt-72-44	0
fic_1982_23959.txt-129-50	0
fic_1979_782021.txt-4577-6	0
mag_2001_413864.txt-165-22	0
nf_1963_774222.txt-1849-38	0
fic_1992_40397.txt-88-4	0
mag_2000_401771.txt-55-20	0
fic_1993_25027.txt-2573-3	0
mag_2001_417542.txt-58-33	0
fic_1980_782023.txt-2096-18	0
fic_1976_14235.txt-3398-25	0
mag_1996_383581.txt-42-34	0
mag_2007_390031.txt-138-5	0
fic_1966_10473.txt-4995-32	0
fic_2008_36175.txt-25-2	0
fic_1965_10458.txt-3606-5	0
mag_2002_385274.txt-73-20	0
mag_1987_335053.txt-1-46	0
fic_1977_10623.txt-3197-9	0
news_1994_620109.txt-17-17	0
fic_1982_10699.txt-3505-4	0
mag_1974_316565.txt-1-41	0
fic_1961_23773.txt-58-21	0
fic_1960_5137.txt-2608-29	0
fic_1985_10734.txt-13281-7	0
fic_1981_782025.txt-2226-26	0
fic_2005_780519.txt-398-22	0
mag_1973_431867.txt-184-0	0
fic_1967_10494.txt-3896-11	0
news_2002_603921.txt-36-47	0
fic_1980_10663.txt-55-9	0
fic_1962_23786.txt-2607-16	0
fic_1971_10537.txt-1750-14	0
mag_1972_431829.txt-43-11	0
fic_1983_10707.txt-3756-9	0
fic_1983_10710.txt-1940-6	0
fic_2001_27768.txt-138-23	0
fic_1990_13677.txt-711-9	0
news_2006_623963.txt-66-14	0
fic_1988_10770.txt-4481-5	0
mag_1998_400662.txt-36-34	0
fic_1990_13677.txt-691-5	0
nf_1998_774048.txt-896-20	0
fic_1993_1040090.txt-3862-7	0
fic_1990_53204.txt-243-10	0
fic_2003_47913.txt-16-32	0
fic_1993_25015.txt-1504-20	0
fic_1960_24500.txt-1125-15	0
mag_1967_431741.txt-90-5	0
fic_1993_16196.txt-1845-17	0
fic_2009_36385.txt-165-12	0
mag_2001_417542.txt-66-6	0
mag_1961_246105.txt-22-37	0
fic_1979_780155.txt-3663-8	0
fic_1973_780108.txt-4382-6	0
mag_2000_369093.txt-6-26	0
fic_1986_10739.txt-4192-2	0
fic_1989_782038.txt-2623-13	0
fic_1963_780073.txt-2749-16	0
fic_1998_44220.txt-236-8	0
nf_1973_773920.txt-539-1	0
fic_1987_10756.txt-5694-8	0
fic_1993_1040085.txt-3801-15	0
fic_1993_25011.txt-2130-12	0
fic_1965_10456.txt-3603-11	0
fic_1997_42212.txt-874-3	0
mag_1967_490647.txt-48-14	0
fic_2000_38702.txt-269-12	0
fic_2005_31446.txt-103-18	0
fic_1974_13258.txt-455-7	0
fic_2004_30237.txt-24-9	0
nf_1982_774241.txt-290-5	0
fic_1991_53459.txt-84-28	0
fic_2005_32824.txt-126-40	0
mag_1993_409306.txt-20-29	0
fic_1988_13311.txt-1418-5	0
mag_1990_420777.txt-5-22	0
fic_2006_51660.txt-30-13	0
mag_1988_337446.txt-8-3	0
news_2005_604814.txt-2-2	0
fic_2002_46745.txt-1334-12	0
fic_1986_10746.txt-369-25	0
fic_1975_10600.txt-1237-18	0
fic_1994_41229.txt-259-54	0
fic_1987_16030.txt-1901-11	0
fic_2007_33569.txt-46-5	0
mag_1977_490796.txt-116-13	0
fic_1960_10392.txt-1475-22	0
fic_1992_53515.txt-136-45	0
mag_1992_396817.txt-96-55	0
mag_1995_420946.txt-118-17	0
fic_1973_10570.txt-3739-10	0
fic_1982_13389.txt-1772-18	0
fic_2007_52474.txt-242-17	0
fic_1989_5359.txt-6480-27	0
fic_1997_42230.txt-691-13	0
