lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	excluded_nodes	judgments_per_edge	edgeshares	nodes	judgments_total
afternoon_nn	0.5	0.0013774104683195593	1	0.004132231404958678	0	1	0	0	1	1.757201646090535	1=0.43,2=0.39,3=0.16,4=0.01	200	427
attack_nn	41.0	0.05071119356833643	84	0.15584415584415584	44	40	27	0	0	1.9165120593692022	1=0.42,2=0.33,3=0.19,4=0.04,5=0.02,6=0.00	200	1033
bag_nn	9.0	0.019672131147540985	10	0.03278688524590164	2	8	0	0	3	1.698051948051948	1=0.50,2=0.34,3=0.13,4=0.03,5=0.00	200	523
ball_nn	50.5	0.03834472285497342	87	0.09908883826879271	62	25	71	3	4	1.5731981981981982	1=0.59,2=0.28,3=0.10,4=0.03,5=0.00,6=0.00	200	1397
bar_nn	24.0	0.017977528089887642	43	0.048314606741573035	34	9	2288	3	10	1.6949516648764769	1=0.49,2=0.36,3=0.13,4=0.02,5=0.00	200	1578
bit_nn	55.0	0.046354825115887066	89	0.1125158027812895	62	27	98	1	0	1.4919454770755887	1=0.66,2=0.23,3=0.09,4=0.02,5=0.00	200	1204
chairman_nn	0.0	0.0	0	0.0	0	0	0	0	0	1.6971830985915493	1=0.45,2=0.42,3=0.12,4=0.01	200	482
chef_nn	9.5	0.020364415862808145	14	0.04501607717041801	10	4	31	0	23	1.5875706214689265	1=0.62,2=0.23,3=0.10,4=0.04,5=0.01	165	562
circle_vb	80.0	0.07718282682103232	135	0.19536903039073805	40	95	50	0	2	1.724186704384724	1=0.55,2=0.24,3=0.16,4=0.04,5=0.01,6=0.00	200	1219
contemplation_nn	1.5	0.0033333333333333335	3	0.01	1	2	0	0	0	1.7033333333333334	1=0.48,2=0.37,3=0.11,4=0.03,5=0.01	200	511
donkey_nn	8.0	0.016985138004246284	10	0.03184713375796178	4	6	1	0	3	1.665625	1=0.50,2=0.35,3=0.13,4=0.02	200	533
edge_nn	45.5	0.044938271604938275	75	0.1111111111111111	58	17	56	4	3	1.52863436123348	1=0.62,2=0.25,3=0.11,4=0.01,5=0.00,6=0.00	200	1041
face_nn	4.0	0.0053226879574184965	14	0.027944111776447105	14	0	12	0	1	1.8035714285714286	1=0.46,2=0.33,3=0.18,4=0.03,5=0.00,7=0.00	200	909
