identifier	cluster
bib11653825_18121109_145134_130_0007_alto.xml-0-76	-1
bib11653806_18111231_145120_150_0003_alto.xml-0-19	0
bib19520388_18000625_147487_26_0004_alto.xml-2-21	-1
bib11653828_17911126_144028_275_0004_alto.xml-11-14	-1
bib19225772_18201219_148004_148_0001_alto.xml-1-8	-1
bib19227306_18281217_147700_51_0001_alto.xml-9-31	0
bib11653825_18130118_145134_9_0003_alto.xml-14-12	-1
bib19227291_18250209_145289_6_0002_alto.xml-15-9	-1
bib11653828_18240528_144028_122_0001_alto.xml-3-2	0
bib11653825_18060630_145134_80_0002_alto.xml-1-10	-1
bib11653828_18220501_144028_100_0004_alto.xml-2-22	0
bib13506739_18290403_144030_77_0006_alto.xml-10-47	0
bib11653823_18300701_144010_148_0002_alto.xml-18-22	-1
bib11653806_18190507_145120_51_0004_alto.xml-3-48	0
bib19227291_18290923_145289_39_0002_alto.xml-1-62	0
bib13506739_18111205_144030_284_0015_alto.xml-3-10	0
bib19225772_18090707_148004_75_0001_alto.xml-3-33	0
bib11653828_18281231_144028_300_0002_alto.xml-15-26	1
bib15650837_18290819_146391_66_0003_alto.xml-2-15	0
bib19227306_18280819_147700_34_0003_alto.xml-3-33	-1
bib13506739_18051211_144030_287_0006_alto.xml-5-23	-1
bib11653828_18180606_144028_127_0002_alto.xml-1-17	0
bib13506739_18291224_144030_299_0012_alto.xml-14-13	0
bib13506739_18230313_144030_60_0011_alto.xml-0-9	-1
bib11653823_18230125_144010_20_0002_alto.xml-13-16	2
bib11653828_18180117_144028_13_0003_alto.xml-12-25	0
bib11653828_18290214_144028_37_0004_alto.xml-2-69	0
bib13506739_17971120_144030_266_0002_alto.xml-1-9	0
bib11653828_18160613_144028_135_0001_alto.xml-7-30	0
bib13506739_18070515_144030_110_0002_alto.xml-0-23	1
bib19520388_18020414_147487_15_0002_alto.xml-4-8	-1
bib11653825_18120727_145134_87_0004_alto.xml-5-4	-1
bib11653828_18300104_144028_2_0002_alto.xml-2-14	0
bib11653828_18150513_144028_109_0001_alto.xml-10-11	-1
bib19225772_18230516_148004_55_0001_alto.xml-4-12	0
bib11653828_18230320_144028_66_0004_alto.xml-0-14	0
bib13506739_18281001_144030_229_0001_alto.xml-13-12	-1
bib19277346_18210901_147394_36_0002_alto.xml-4-23	-1
bib13506739_18261018_144030_231_0001_alto.xml-11-8	0
bib11653828_18270130_144028_24_0004_alto.xml-2-9	0
bib19225772_18100720_148004_81_0001_alto.xml-3-15	0
bib11653828_18270628_144028_148_0004_alto.xml-11-34	0
bib11653828_18280415_144028_87_0002_alto.xml-12-7	0
bib19277346_18171011_147394_41_0002_alto.xml-8-9	0
bib11653828_18080121_144028_16_0001_alto.xml-5-54	0
bib19225772_18121124_148004_134_0002_alto.xml-8-31	-1
bib19223423_18000118_145063_6_0002_alto.xml-5-14	-1
bib19225772_18120131_148004_12_0004_alto.xml-11-6	-1
bib19225772_18040124_148004_9_0001_alto.xml-8-17	-1
bib11653828_17930418_144028_87_0002_alto.xml-9-18	-1
bib11653828_17971111_144028_259_0002_alto.xml-5-16	-1
bib15650837_17900127_146391_8_0004_alto.xml-2-25	-1
bib11653828_18190107_144028_4_0003_alto.xml-10-62	-1
bib11653823_18260821_144010_192_0004_alto.xml-1-88	0
bib11653828_18260412_144028_83_0001_alto.xml-9-9	0
bib13506739_17950608_144030_127_0002_alto.xml-0-14	-1
bib11653828_18200126_144028_20_0003_alto.xml-9-107	-1
bib11653828_18160827_144028_198_0003_alto.xml-1-22	0
bib11653823_18270929_144010_228_0004_alto.xml-20-11	0
bib11653828_18030304_144028_52_0002_alto.xml-15-2	-1
bib19520388_18010401_147487_13_0001_alto.xml-1-26	-1
bib11653828_17920806_144028_179_0002_alto.xml-8-31	-1
bib11653825_18121123_145134_136_0002_alto.xml-1-10	-1
bib13506739_18020626_144030_141_0004_alto.xml-6-24	-1
bib11653828_18211002_144028_230_0003_alto.xml-7-15	0
bib11653828_18231016_144028_240_0003_alto.xml-2-2	-1
bib19223423_18000514_145063_39_0004_alto.xml-6-24	0
bib11653828_17960208_144028_31_0003_alto.xml-12-31	0
bib13506739_17960512_144030_106_0004_alto.xml-9-26	-1
bib19227291_18170709_145289_28_0002_alto.xml-7-19	-1
bib11653828_18051128_144028_276_0001_alto.xml-13-15	1
bib11653828_18010112_144028_8_0003_alto.xml-6-22	-1
bib19225792_17940830_147359_35_0006_alto.xml-2-34	0
bib19227291_18230409_145289_15_0002_alto.xml-14-19	0
bib11653828_18171117_144028_266_0011_alto.xml-7-22	0
bib11653828_18230917_144028_215_0003_alto.xml-5-15	0
bib11653828_18190618_144028_138_0002_alto.xml-2-27	-1
bib19225772_18140107_148004_3_0001_alto.xml-5-12	-1
bib11653828_18180610_144028_130_0001_alto.xml-2-30	0
bib11653828_18221202_144028_281_0001_alto.xml-2-15	0
bib13506739_18280314_144030_63_0001_alto.xml-23-12	0
bib19225772_17910308_148003_19_0001_alto.xml-0-20	-1
bib11653828_18150623_144028_143_0003_alto.xml-5-50	0
bib11653828_17911003_144028_228_0002_alto.xml-0-65	-1
bib13506739_18070820_144030_191_0002_alto.xml-4-8	-1
bib19223423_18110619_145063_49_0002_alto.xml-5-70	-1
bib11653828_17940118_144028_14_0004_alto.xml-2-31	-1
bib11653806_18151104_145120_116_0001_alto.xml-0-17	0
bib11653828_18190819_144028_190_0003_alto.xml-11-38	-1
bib11653823_18250929_144010_225_0001_alto.xml-3-27	0
bib19277277_18270508_147682_106_0001_alto.xml-34-16	-1
bib11653828_18201117_144028_268_0004_alto.xml-11-12	0
bib11653828_18081128_144028_277_0003_alto.xml-1-19	-1
bib11653828_18290126_144028_20_0002_alto.xml-2-80	0
bib13506739_18170809_144030_182_0008_alto.xml-12-15	-1
bib19225792_18111116_147359_46_0002_alto.xml-0-43	-1
bib11653828_17930831_144028_198_0001_alto.xml-1-27	-1
bib19277277_18280229_147682_51_0001_alto.xml-15-24	5
bib11653828_18150607_144028_129_0002_alto.xml-16-7	-1
bib11653806_18090407_145120_42_0002_alto.xml-0-3	0
bib15873936_18950622_147385_73_0002_alto.xml-77-34	0
bib19227291_18970316_145289_32_0002_alto.xml-75-29	0
bib11653811_19030228_145317_34_0003_alto.xml-141-18	1
bib11653811_18980314_145317_41_0002_alto.xml-93-6	1
bib19227462_18950329_147640_74_0002_alto.xml-100-39	0
bib19225758_18950411_144022_85_0002_alto.xml-178-29	0
bib15869824_18960715_145700_56_0002_alto.xml-78-12	-1
bib15760600_18950620_146401_73_0004_alto.xml-95-99	3
bib19225758_18950805_144022_179_0001_alto.xml-39-9	0
bib19277301_18961205_145146_101_0003_alto.xml-39-16	2
bib15873936_18960808_147385_91_0003_alto.xml-148-54	1
bib11653811_19011018_145317_161_0003_alto.xml-35-13	0
bib19227291_18950430_145289_51_0003_alto.xml-125-1	0
bib15650837_18951213_146391_291_0004_alto.xml-64-20	0
bib11653811_19000328_145317_48_0003_alto.xml-214-6	1
bib15760600_18950112_146401_5_0001_alto.xml-9-15	0
bib11653838_19001207_147024_49_0003_alto.xml-16-20	1
bib19227462_18951206_147640_285_0002_alto.xml-186-91	0
bib15873371_18950314_145112_72_0003_alto.xml-19-21	-1
bib15873936_18951008_147385_118_0002_alto.xml-133-7	-1
bib11653790_18950215_145648_8_0001_alto.xml-4-18	0
bib11653838_19020110_147024_2_0002_alto.xml-44-1	-1
bib15760600_18950831_146401_103_0005_alto.xml-67-9	-1
bib19227462_18950308_147640_57_0002_alto.xml-87-4	0
bib15650835_18950604_146472_48_0003_alto.xml-216-10	1
bib11653790_18970409_145648_28_0003_alto.xml-125-11	0
bib11653838_19031016_147024_42_0001_alto.xml-51-36	0
bib11653811_19011030_145317_168_0004_alto.xml-102-77	0
bib15975090_18960307_148377_30_0003_alto.xml-112-49	1
bib11653811_18950202_145317_19_0003_alto.xml-7-36	0
bib19277277_18950809_147683_214_0002_alto.xml-15-62	0
bib15975090_18960818_148377_102_0002_alto.xml-65-48	0
bib11653838_19010809_147024_32_0001_alto.xml-31-45	0
bib19227291_18951109_145289_134_0002_alto.xml-93-8	0
bib15975090_18950730_148377_89_0004_alto.xml-24-12	0
bib11653830_18950911_146968_104_0003_alto.xml-79-36	1
bib11653811_19030523_145317_79_0002_alto.xml-181-10	0
bib11653811_19000526_145317_80_0002_alto.xml-90-23	0
bib19277277_18950524_147683_139_0006_alto.xml-34-70	0
bib15761570_18951224_146176_212_0022_alto.xml-124-26	0
bib15761570_18950612_146176_97_0002_alto.xml-62-23	0
bib19227291_18970610_145289_69_0002_alto.xml-98-52	0
bib15760690_18950202_145050_19_0001_alto.xml-67-6	4
bib19225758_18950824_144022_196_0006_alto.xml-15-2	0
bib15650837_18950726_146391_171_0003_alto.xml-6-56	0
bib11653811_19010731_145317_116_0003_alto.xml-39-20	1
bib15761570_18950109_146176_6_0003_alto.xml-31-10	1
bib11653811_18960617_145317_91_0002_alto.xml-169-28	1
bib11653811_18950126_145317_15_0004_alto.xml-29-2	0
bib11653830_18961001_146968_79_0003_alto.xml-38-14	0
bib11653811_19020920_145317_144_0003_alto.xml-84-47	1
bib19225758_18950108_144022_6_0001_alto.xml-61-25	1
bib15975090_18960721_148377_89_0004_alto.xml-43-7	1
bib15873371_18950517_145112_133_0002_alto.xml-35-14	0
bib11653811_18951016_145317_160_0001_alto.xml-5-10	4
bib19225758_18950423_144022_93_0002_alto.xml-72-49	0
bib11653790_18970209_145648_11_0003_alto.xml-128-6	0
bib11653790_19020729_145648_58_0001_alto.xml-43-38	0
bib15650814_18951015_146365_241_0003_alto.xml-115-15	1
