identifier	cluster
bib19225772_17930705_148003_52_0003_alto.xml-6-22	0
bib19227291_18290513_145289_20_0003_alto.xml-15-35	0
bib11653828_18110417_144028_88_0003_alto.xml-9-20	0
bib19277277_18250322_147682_67_0002_alto.xml-15-87	0
bib19225772_18090329_148004_36_0002_alto.xml-2-38	0
bib11653828_18260911_144028_210_0002_alto.xml-5-4	0
bib13506739_18191013_144030_237_0001_alto.xml-0-19	0
bib19223423_18090201_145063_9_0002_alto.xml-11-48	0
bib11653792_17990511_146919_19_0002_alto.xml-2-5	0
bib13506739_18120626_144030_145_0001_alto.xml-2-25	0
bib11653828_18270122_144028_17_0003_alto.xml-0-57	0
bib11653823_18251010_144010_234_0001_alto.xml-17-9	0
bib13506739_18190507_144030_104_0006_alto.xml-2-46	0
bib13506739_18130330_144030_73_0003_alto.xml-7-5	0
bib11653828_18291002_144028_228_0002_alto.xml-7-17	0
bib19225792_18241204_147359_49_0006_alto.xml-10-7	-1
bib19225792_18230621_147359_24_0002_alto.xml-1-4	0
bib13506739_18190507_144030_104_0008_alto.xml-9-30	0
bib15650837_18050427_146391_34_0004_alto.xml-15-3	0
bib19225772_18000312_148004_29_0003_alto.xml-0-67	0
bib19225772_18300803_148004_86_0001_alto.xml-1-15	0
bib13506739_18171230_144030_301_0001_alto.xml-6-33	0
bib11653823_18211011_144010_238_0006_alto.xml-14-1	0
bib13506739_18071216_144030_292_0002_alto.xml-4-29	0
bib19223423_18130320_145063_23_0003_alto.xml-6-18	-1
bib13506739_18200515_144030_110_0001_alto.xml-1-39	0
bib11653828_18080531_144028_124_0002_alto.xml-10-8	0
bib13506739_18190506_144030_103_0001_alto.xml-5-65	0
bib19223423_18080210_145063_12_0001_alto.xml-0-41	0
bib11653823_18211001_144010_229_0002_alto.xml-2-23	0
bib19223423_18080326_145063_25_0002_alto.xml-1-18	0
bib13506739_18210410_144030_84_0002_alto.xml-0-18	0
bib11653828_18270818_144028_192_0003_alto.xml-9-51	0
bib13506739_18280322_144030_70_0001_alto.xml-2-85	0
bib13506739_18250830_144030_199_0003_alto.xml-0-23	0
bib11653828_18271128_144028_279_0003_alto.xml-14-11	0
bib13506739_18130421_144030_90_0001_alto.xml-2-27	0
bib13506739_18171017_144030_241_0001_alto.xml-6-3	0
bib19225772_18170305_148004_26_0001_alto.xml-6-26	0
bib11653823_18230515_144010_110_0006_alto.xml-0-3	0
bib19225792_18090128_147359_4_0007_alto.xml-3-6	0
bib11653792_18181031_146919_43_0002_alto.xml-6-23	0
bib13506739_18220628_144030_147_0003_alto.xml-8-6	0
bib11653823_18300203_144010_27_0003_alto.xml-7-0	0
bib11653828_18270120_144028_16_0002_alto.xml-12-17	0
bib15650837_18120912_146391_73_0004_alto.xml-5-62	0
bib13506739_18200404_144030_76_0008_alto.xml-1-15	0
bib13506739_18120907_144030_207_0001_alto.xml-0-11	0
bib11653792_18190703_146919_26_0002_alto.xml-3-22	0
bib13506739_17920202_144030_27_0004_alto.xml-11-33	0
bib13506739_18051216_144030_291_0004_alto.xml-15-20	0
bib15650837_17910622_146391_49_0003_alto.xml-3-6	0
bib19223423_18290801_145063_61_0002_alto.xml-15-8	0
bib13506739_18251101_144030_253_0001_alto.xml-15-36	0
bib19225772_18240804_148004_88_0001_alto.xml-5-19	0
bib15650837_18090318_146391_22_0003_alto.xml-3-25	0
bib13506739_18120206_144030_30_0002_alto.xml-3-1	0
bib11653828_18121007_144028_233_0002_alto.xml-3-5	0
bib13506739_18210615_144030_137_0001_alto.xml-2-10	0
bib19277277_18290326_147682_70_0001_alto.xml-32-1	0
bib13506739_17960910_144030_207_0004_alto.xml-7-34	0
bib19277277_18280617_147682_139_0001_alto.xml-20-2	0
bib11653823_18251026_144010_248_0001_alto.xml-12-6	0
bib11653823_18250226_144010_47_0004_alto.xml-7-23	0
bib15650837_18291230_146391_104_0001_alto.xml-2-2	0
bib19277277_18270918_147682_218_0001_alto.xml-0-53	0
bib11653823_18300218_144010_40_0003_alto.xml-21-21	0
bib15650837_18061203_146391_96_0004_alto.xml-10-21	0
bib19277277_18270626_147682_146_0001_alto.xml-1-94	0
bib19223423_18130505_145063_36_0003_alto.xml-5-53	0
bib15650837_18271017_146391_83_0002_alto.xml-1-3	0
bib11653823_18211029_144010_253_0002_alto.xml-14-3	0
bib19225772_18000306_148004_27_0003_alto.xml-12-57	0
bib19277277_18270227_147682_48_0001_alto.xml-25-2	0
bib13506739_18280117_144030_14_0002_alto.xml-8-99	0
bib11653823_18240916_144010_215_0006_alto.xml-4-25	0
bib13506739_18090111_144030_8_0004_alto.xml-15-11	0
bib13506739_17951230_144030_298_0004_alto.xml-1-18	0
bib19227291_18271128_145289_48_0003_alto.xml-12-22	0
bib11653828_18270214_144028_37_0002_alto.xml-19-63	0
bib11653828_18300922_144028_219_0002_alto.xml-11-12	0
bib11653828_18020814_144028_183_0002_alto.xml-7-4	0
bib11653825_18070511_145134_57_0008_alto.xml-3-20	-1
bib11653828_18291002_144028_228_0003_alto.xml-16-12	0
bib19227291_18300324_145289_12_0003_alto.xml-11-9	0
bib13506739_17901203_144030_281_0004_alto.xml-10-4	0
bib13506739_18070829_144030_199_0003_alto.xml-12-28	0
bib11653828_18150103_144028_2_0002_alto.xml-2-104	0
bib11653806_18160924_145120_102_0007_alto.xml-7-0	0
bib13506739_18140214_144030_36_0004_alto.xml-14-16	0
bib13506739_17940410_144030_82_0004_alto.xml-8-25	0
bib19225772_18070715_148004_78_0001_alto.xml-0-71	0
bib13506739_18250305_144030_53_0001_alto.xml-0-18	0
bib19223423_18290801_145063_61_0002_alto.xml-17-2	0
bib11653828_18220610_144028_132_0004_alto.xml-5-12	0
bib13506739_18280114_144030_11_0001_alto.xml-11-2	0
bib15650837_17911210_146391_98_0003_alto.xml-0-5	0
bib11653828_18020218_144028_40_0002_alto.xml-16-11	0
bib15650837_18000506_146391_50_0002_alto.xml-3-81	0
bib13506739_18071217_144030_293_0002_alto.xml-11-8	0
bib15873936_18961107_147385_130_0004_alto.xml-100-14	0
bib19277301_18960706_145146_54_0002_alto.xml-68-2	0
bib15650835_18950219_146472_14_0002_alto.xml-90-11	0
bib15650837_18950610_146391_132_0002_alto.xml-68-32	0
bib15760600_18950806_146401_92_0004_alto.xml-66-8	0
bib15978012_18950327_148361_72_0002_alto.xml-77-14	0
bib19277277_18950110_147683_9_0007_alto.xml-35-0	0
bib11653811_19010211_145317_24_0003_alto.xml-143-12	0
bib11653811_18970227_145317_32_0003_alto.xml-157-12	0
bib11653790_18981216_145648_97_0003_alto.xml-142-14	0
bib19277277_18950428_147683_114_0006_alto.xml-71-18	0
bib19277277_18950211_147683_41_0005_alto.xml-35-12	0
bib15650835_18950820_146472_70_0003_alto.xml-56-10	0
bib19277301_18960523_145146_42_0003_alto.xml-11-10	0
bib19277277_18950527_147683_142_0004_alto.xml-33-22	0
bib15873371_18950914_145112_251_0002_alto.xml-174-14	-1
bib11653811_18950426_145317_63_0003_alto.xml-94-13	0
bib11653790_18991205_145648_95_0002_alto.xml-77-11	0
bib19227462_18951003_147640_230_0003_alto.xml-194-32	0
bib19227462_18950622_147640_143_0003_alto.xml-86-2	0
bib15650837_18950330_146391_75_0007_alto.xml-108-79	0
bib11653790_19021010_145648_79_0003_alto.xml-119-4	0
bib15975090_18951015_148377_122_0003_alto.xml-170-3	0
bib19227462_18951216_147640_293_0002_alto.xml-113-18	0
bib11653830_18970308_146968_19_0002_alto.xml-48-3	0
bib11653811_19020321_145317_44_0002_alto.xml-65-26	0
bib19277277_18951001_147683_267_0006_alto.xml-140-0	0
bib11653811_18950220_145317_29_0002_alto.xml-33-7	0
bib19349359_18950813_148383_95_0003_alto.xml-112-0	0
bib11653811_19030307_145317_38_0002_alto.xml-231-2	0
bib19277277_18950830_147683_235_0003_alto.xml-28-5	0
bib11653790_18990224_145648_15_0003_alto.xml-152-128	0
bib15873371_18950320_145112_78_0003_alto.xml-66-27	0
bib15873371_18950812_145112_217_0002_alto.xml-24-9	0
bib11653811_18980617_145317_91_0001_alto.xml-56-125	0
bib19277277_18950907_147683_243_0010_alto.xml-5-1	0
bib11653811_18980615_145317_90_0002_alto.xml-151-15	0
bib11653811_19031212_145317_193_0003_alto.xml-12-7	0
bib11653830_18980630_146968_50_0001_alto.xml-56-3	0
bib15978012_18950207_148361_32_0003_alto.xml-93-6	0
bib19225758_18950511_144022_109_0003_alto.xml-8-12	0
bib19227291_18960404_145289_41_0002_alto.xml-72-3	0
bib11653838_19001116_147024_46_0001_alto.xml-81-4	0
bib19225758_18951015_144022_240_0003_alto.xml-54-9	0
bib19277277_18950131_147683_30_0006_alto.xml-55-7	0
bib15975090_18951010_148377_120_0004_alto.xml-79-12	0
bib15873371_18950627_145112_171_0003_alto.xml-120-76	0
bib19277301_18960727_145146_60_0002_alto.xml-111-12	0
bib15760600_18950409_146401_42_0003_alto.xml-60-115	0
bib15975090_18950910_148377_107_0004_alto.xml-15-66	0
bib11653811_19010722_145317_111_0002_alto.xml-52-29	0
bib11653830_18950413_146968_43_0003_alto.xml-53-15	0
bib15650835_18950423_146472_36_0002_alto.xml-40-28	0
bib11653838_19030515_147024_20_0001_alto.xml-135-10	0
bib11653811_19030919_145317_145_0003_alto.xml-14-20	0
bib11653811_19031127_145317_184_0002_alto.xml-62-1	0
bib11653838_19000316_147024_11_0004_alto.xml-154-17	0
bib11653811_19010109_145317_5_0001_alto.xml-50-15	0
bib11653790_18961218_145648_51_0006_alto.xml-126-2	-1
bib15761097_18950319_145020_33_0004_alto.xml-75-9	0
bib15760600_18951010_146401_120_0004_alto.xml-11-0	0
bib19277277_18950319_147683_77_0004_alto.xml-15-159	1
bib11653790_18981230_145648_101_0006_alto.xml-3-2	0
bib15761097_18950131_145020_13_0003_alto.xml-15-3	0
bib11653815_18971206_146944_141_0003_alto.xml-77-21	0
bib11653830_18970701_146968_52_0003_alto.xml-115-4	0
bib15760600_18950119_146401_8_0004_alto.xml-121-20	0
bib19227462_18950930_147640_227_0003_alto.xml-156-9	0
bib11653790_18970112_145648_3_0003_alto.xml-152-4	0
bib19227462_18950227_147640_49_0003_alto.xml-12-16	0
bib19277277_18950117_147683_16_0005_alto.xml-102-2	0
bib19277277_18950606_147683_151_0005_alto.xml-82-68	0
bib15650835_18950614_146472_51_0003_alto.xml-105-17	0
bib19277277_18950906_147683_242_0003_alto.xml-33-1	0
bib15650837_18950930_146391_227_0002_alto.xml-3-81	0
bib11653811_18990529_145317_80_0001_alto.xml-74-8	0
bib15975087_18951111_145596_175_0003_alto.xml-77-7	0
bib11653790_18960228_145648_9_0005_alto.xml-113-6	0
bib11653815_18960812_146944_64_0002_alto.xml-87-29	0
bib15760690_18951111_145050_174_0001_alto.xml-61-62	0
