identifier	cluster
bib19277277_18271108_147682_262_0001_alto.xml-12-5	0
bib11653823_18280522_144010_118_0008_alto.xml-2-11	0
bib19277277_18280512_147682_110_0002_alto.xml-15-1	0
bib15650837_18261129_146391_95_0002_alto.xml-3-13	0
bib11653823_18300914_144010_212_0001_alto.xml-0-13	-1
bib11653823_18270227_144010_48_0004_alto.xml-9-24	0
bib13506739_18280331_144030_76_0003_alto.xml-19-26	0
bib13506739_18230604_144030_125_0003_alto.xml-3-26	0
bib19227306_18281210_147700_50_0002_alto.xml-6-19	0
bib11653825_18190403_145134_40_0006_alto.xml-7-23	0
bib11653828_18201129_144028_278_0003_alto.xml-4-27	0
bib13506739_18271006_144030_234_0001_alto.xml-10-59	0
bib11653823_18300104_144010_2_0004_alto.xml-7-29	0
bib13506739_18290321_144030_67_0002_alto.xml-16-21	0
bib19227306_18271030_147700_18_0002_alto.xml-0-34	0
bib13506739_18260316_144030_51_0004_alto.xml-29-7	0
bib13506739_18271203_144030_283_0001_alto.xml-22-30	0
bib11653828_18100413_144028_87_0002_alto.xml-6-103	0
bib13506739_18291001_144030_227_0001_alto.xml-25-28	0
bib19277277_18290526_147682_120_0001_alto.xml-18-45	0
bib13506739_18290722_144030_166_0005_alto.xml-44-2	0
bib19227291_18290218_145289_8_0002_alto.xml-13-129	0
bib19225772_17930416_148003_29_0002_alto.xml-8-19	0
bib11653828_18300519_144028_114_0002_alto.xml-17-29	0
bib19277346_18201118_147394_47_0002_alto.xml-9-16	0
bib13506739_18280502_144030_102_0004_alto.xml-5-7	0
bib11653806_18190428_145120_47_0004_alto.xml-3-21	0
bib13506739_18290727_144030_170_0001_alto.xml-13-16	0
bib13506739_18280108_144030_6_0004_alto.xml-34-40	0
bib13506739_18280414_144030_86_0003_alto.xml-28-27	0
bib11653823_18300522_144010_116_0001_alto.xml-3-162	0
bib11653828_18200822_144028_193_0001_alto.xml-2-25	0
bib13506739_18291222_144030_297_0002_alto.xml-43-43	0
bib13506739_18290406_144030_79_0006_alto.xml-6-15	0
bib19227291_18281008_145289_41_0006_alto.xml-0-2	0
bib19227291_18300616_145289_24_0012_alto.xml-1-21	0
bib19225772_18271114_148004_133_0006_alto.xml-0-179	0
bib11653825_18190422_145134_47_0006_alto.xml-3-21	0
bib11653823_18301027_144010_249_0002_alto.xml-14-64	0
bib13506739_18280422_144030_93_0003_alto.xml-23-27	0
bib13506739_18280318_144030_66_0003_alto.xml-1-8	0
bib19277346_18240214_147394_7_0003_alto.xml-2-15	0
