identifier	cluster
bib13506739_18260531_144030_112_0004_alto.xml-6-9	0
bib19227306_18290304_147700_9_0001_alto.xml-5-16	1
bib19223423_18090412_145063_29_0003_alto.xml-4-6	0
bib13506739_18240202_144030_26_0007_alto.xml-13-15	1
bib19520388_17970517_147487_20_0006_alto.xml-3-56	0
bib19520388_18060910_147487_36_0011_alto.xml-0-13	0
bib13506739_18281211_144030_290_0002_alto.xml-3-27	1
bib19225772_18270921_148004_110_0003_alto.xml-5-0	0
bib13506739_18190602_144030_124_0003_alto.xml-11-12	0
bib19520388_17911228_147487_52_0020_alto.xml-1-13	1
bib13506739_18290725_144030_169_0002_alto.xml-8-33	1
bib13506739_17940729_144030_169_0001_alto.xml-5-30	0
bib19520388_17910420_147487_16_0001_alto.xml-0-3	1
bib19225772_18240907_148004_102_0002_alto.xml-7-16	1
bib11653823_18300716_144010_161_0004_alto.xml-9-0	0
bib11653828_17930326_144028_69_0001_alto.xml-0-32	1
bib11653806_18110410_145120_41_0002_alto.xml-0-6	0
bib13506739_18190507_144030_104_0007_alto.xml-7-13	0
bib19225772_18210831_148004_101_0004_alto.xml-9-10	0
bib11653828_18060805_144028_177_0004_alto.xml-2-1	0
bib11653823_18300518_144010_113_0001_alto.xml-12-13	1
bib19223423_18250615_145063_47_0004_alto.xml-0-8	0
bib19277277_18290225_147682_46_0002_alto.xml-23-63	1
bib11653823_18270323_144010_69_0002_alto.xml-13-13	0
bib11653825_18020401_145134_39_0005_alto.xml-9-14	2
bib13506739_18250809_144030_181_0005_alto.xml-6-16	1
bib19225792_18121121_147359_47_0005_alto.xml-2-5	0
bib19225772_18250722_148004_83_0003_alto.xml-4-0	0
bib11653792_18140618_146919_24_0004_alto.xml-8-39	0
bib11653806_18010415_145120_41_0004_alto.xml-8-12	0
bib11653828_18031212_144028_284_0004_alto.xml-9-11	0
bib13506739_18120430_144030_99_0008_alto.xml-2-8	0
bib11653825_18010408_145134_40_0004_alto.xml-9-28	0
bib19223423_18080423_145063_33_0003_alto.xml-3-7	1
bib11653823_18300816_144010_187_0004_alto.xml-3-26	0
bib11653806_18060206_145120_14_0008_alto.xml-10-39	0
bib11653828_18010226_144028_47_0001_alto.xml-2-11	0
bib15650837_18260819_146391_66_0004_alto.xml-17-5	0
