identifier	cluster
bib11653823_18280523_144010_119_0003_alto.xml-19-11	0
bib11653823_18300419_144010_88_0003_alto.xml-14-4	0
bib13506739_18270511_144030_109_0002_alto.xml-2-39	0
bib19520388_18070304_147487_8_0011_alto.xml-0-15	0
bib11653823_18270321_144010_67_0002_alto.xml-28-4	0
bib19225772_18250323_148004_35_0002_alto.xml-10-12	0
bib19225772_18291208_148004_140_0001_alto.xml-6-9	0
bib11653823_18291125_0_274_0002_alto.xml-16-31	0
bib19225772_18271107_148004_130_0002_alto.xml-10-21	0
bib15650837_18220522_146391_41_0004_alto.xml-6-4	0
bib19225772_18230221_148004_21_0002_alto.xml-5-18	0
bib11653825_18120319_145134_34_0006_alto.xml-5-14	0
bib11653806_18080524_145120_57_0006_alto.xml-9-14	0
bib15650837_18170524_146391_41_0002_alto.xml-8-55	0
bib11653823_18221218_144010_295_0003_alto.xml-9-32	0
bib19225772_18240330_148004_36_0004_alto.xml-16-33	0
bib19225772_18220322_148004_35_0002_alto.xml-6-37	0
bib13506739_18260825_144030_185_0001_alto.xml-30-5	0
bib19225772_18271107_148004_130_0002_alto.xml-5-51	0
bib11653806_18140705_145120_78_0004_alto.xml-0-6	0
bib19520388_18070708_147487_26_0007_alto.xml-1-8	0
bib19225772_18200623_148004_72_0006_alto.xml-2-11	0
bib19223423_18280611_145063_47_0003_alto.xml-1-12	0
bib11653806_18070714_145120_75_0007_alto.xml-7-72	0
bib13506739_18171219_144030_294_0004_alto.xml-19-14	0
bib13506739_18280102_144030_1_0001_alto.xml-21-12	0
bib13506739_18271217_144030_295_0006_alto.xml-37-15	0
bib13506739_18190316_144030_62_0001_alto.xml-3-17	0
bib11653823_18300614_144010_134_0003_alto.xml-18-17	0
bib13506739_18300512_144030_108_0002_alto.xml-7-2	0
bib13506739_18160501_144030_100_0001_alto.xml-1-3	0
bib13506739_18070704_144030_151_0004_alto.xml-15-14	0
bib13506739_18280426_144030_97_0002_alto.xml-9-58	0
bib19225772_18260228_148004_24_0004_alto.xml-12-12	0
bib19225792_18261104_147359_42_0002_alto.xml-3-32	0
bib19277277_18281209_147682_288_0002_alto.xml-1-15	0
bib19277277_18280324_147682_71_0002_alto.xml-6-10	0
bib13506739_18271217_144030_295_0006_alto.xml-21-53	0
bib13506739_18190503_144030_100_0002_alto.xml-4-3	0
bib13506739_18200321_144030_67_0001_alto.xml-4-28	0
bib19520388_17990206_147487_6_0007_alto.xml-1-15	0
bib19223423_18120418_145063_31_0002_alto.xml-11-3	0
bib11653806_18070922_145120_108_0008_alto.xml-7-5	0
bib19227291_18271031_145289_44_0005_alto.xml-4-16	0
bib13506739_18190618_144030_138_0001_alto.xml-1-23	0
bib11653823_18300329_144010_72_0003_alto.xml-32-10	0
bib11653806_18090130_145120_17_0003_alto.xml-8-10	0
bib11653823_18300506_144010_103_0003_alto.xml-24-10	0
bib19225772_18261229_148004_150_0001_alto.xml-1-39	0
bib13506739_18271130_144030_281_0001_alto.xml-15-52	0
bib13506739_18200121_144030_16_0002_alto.xml-5-5	0
bib11653806_18180317_145120_31_0004_alto.xml-0-13	0
bib13506739_18290416_144030_88_0003_alto.xml-1-1	0
bib19225772_18210525_148004_60_0003_alto.xml-7-4	0
bib11653823_18290812_0_184_0004_alto.xml-35-16	0
bib19225772_18130505_148004_50_0002_alto.xml-1-10	0
bib11653825_18080625_145134_76_0004_alto.xml-4-54	0
bib11653825_18100313_145134_29_0004_alto.xml-10-60	0
bib19225772_18291208_148004_140_0002_alto.xml-4-40	0
bib13506739_18200422_144030_92_0003_alto.xml-9-9	0
bib13506739_18290718_144030_163_0003_alto.xml-4-69	0
bib15650837_18300331_146391_26_0002_alto.xml-29-23	0
bib11653823_18280916_144010_216_0002_alto.xml-34-85	0
bib11653823_18280213_144010_37_0003_alto.xml-17-12	0
bib13506739_18290408_144030_81_0003_alto.xml-4-6	0
bib11653825_18200727_145134_81_0003_alto.xml-11-10	0
bib19520388_18100620_147487_25_0003_alto.xml-1-3	0
bib15650837_18160427_146391_34_0001_alto.xml-1-13	0
bib11653823_18261216_144010_293_0002_alto.xml-18-6	0
bib13506739_18100409_144030_83_0001_alto.xml-2-5	0
bib19277277_18270303_147682_52_0002_alto.xml-10-4	0
bib11653806_18190528_145120_59_0005_alto.xml-2-51	0
bib19225772_18210227_148004_24_0002_alto.xml-6-10	0
bib13506739_18300524_144030_117_0002_alto.xml-8-33	0
bib19225792_18230712_147359_27_0002_alto.xml-0-8	0
bib19227291_18300804_145289_31_0004_alto.xml-1-4	0
bib19225772_18250930_148004_113_0004_alto.xml-13-2	0
bib19277277_18300317_147682_63_0002_alto.xml-2-18	0
bib11653823_18270131_144010_25_0002_alto.xml-12-2	0
bib11653823_18260503_144010_101_0003_alto.xml-1-14	0
bib13506739_18190324_144030_69_0002_alto.xml-1-15	0
bib19225772_18230715_148004_78_0001_alto.xml-2-8	0
bib19225772_18220719_148004_81_0003_alto.xml-1-40	0
bib11653828_18281027_144028_246_0001_alto.xml-1-26	0
bib19225772_18280827_148004_98_0002_alto.xml-6-55	0
bib19225772_18220605_148004_63_0001_alto.xml-4-10	0
bib19225772_18280617_148004_68_0004_alto.xml-4-3	0
bib11653806_18091017_145120_122_0004_alto.xml-3-48	0
bib11653825_18071001_145134_116_0007_alto.xml-1-5	0
bib19225772_18200324_148004_36_0004_alto.xml-10-1	0
bib11653828_18041229_144028_302_0004_alto.xml-1-38	0
bib19520388_18110424_147487_17_0002_alto.xml-1-32	0
bib11653823_18300322_144010_67_0003_alto.xml-45-83	0
bib11653806_18060304_145120_23_0006_alto.xml-5-12	0
bib13506739_18280102_144030_1_0001_alto.xml-2-0	0
