identifier	cluster
bib15650837_18300529_146391_43_0003_alto.xml-3-13	0
bib11653828_18190528_144028_121_0004_alto.xml-14-2	0
bib11653792_17961022_146919_42_0003_alto.xml-6-1	0
bib19520388_17920321_147487_12_0002_alto.xml-4-16	0
bib19277277_18240529_147682_123_0003_alto.xml-4-8	0
bib13506739_18230116_144030_12_0002_alto.xml-0-12	0
bib13506739_18031223_144030_294_0003_alto.xml-3-0	0
bib11653828_18010428_144028_94_0003_alto.xml-9-13	0
bib11653828_18160820_144028_192_0003_alto.xml-14-45	0
bib15650837_18031005_146391_79_0004_alto.xml-7-27	0
bib13506739_18071117_144030_267_0004_alto.xml-13-58	0
bib19225772_18140304_148004_27_0003_alto.xml-3-4	0
bib13506739_18240611_144030_133_0002_alto.xml-7-10	0
bib11653828_18080112_144028_8_0002_alto.xml-18-8	0
bib11653828_18190625_144028_143_0002_alto.xml-1-45	0
bib19277277_18301106_147682_258_0004_alto.xml-31-20	0
bib11653828_18260615_144028_136_0002_alto.xml-0-9	0
bib19277277_18280129_147682_24_0004_alto.xml-28-29	0
bib11653792_17941213_146919_50_0008_alto.xml-3-4	0
bib19227291_18170924_145289_39_0002_alto.xml-9-8	0
bib11653828_18040509_144028_106_0003_alto.xml-7-53	0
bib11653828_18220801_144028_176_0004_alto.xml-18-22	0
bib11653823_18270510_144010_108_0004_alto.xml-12-3	0
bib13506739_18201115_144030_266_0011_alto.xml-8-26	0
bib11653806_18010901_145120_95_0004_alto.xml-5-21	0
bib11653828_17980706_144028_152_0003_alto.xml-10-16	0
bib19225772_18050920_148004_108_0002_alto.xml-11-2	0
bib13506739_18211122_144030_274_0003_alto.xml-6-22	0
bib11653828_18010801_144028_172_0003_alto.xml-9-3	0
bib19277277_18280731_147682_176_0001_alto.xml-5-22	0
bib11653828_17900424_144028_93_0002_alto.xml-8-10	0
bib11653792_18090701_146919_26_0003_alto.xml-0-5	0
bib13506739_18300920_144030_217_0004_alto.xml-30-21	0
bib11653828_17901018_144028_241_0003_alto.xml-3-47	0
bib19277277_18290121_147682_16_0004_alto.xml-20-32	0
bib11653828_18270302_144028_51_0003_alto.xml-11-9	0
bib19223423_17900320_145063_12_0002_alto.xml-5-13	0
bib19225772_18030609_148004_66_0003_alto.xml-0-5	0
bib19277346_18140430_147394_19_0003_alto.xml-5-34	0
bib13506739_18200420_144030_90_0002_alto.xml-0-11	0
bib13506739_17910813_144030_185_0003_alto.xml-4-6	0
bib11653792_17941213_146919_50_0008_alto.xml-2-6	0
bib15650837_18281011_146391_82_0002_alto.xml-3-13	0
bib13506739_18230116_144030_12_0002_alto.xml-0-53	0
bib11653828_18151207_144028_285_0003_alto.xml-1-14	0
bib11653792_17901218_146919_50_0002_alto.xml-12-10	0
bib19277277_18240512_147682_109_0004_alto.xml-2-12	0
bib19520388_17941106_147487_44_0002_alto.xml-0-3	0
bib11653828_18211119_144028_271_0004_alto.xml-7-14	0
bib19223423_18020724_145063_59_0002_alto.xml-6-3	0
bib19277277_18260724_147682_168_0002_alto.xml-16-7	0
bib11653792_17911112_146919_45_0004_alto.xml-1-5	-1
bib11653792_17950912_146919_37_0002_alto.xml-6-10	0
bib13506739_18030324_144030_68_0003_alto.xml-4-2	0
bib15650837_18060621_146391_49_0002_alto.xml-9-17	0
bib19227291_18130109_145289_2_0004_alto.xml-2-79	0
bib13506739_18250217_144030_39_0003_alto.xml-3-26	0
bib19277277_18251216_147682_292_0003_alto.xml-4-24	0
