identifier	cluster
bib11653823_18231111_144010_262_0002_alto.xml-1-13	0
bib19223423_18260623_145063_50_0001_alto.xml-2-18	0
bib11653828_18140418_144028_87_0002_alto.xml-12-3	0
bib15650837_18020908_146391_72_0004_alto.xml-3-0	-1
bib13506739_18190427_144030_95_0010_alto.xml-3-5	0
bib11653828_18260819_144028_191_0002_alto.xml-4-26	0
bib11653828_17911101_144028_253_0003_alto.xml-3-21	0
bib11653806_18051224_145120_145_0002_alto.xml-12-12	0
bib13506739_18170528_144030_120_0008_alto.xml-10-18	0
bib19225772_18061224_148004_145_0001_alto.xml-5-6	0
bib15650837_18160522_146391_41_0004_alto.xml-3-13	0
bib11653823_18250430_144010_98_0001_alto.xml-6-41	0
bib19277277_18240103_147682_2_0003_alto.xml-4-7	0
bib11653828_18140414_144028_84_0003_alto.xml-3-1	0
bib13506739_18270502_144030_101_0002_alto.xml-7-3	-1
bib19225772_18091201_148004_138_0001_alto.xml-0-6	0
bib11653828_18280208_144028_33_0002_alto.xml-12-9	0
bib11653823_18271208_144010_288_0004_alto.xml-29-5	-1
bib11653806_18001209_145120_143_0002_alto.xml-0-33	0
bib15650837_18070502_146391_35_0002_alto.xml-0-27	0
bib11653828_18270313_144028_60_0001_alto.xml-15-31	0
bib19277346_18170705_147394_27_0003_alto.xml-6-29	0
bib11653823_18220729_144010_173_0002_alto.xml-10-12	0
bib11653806_18010811_145120_86_0003_alto.xml-0-31	-1
bib11653825_18080530_145134_64_0010_alto.xml-0-8	0
bib13506739_17940516_144030_110_0008_alto.xml-4-18	1
bib11653823_18260302_144010_51_0003_alto.xml-14-5	0
bib11653825_18070216_145134_21_0002_alto.xml-2-41	0
bib11653823_18301230_144010_303_0002_alto.xml-23-38	0
bib11653825_18170616_145134_72_0004_alto.xml-0-22	-1
bib19223423_18270620_145063_49_0002_alto.xml-14-8	0
bib11653806_18020921_145120_102_0007_alto.xml-9-16	0
bib19227291_18150524_145289_41_0004_alto.xml-0-16	0
bib19223423_18300213_145063_13_0001_alto.xml-11-2	0
bib13506739_17970418_144030_87_0003_alto.xml-1-7	0
bib13506739_18080923_144030_221_0001_alto.xml-1-42	0
bib19277277_18281025_147682_250_0001_alto.xml-3-3	2
bib11653806_18120825_145120_96_0006_alto.xml-5-7	0
bib11653806_18060805_145120_81_0008_alto.xml-5-50	0
bib13506739_18080511_144030_108_0003_alto.xml-19-30	0
bib19227291_18140105_145289_1_0001_alto.xml-4-4	0
bib19277277_18270514_147682_111_0004_alto.xml-41-26	0
bib19277277_18250822_147682_192_0001_alto.xml-6-12	0
bib19225772_18240312_148004_30_0002_alto.xml-2-47	0
bib11653828_18280219_144028_42_0001_alto.xml-8-7	-1
bib11653823_18271024_144010_249_0003_alto.xml-24-9	0
bib11653828_18181016_144028_239_0003_alto.xml-8-8	0
bib13506739_17980413_144030_84_0005_alto.xml-3-9	-1
bib11653806_18090103_145120_1_0003_alto.xml-4-14	-1
bib11653825_18061206_145134_149_0003_alto.xml-7-10	0
bib15650837_18070912_146391_73_0001_alto.xml-0-84	0
bib11653828_18150615_144028_136_0002_alto.xml-18-1	0
bib11653828_18130310_144028_57_0002_alto.xml-0-19	0
bib11653823_18250808_144010_180_0003_alto.xml-6-0	0
bib11653823_18260316_144010_63_0003_alto.xml-3-23	0
bib19225772_18300806_148004_88_0001_alto.xml-7-23	0
bib11653828_18080126_144028_20_0003_alto.xml-9-12	0
bib13506739_17911223_144030_298_0002_alto.xml-5-38	-1
bib11653825_18190918_145134_111_0009_alto.xml-1-9	-1
bib19225772_18050820_148004_94_0001_alto.xml-0-11	0
bib11653828_18300811_144028_183_0001_alto.xml-14-33	0
bib15650837_18280813_146391_65_0001_alto.xml-2-5	0
bib11653823_18240603_144010_127_0002_alto.xml-1-4	0
bib11653806_18080428_145120_47_0007_alto.xml-12-16	0
bib11653828_17980314_144028_61_0003_alto.xml-9-27	0
bib19520388_18120812_147487_33_0003_alto.xml-3-26	0
bib11653825_18070228_145134_26_0007_alto.xml-4-14	0
bib11653828_18060611_144028_131_0003_alto.xml-26-17	0
bib11653828_17970613_144028_132_0001_alto.xml-0-74	0
bib19520388_18081005_147487_41_0003_alto.xml-5-12	0
bib11653806_18020831_145120_93_0006_alto.xml-2-14	0
bib11653806_18011218_145120_141_0002_alto.xml-4-12	0
bib11653828_18100628_144028_148_0003_alto.xml-8-5	0
bib15650837_18300918_146391_75_0002_alto.xml-9-3	0
bib11653823_18281106_144010_260_0001_alto.xml-9-1	0
bib11653823_18300904_144010_204_0004_alto.xml-9-12	0
bib13506739_17940531_144030_122_0002_alto.xml-3-8	0
bib11653806_18110615_145120_70_0008_alto.xml-7-14	0
bib19223423_18300814_145063_65_0002_alto.xml-15-15	0
bib11653828_18111228_144028_302_0001_alto.xml-11-26	0
bib11653806_18060819_145120_87_0003_alto.xml-10-12	0
bib19225772_18240716_148004_80_0001_alto.xml-4-2	0
bib19225772_18051106_148004_128_0001_alto.xml-10-52	0
bib11653828_18231030_144028_252_0002_alto.xml-6-9	0
bib13506739_18251028_144030_250_0003_alto.xml-3-19	0
bib11653828_18290522_144028_117_0003_alto.xml-1-48	0
bib19227291_18280220_145289_8_0003_alto.xml-11-10	0
bib11653828_18000719_144028_161_0004_alto.xml-0-28	0
bib19223423_17900306_145063_10_0004_alto.xml-4-7	0
bib11653823_18301001_144010_227_0003_alto.xml-7-4	0
bib13506739_18290213_144030_36_0003_alto.xml-11-7	0
bib11653828_18051223_144028_297_0002_alto.xml-10-13	0
bib11653828_17960905_144028_202_0002_alto.xml-4-42	0
bib19225772_17920914_148003_73_0001_alto.xml-8-19	0
bib11653828_18110709_144028_156_0002_alto.xml-2-17	0
bib11653806_18070807_145120_86_0002_alto.xml-3-9	0
bib11653806_18191006_145120_113_0002_alto.xml-4-5	0
bib11653825_18080425_145134_50_0006_alto.xml-6-14	0
bib11653828_18111014_144028_239_0001_alto.xml-7-18	0
bib11653825_18200622_145134_70_0001_alto.xml-5-24	0
bib11653790_18960619_145648_25_0004_alto.xml-12-2	0
bib11653790_18971119_145648_91_0009_alto.xml-12-2	-1
bib19277277_18950906_147683_242_0003_alto.xml-10-134	-1
bib11653830_18971227_146968_103_0002_alto.xml-111-1	0
bib15873936_18950912_147385_107_0002_alto.xml-145-48	0
bib11653815_18970319_146944_32_0003_alto.xml-34-12	0
bib11653811_19030722_145317_111_0003_alto.xml-15-7	0
bib15975087_18951102_145596_170_0003_alto.xml-88-6	0
bib19277277_18950622_147683_167_0005_alto.xml-35-17	-1
bib15650814_18950507_146365_106_0003_alto.xml-140-7	0
bib15975090_18960220_148377_23_0002_alto.xml-63-51	0
bib15975090_18961010_148377_127_0004_alto.xml-45-48	-1
bib11653790_18980923_145648_73_0009_alto.xml-20-45	-1
bib11653790_18960327_145648_13_0003_alto.xml-41-33	0
bib15650835_18950305_146472_19_0003_alto.xml-35-23	0
bib19349359_18950528_148383_62_0003_alto.xml-112-10	-1
bib11653790_19030925_12541_75_0003_alto.xml-100-3	0
bib19277180_18950822_147374_69_0002_alto.xml-52-15	0
bib19277301_18950429_145146_35_0002_alto.xml-75-7	-1
bib19277277_18950519_147683_135_0002_alto.xml-52-12	0
bib19277301_18950506_145146_37_0001_alto.xml-55-104	0
bib11653811_19000806_145317_120_0003_alto.xml-134-7	0
bib11653830_18950130_146968_13_0002_alto.xml-86-5	0
bib15975087_18950918_145596_144_0003_alto.xml-116-7	0
bib15873936_18951123_147385_138_0003_alto.xml-57-11	0
bib19277301_18950701_145146_53_0003_alto.xml-26-6	0
bib15873371_18950814_145112_219_0002_alto.xml-196-4	0
bib19277301_18960113_145146_4_0001_alto.xml-43-32	0
bib11653790_18950920_145648_39_0004_alto.xml-78-9	0
bib15650835_18961110_146472_176_0003_alto.xml-91-6	0
bib11653838_19030417_147024_16_0001_alto.xml-18-7	0
bib19277330_18950702_0_77_0001_alto.xml-25-0	-1
bib19277301_18950509_145146_38_0004_alto.xml-43-8	0
bib11653790_18991110_145648_88_0003_alto.xml-24-5	0
bib11653830_18960827_146968_69_0003_alto.xml-95-12	0
bib11653790_18980719_145648_54_0002_alto.xml-101-18	0
bib15873371_18950211_145112_41_0004_alto.xml-125-5	0
bib11653790_18960402_145648_14_0003_alto.xml-5-9	-1
bib19277277_18950717_147683_191_0002_alto.xml-6-12	0
bib15650837_18951024_146391_248_0003_alto.xml-87-12	0
bib11653790_19030403_12541_26_0004_alto.xml-77-9	0
bib15650814_18950910_146365_211_0004_alto.xml-72-15	0
bib11653790_19000313_145648_21_0002_alto.xml-128-9	0
bib11653811_19000120_145317_10_0002_alto.xml-142-4	0
bib19227291_18970622_145289_74_0003_alto.xml-161-20	0
bib15975090_18960815_148377_101_0002_alto.xml-171-3	0
bib15650835_18951122_146472_98_0003_alto.xml-165-13	0
bib19277349_18951128_147403_150_0004_alto.xml-56-5	0
