identifier	cluster
bib19277277_18250709_147682_155_0002_alto.xml-25-14	0
bib19223423_18150823_145063_67_0002_alto.xml-1-0	-1
bib11653825_18051104_145134_132_0003_alto.xml-10-23	-1
bib13506739_17900723_144030_167_0005_alto.xml-3-11	0
bib11653828_18271206_144028_286_0002_alto.xml-2-0	-1
bib13506739_18030820_144030_188_0007_alto.xml-5-24	-1
bib19225772_18230704_148004_74_0002_alto.xml-3-84	0
bib15650837_18300612_146391_47_0004_alto.xml-14-27	0
bib13506739_17960418_144030_87_0003_alto.xml-9-20	1
bib11653792_18170403_146919_14_0003_alto.xml-4-102	0
bib19225772_18050122_148004_9_0002_alto.xml-9-6	0
bib11653828_18141207_144028_284_0003_alto.xml-14-4	-1
bib13506739_18180129_144030_23_0005_alto.xml-7-6	0
bib13506739_18170610_144030_131_0007_alto.xml-13-3	0
bib13506739_18201027_144030_250_0010_alto.xml-13-28	0
bib15650837_18080302_146391_18_0003_alto.xml-2-10	-1
bib19223423_18000809_145063_64_0002_alto.xml-6-23	-1
bib15650837_18300609_146391_46_0003_alto.xml-2-182	0
bib13506739_18160711_144030_158_0006_alto.xml-14-11	0
bib11653828_17991101_144028_251_0002_alto.xml-13-66	-1
bib13506739_18080920_144030_218_0005_alto.xml-4-21	0
bib19277277_18301203_147682_282_0005_alto.xml-18-7	0
bib13506739_18160521_144030_117_0010_alto.xml-8-12	-1
bib19277277_18240608_147682_130_0003_alto.xml-26-26	0
bib19223423_17990316_145063_22_0002_alto.xml-12-3	-1
bib13506739_18160229_144030_50_0009_alto.xml-1-26	-1
bib13506739_18020408_144030_79_0002_alto.xml-2-1	-1
bib19223423_18261125_145063_94_0002_alto.xml-3-33	2
bib11653825_18040721_145134_87_0002_alto.xml-0-31	-1
bib13506739_18120902_144030_203_0010_alto.xml-3-12	-1
bib13506739_18230804_144030_176_0014_alto.xml-0-61	-1
bib13506739_18200905_144030_205_0011_alto.xml-16-6	-1
bib13506739_18170416_144030_86_0007_alto.xml-12-3	0
bib13506739_17980802_144030_175_0001_alto.xml-4-16	-1
bib13506739_17981011_144030_235_0006_alto.xml-0-18	0
bib13506739_18050114_144030_11_0005_alto.xml-6-14	0
bib13506739_18080401_144030_76_0003_alto.xml-12-7	0
bib13506739_18110826_144030_197_0010_alto.xml-11-3	-1
bib19225772_18151003_148004_113_0003_alto.xml-5-4	-1
bib11653823_18260510_144010_106_0003_alto.xml-2-50	0
bib19223423_18150513_145063_38_0004_alto.xml-3-58	0
bib11653828_18151028_144028_251_0004_alto.xml-1-4	-1
bib19223423_18150107_145063_2_0001_alto.xml-3-27	-1
bib13506739_18050605_144030_128_0006_alto.xml-9-7	0
bib11653825_18031208_145134_143_0002_alto.xml-5-8	-1
bib13506739_18110509_144030_107_0003_alto.xml-3-2	-1
bib13506739_18191230_144030_303_0006_alto.xml-6-16	-1
bib11653823_18300119_144010_14_0002_alto.xml-3-55	0
bib13506739_18060324_144030_68_0006_alto.xml-13-16	0
bib19225792_18020522_147359_21_0004_alto.xml-0-28	0
bib13506739_18151009_144030_234_0009_alto.xml-0-2	-1
bib11653828_18150725_144028_169_0003_alto.xml-4-17	0
bib13506739_18170418_144030_88_0007_alto.xml-10-3	0
bib11653825_18010924_145134_113_0001_alto.xml-2-47	-1
bib11653792_18060823_146919_34_0003_alto.xml-8-24	-1
bib19223423_18190710_145063_55_0001_alto.xml-4-11	-1
bib11653828_18301215_144028_291_0002_alto.xml-16-0	-1
bib13506739_18201230_144030_303_0005_alto.xml-8-37	0
bib19277277_18250928_147682_224_0004_alto.xml-0-9	-1
bib11653828_18170614_144028_135_0004_alto.xml-6-7	-1
bib11653828_18050905_144028_205_0002_alto.xml-9-3	-1
bib11653806_18080504_145120_49_0004_alto.xml-11-8	-1
bib19225772_17970331_148003_26_0002_alto.xml-0-9	-1
bib13506739_18110730_144030_174_0005_alto.xml-8-9	0
bib13506739_18180828_144030_197_0007_alto.xml-16-38	-1
bib13506739_18150606_144030_128_0008_alto.xml-0-9	-1
bib13506739_18070107_144030_4_0004_alto.xml-1-23	-1
bib13506739_18240322_144030_68_0010_alto.xml-1-51	0
bib13506739_17961224_144030_296_0003_alto.xml-6-30	0
bib11653828_18190428_144028_96_0002_alto.xml-6-15	-1
bib19225772_18230711_148004_77_0003_alto.xml-6-15	0
