identifier	cluster
bib11653823_18270115_144010_11_0004_alto.xml-27-55	1
bib19227291_18280723_145289_30_0003_alto.xml-15-11	-1
bib19225772_18040829_148004_100_0004_alto.xml-2-62	-1
bib13506739_18220215_144030_39_0003_alto.xml-2-15	0
bib19225772_18271030_148004_126_0002_alto.xml-7-41	-1
bib19225792_18300612_147359_24_0008_alto.xml-0-13	-1
bib13506739_18110608_144030_131_0008_alto.xml-10-23	-1
bib19225772_18091205_148004_139_0002_alto.xml-6-9	-1
bib13506739_18301112_144030_263_0004_alto.xml-14-47	0
bib19227291_18271114_145289_46_0002_alto.xml-0-81	-1
bib13506739_18290717_144030_162_0004_alto.xml-27-67	-1
bib15650837_18070204_146391_10_0001_alto.xml-0-3	3
bib19223423_18180422_145063_32_0003_alto.xml-4-7	0
bib11653828_18250615_144028_135_0003_alto.xml-0-112	-1
bib11653828_18290314_144028_61_0002_alto.xml-9-37	1
bib19277277_18240313_147682_61_0007_alto.xml-1-27	-1
bib13506739_18060728_144030_170_0008_alto.xml-2-34	-1
bib11653825_18200424_145134_47_0002_alto.xml-13-50	-1
bib13506739_18040405_144030_77_0012_alto.xml-11-41	1
bib11653823_18290912_0_211_0004_alto.xml-8-11	0
bib19277346_18290221_147394_8_0004_alto.xml-2-11	0
bib19225792_18300424_147359_17_0003_alto.xml-0-34	-1
bib11653825_18071010_145134_120_0007_alto.xml-8-76	-1
bib13506739_18270219_144030_41_0001_alto.xml-31-26	1
bib11653828_18170620_144028_140_0002_alto.xml-12-46	-1
bib13506739_18000807_144030_177_0008_alto.xml-3-14	-1
bib13506739_17990511_144030_106_0004_alto.xml-6-36	1
bib13506739_18210411_144030_85_0008_alto.xml-23-15	-1
bib19223423_18210815_145063_65_0004_alto.xml-4-1	-1
bib11653806_18031005_145120_107_0003_alto.xml-1-3	-1
bib11653828_18250905_144028_204_0002_alto.xml-13-8	-1
bib11653823_18300104_144010_2_0004_alto.xml-21-45	1
bib11653823_18230724_144010_168_0004_alto.xml-4-26	-1
bib19227291_18230702_145289_27_0001_alto.xml-0-14	-1
bib11653806_18010501_145120_47_0004_alto.xml-2-16	-1
bib11653825_18020225_145134_24_0004_alto.xml-11-6	-1
bib13506739_18270918_144030_218_0004_alto.xml-31-70	1
bib11653825_18070822_145134_101_0006_alto.xml-2-20	-1
bib13506739_17970515_144030_109_0007_alto.xml-2-51	-1
bib11653828_18090629_144028_147_0003_alto.xml-9-61	4
bib19225772_18230117_148004_6_0001_alto.xml-0-19	-1
bib19225772_18200301_148004_26_0002_alto.xml-20-9	-1
bib13506739_18000329_144030_72_0005_alto.xml-0-6	0
bib19223423_18220810_145063_64_0002_alto.xml-13-31	-1
bib13506739_18110328_144030_73_0012_alto.xml-1-3	-1
bib19223423_18200603_145063_44_0004_alto.xml-5-26	-1
bib11653823_18270324_144010_70_0001_alto.xml-23-4	-1
bib11653828_18250108_144028_5_0004_alto.xml-9-52	1
bib13506739_17980220_144030_42_0012_alto.xml-6-13	-1
bib13506739_18130917_144030_215_0012_alto.xml-1-26	-1
bib13506739_17961015_144030_236_0006_alto.xml-0-13	-1
bib13506739_18200606_144030_128_0007_alto.xml-9-8	0
bib11653825_18050711_145134_82_0008_alto.xml-13-12	-1
bib13506739_17991014_144030_235_0007_alto.xml-9-14	-1
bib11653828_18240218_144028_40_0002_alto.xml-7-4	-1
bib19277277_18240908_147682_208_0001_alto.xml-5-121	-1
bib13506739_17950921_144030_215_0007_alto.xml-0-29	-1
bib11653825_18090823_145134_100_0004_alto.xml-8-19	0
bib11653828_18280331_144028_76_0003_alto.xml-2-19	-1
bib19277277_18270330_147682_75_0001_alto.xml-2-5	-1
bib11653806_18030525_145120_54_0004_alto.xml-0-20	0
bib11653825_18040705_145134_80_0005_alto.xml-8-1	0
bib13506739_18060912_144030_210_0004_alto.xml-10-16	-1
bib11653828_18121211_144028_289_0003_alto.xml-10-17	0
bib19225772_18070731_148004_85_0004_alto.xml-7-31	-1
bib11653825_18030404_145134_40_0003_alto.xml-14-1	0
bib13506739_18120311_144030_59_0007_alto.xml-17-64	-1
bib19225772_17990313_148004_31_0002_alto.xml-18-24	-1
bib11653806_18110518_145120_57_0005_alto.xml-7-1	0
bib19277346_18260812_147394_32_0005_alto.xml-0-25	-1
bib11653825_18020304_145134_27_0005_alto.xml-3-25	-1
bib11653825_18050627_145134_76_0008_alto.xml-7-7	0
bib11653825_18041006_145134_120_0005_alto.xml-2-30	0
bib11653823_18270312_144010_59_0003_alto.xml-31-1	0
bib11653828_18100409_144028_83_0004_alto.xml-10-11	0
bib11653806_18100607_145120_64_0007_alto.xml-1-15	0
bib13506739_18270827_144030_199_0001_alto.xml-25-5	-1
bib13506739_18080113_144030_9_0008_alto.xml-18-29	-1
bib11653825_18190522_145134_60_0005_alto.xml-7-41	-1
bib11653806_18110803_145120_90_0007_alto.xml-5-60	-1
bib11653823_18291211_0_288_0003_alto.xml-14-16	-1
bib11653828_18181030_144028_251_0001_alto.xml-6-15	-1
bib11653828_18120610_144028_132_0002_alto.xml-3-31	-1
bib11653806_18110213_145120_18_0004_alto.xml-8-15	0
bib11653828_18060212_144028_35_0002_alto.xml-9-6	-1
bib19225772_18110312_148004_29_0001_alto.xml-8-12	-1
bib19227306_18300407_147700_14_0007_alto.xml-6-72	-1
bib19223423_18090324_145063_24_0004_alto.xml-2-0	0
bib19277277_18300720_147682_164_0004_alto.xml-29-20	-1
bib11653828_17990413_144028_84_0002_alto.xml-8-5	-1
bib15650837_18230208_146391_11_0004_alto.xml-8-0	0
bib13506739_18051105_144030_256_0004_alto.xml-8-8	0
bib13506739_17990319_144030_65_0010_alto.xml-2-10	-1
bib11653828_17960629_144028_144_0004_alto.xml-1-16	2
bib19277277_18280108_147682_6_0004_alto.xml-24-15	0
bib13506739_18170125_144030_20_0001_alto.xml-1-34	-1
bib13506739_18270116_144030_12_0003_alto.xml-8-6	-1
bib11653806_18020219_145120_20_0004_alto.xml-6-6	0
bib11653825_18060531_145134_67_0008_alto.xml-7-9	-1
bib19225772_18121117_148004_131_0002_alto.xml-4-20	-1
bib11653830_18961015_146968_83_0001_alto.xml-31-10	-1
bib15873371_18950524_145112_139_0002_alto.xml-162-20	0
bib19227291_18951217_145289_150_0002_alto.xml-31-12	0
bib19227462_18950501_147640_100_0003_alto.xml-40-18	0
bib19277349_18950706_147403_87_0002_alto.xml-46-0	-1
bib19277330_18950706_0_79_0001_alto.xml-7-4	-1
bib19227462_18950522_147640_118_0002_alto.xml-40-96	-1
bib11653811_19010412_145317_55_0004_alto.xml-44-30	0
bib11653790_18960918_145648_38_0005_alto.xml-80-52	-1
bib11653838_19010809_147024_32_0002_alto.xml-83-17	0
bib19227462_18951028_147640_251_0003_alto.xml-25-17	1
bib19277277_18950502_147683_118_0009_alto.xml-40-2	-1
bib15650837_18950724_146391_169_0002_alto.xml-111-11	-1
bib19225758_18950601_144022_126_0003_alto.xml-73-43	0
bib19227462_18950918_147640_217_0004_alto.xml-8-0	-1
bib11653811_18950213_145317_25_0003_alto.xml-73-39	0
bib15978012_18950301_148361_51_0004_alto.xml-13-11	0
bib15760600_18950801_146401_90_0004_alto.xml-19-41	-1
bib19225758_18950518_144022_115_0002_alto.xml-102-11	-1
bib19227291_18950420_145289_47_0002_alto.xml-32-4	-1
bib15760600_18950716_146401_83_0004_alto.xml-67-40	-1
bib11653811_19020709_145317_102_0002_alto.xml-40-13	-1
