identifier	cluster
bib19225772_17971027_148003_86_0003_alto.xml-2-3	2
bib19225792_18280426_147359_17_0008_alto.xml-5-11	2
bib13506739_17970111_144030_8_0003_alto.xml-9-1	2
bib13506739_18111118_144030_269_0004_alto.xml-6-13	6
bib11653828_18140214_144028_36_0002_alto.xml-6-10	2
bib19225792_17920218_147359_7_0001_alto.xml-0-18	3
bib11653825_18080625_145134_76_0007_alto.xml-18-81	5
bib15650837_18210124_146391_7_0004_alto.xml-4-7	1
bib19225792_18090211_147359_6_0002_alto.xml-0-24	2
bib19277277_18270818_147682_192_0001_alto.xml-23-36	5
bib11653825_18080227_145134_26_0004_alto.xml-1-4	2
bib13506739_18270818_144030_192_0001_alto.xml-8-13	8
bib11653823_18241112_144010_264_0006_alto.xml-8-41	3
bib19225792_18280517_147359_20_0008_alto.xml-7-13	1
bib11653828_18291021_144028_244_0002_alto.xml-2-47	5
bib19277277_18300406_147682_79_0003_alto.xml-37-24	2
bib19225792_18270505_147359_17_0003_alto.xml-3-21	0
bib13506739_17900601_144030_123_0002_alto.xml-5-18	7
bib13506739_18200623_144030_143_0007_alto.xml-9-47	7
bib19225772_18000221_148004_21_0002_alto.xml-2-13	3
bib15650837_18060111_146391_3_0003_alto.xml-3-3	6
bib19223423_18260826_145063_68_0004_alto.xml-7-12	9
bib11653823_18281011_144010_238_0003_alto.xml-2-53	3
bib19225792_18280503_147359_18_0008_alto.xml-1-13	0
bib11653823_18291106_0_258_0003_alto.xml-31-155	7
bib11653828_18300807_144028_180_0002_alto.xml-1-23	2
bib13506739_18140330_144030_73_0004_alto.xml-8-32	0
bib19277346_18270519_147394_20_0003_alto.xml-6-38	10
bib19277277_18251028_147682_250_0001_alto.xml-12-10	-1
bib13506739_18280630_144030_149_0004_alto.xml-24-6	0
bib13506739_18290831_144030_200_0002_alto.xml-25-4	1
bib19225792_18280510_147359_19_0008_alto.xml-2-15	0
bib11653806_18060902_145120_93_0006_alto.xml-9-52	-1
bib13506739_18210222_144030_44_0007_alto.xml-2-38	3
bib19225772_18251025_148004_123_0002_alto.xml-4-6	1
bib13506739_18091108_144030_260_0004_alto.xml-18-23	3
bib19277277_18280704_147682_153_0004_alto.xml-0-5	0
bib11653806_18080930_145120_112_0008_alto.xml-1-47	3
bib13506739_18280625_144030_145_0004_alto.xml-20-5	3
bib19223423_18221123_145063_94_0004_alto.xml-3-2	3
bib19225792_18200909_147359_34_0002_alto.xml-0-10	0
bib15650837_18060104_146391_1_0004_alto.xml-6-3	6
bib15650837_18151118_146391_92_0002_alto.xml-5-5	0
bib11653828_17900601_144028_123_0002_alto.xml-9-15	7
bib19277277_18280619_147682_141_0004_alto.xml-18-10	0
bib11653828_17930930_144028_223_0001_alto.xml-3-7	2
bib13506739_18140405_144030_78_0004_alto.xml-10-34	1
bib19225772_18200908_148004_105_0002_alto.xml-13-28	-1
bib11653825_18080625_145134_76_0007_alto.xml-18-38	11
bib19225772_18021013_148004_118_0004_alto.xml-12-1	2
bib13506739_18210220_144030_42_0007_alto.xml-3-32	3
bib11653806_18050212_145120_18_0007_alto.xml-2-14	3
bib11653806_18120820_145120_94_0004_alto.xml-0-26	1
bib11653792_18190320_146919_11_0004_alto.xml-0-6	2
bib11653828_18110918_144028_217_0002_alto.xml-13-11	6
bib13506739_18071024_144030_247_0002_alto.xml-6-13	2
bib11653806_18020629_145120_66_0006_alto.xml-12-25	3
bib19225772_18140510_148004_52_0004_alto.xml-12-4	2
bib15650837_18050313_146391_21_0003_alto.xml-2-17	0
bib19520388_18090222_147487_8_0006_alto.xml-0-58	0
bib19227291_18241215_145289_50_0001_alto.xml-1-13	0
bib15650837_18110202_146391_10_0003_alto.xml-11-20	7
bib19227291_18270425_145289_17_0002_alto.xml-1-1	0
bib19225792_18080227_147359_9_0002_alto.xml-1-19	12
bib11653823_18270802_144010_178_0004_alto.xml-17-2	2
bib13506739_18120302_144030_51_0008_alto.xml-12-29	13
bib11653825_18060901_145134_107_0006_alto.xml-9-58	3
bib15650837_18201125_146391_94_0003_alto.xml-0-10	0
bib11653825_18050601_145134_65_0008_alto.xml-0-28	14
bib11653823_18300918_144010_216_0004_alto.xml-21-39	3
bib11653806_18090530_145120_60_0004_alto.xml-0-7	1
bib19277277_18280628_147682_148_0004_alto.xml-44-5	0
bib13506739_17980827_144030_196_0003_alto.xml-2-4	0
bib11653828_17900715_144028_160_0002_alto.xml-23-11	0
bib11653823_18231209_144010_286_0006_alto.xml-6-65	15
bib19225772_18270502_148004_50_0003_alto.xml-6-21	1
bib11653825_18000125_145134_10_0006_alto.xml-8-4	1
bib19520388_17920808_147487_32_0008_alto.xml-0-11	3
bib13506739_18140412_144030_82_0008_alto.xml-4-35	0
bib19277277_18270721_147682_168_0004_alto.xml-3-1	0
bib19225772_18281022_148004_122_0002_alto.xml-6-4	16
bib13506739_18111223_144030_299_0003_alto.xml-1-27	3
bib11653828_17921219_144028_294_0004_alto.xml-1-17	1
bib19225772_18170117_148004_6_0002_alto.xml-6-19	17
bib19225772_18251028_148004_125_0002_alto.xml-14-6	1
bib13506739_18160528_144030_122_0007_alto.xml-10-85	2
bib13506739_18200630_144030_148_0007_alto.xml-1-43	3
bib13506739_17981016_144030_238_0004_alto.xml-1-7	1
bib15650837_18211124_146391_94_0003_alto.xml-7-3	0
bib15650837_18281206_146391_98_0003_alto.xml-2-2	2
bib19227291_18271114_145289_46_0002_alto.xml-19-60	5
bib15650837_17920616_146391_48_0003_alto.xml-4-16	1
bib19225792_18280322_147359_12_0008_alto.xml-1-11	18
bib13506739_18200627_144030_145_0007_alto.xml-12-44	3
bib19223423_18210523_145063_41_0001_alto.xml-9-23	3
bib19225772_18150510_148004_53_0004_alto.xml-13-9	1
bib19225792_18240124_147359_4_0002_alto.xml-1-14	5
bib15650837_18211201_146391_96_0003_alto.xml-9-1	0
bib19223423_17950822_145063_34_0003_alto.xml-0-25	1
bib19225772_18280430_148004_49_0006_alto.xml-1-15	0
bib19277277_18951031_147683_297_0005_alto.xml-67-0	19
bib11653811_18970915_145317_142_0002_alto.xml-120-10	2
bib19225758_18950528_144022_122_0001_alto.xml-71-16	20
bib15873936_18960310_147385_29_0002_alto.xml-69-13	21
bib11653811_19010104_145317_2_0001_alto.xml-43-11	7
bib11653790_18990530_145648_41_0002_alto.xml-85-2	1
bib19277330_18950509_0_55_0002_alto.xml-130-31	3
bib11653811_18950413_145317_57_0004_alto.xml-28-9	4
bib11653830_18960224_146968_16_0004_alto.xml-53-6	3
bib19277277_18950513_147683_129_0005_alto.xml-79-3	1
bib11653815_18950216_146944_20_0002_alto.xml-29-16	3
bib15975087_18950715_145596_107_0001_alto.xml-49-0	-1
bib19225758_18950521_144022_117_0002_alto.xml-334-20	2
bib11653811_19011113_145317_176_0001_alto.xml-9-5	0
bib11653790_18951115_145648_47_0003_alto.xml-9-28	4
bib19225758_18950822_144022_194_0004_alto.xml-206-23	4
bib15650837_18950826_146391_197_0003_alto.xml-128-21	6
bib15760690_18950306_145050_37_0001_alto.xml-39-38	6
bib19277277_18950309_147683_67_0006_alto.xml-63-16	22
bib11653815_18961111_146944_90_0002_alto.xml-90-8	23
bib19277277_18950827_147683_232_0004_alto.xml-108-34	1
bib15873936_18950528_147385_63_0001_alto.xml-46-0	1
bib19227462_18950625_147640_144_0004_alto.xml-157-31	2
bib15650837_18950618_146391_139_0002_alto.xml-112-10	1
bib11653830_18960224_146968_16_0001_alto.xml-9-9	4
bib19227462_18951111_147640_263_0003_alto.xml-240-22	0
bib15978012_18951219_148361_296_0002_alto.xml-75-6	2
bib15650814_18950530_146365_125_0002_alto.xml-55-23	24
bib19227462_18951003_147640_230_0004_alto.xml-72-14	0
bib15650837_18950109_146391_7_0001_alto.xml-63-43	3
bib15978012_18950216_148361_40_0003_alto.xml-110-5	0
bib11653830_18960330_146968_26_0001_alto.xml-15-9	4
bib11653811_19010412_145317_55_0004_alto.xml-61-12	5
bib11653830_18960903_146968_71_0002_alto.xml-90-7	1
bib19227291_18960702_145289_79_0003_alto.xml-57-14	5
bib19277301_18950923_145146_77_0001_alto.xml-30-1	2
bib11653790_18980513_145648_36_0001_alto.xml-41-9	25
bib11653790_19030102_12541_1_0003_alto.xml-61-67	26
bib15760600_18950226_146401_24_0001_alto.xml-62-15	4
bib11653811_18991023_145317_163_0003_alto.xml-11-9	-1
bib11653830_18971101_146968_87_0002_alto.xml-21-15	1
bib15975090_18960310_148377_31_0001_alto.xml-24-6	27
bib11653811_18960304_145317_35_0004_alto.xml-17-9	5
bib15975087_18950715_145596_107_0001_alto.xml-46-24	0
bib19349359_18951017_148383_123_0002_alto.xml-110-19	1
bib15978012_18951106_148361_259_0003_alto.xml-102-16	6
bib19227291_18970525_145289_62_0004_alto.xml-16-13	0
bib11653811_18971119_145317_179_0001_alto.xml-47-0	2
