identifier	cluster
bib11653828_18201212_144028_289_0002_alto.xml-11-31	0
bib13506739_18200216_144030_38_0012_alto.xml-1-22	-1
bib19227291_18300324_145289_12_0007_alto.xml-13-47	0
bib11653828_17930529_144028_119_0001_alto.xml-0-0	0
bib11653828_18260325_144028_69_0004_alto.xml-4-2	0
bib11653792_18011212_146919_49_0003_alto.xml-9-34	-1
bib11653828_18260119_144028_15_0002_alto.xml-0-9	0
bib11653828_18140524_144028_117_0003_alto.xml-9-42	-1
bib19277277_18300222_147682_43_0001_alto.xml-42-19	-1
bib19225772_18210202_148004_14_0001_alto.xml-4-5	0
bib11653828_18290915_144028_213_0003_alto.xml-13-25	0
bib19227291_18260621_145289_25_0001_alto.xml-0-17	-1
bib19225772_18160214_148004_19_0002_alto.xml-7-7	0
bib13506739_18210307_144030_55_0001_alto.xml-0-72	-1
bib15650837_18011014_146391_82_0001_alto.xml-3-0	0
bib19225772_18041011_148004_119_0002_alto.xml-3-15	0
bib11653828_18270109_144028_6_0002_alto.xml-11-102	0
bib19277277_18300301_147682_49_0001_alto.xml-21-10	0
bib11653823_18280105_144010_4_0004_alto.xml-2-44	-1
bib11653823_18240722_144010_167_0002_alto.xml-3-10	-1
bib13506739_18290706_144030_152_0001_alto.xml-3-18	0
bib11653828_18230626_144028_144_0004_alto.xml-5-22	-1
bib11653806_18080301_145120_23_0002_alto.xml-0-23	-1
bib13506739_18120922_144030_220_0004_alto.xml-8-10	0
bib13506739_18111231_144030_304_0043_alto.xml-1-15	-1
bib11653828_18290625_144028_143_0002_alto.xml-16-16	0
bib11653823_18260824_144010_195_0004_alto.xml-13-15	-1
bib11653828_18260530_144028_122_0002_alto.xml-9-27	0
bib11653792_18121031_146919_44_0001_alto.xml-1-1	0
bib19277277_18280913_147682_214_0004_alto.xml-21-15	-1
bib11653825_18121214_145134_146_0002_alto.xml-5-14	0
bib11653828_18261215_144028_292_0002_alto.xml-12-45	0
bib19277277_18270719_147682_166_0001_alto.xml-18-11	-1
bib11653792_18170315_146919_11_0005_alto.xml-3-98	-1
bib11653828_18200727_144028_171_0002_alto.xml-2-146	-1
bib13506739_18120511_144030_107_0002_alto.xml-15-12	0
bib11653828_18260407_144028_79_0004_alto.xml-15-10	0
bib11653828_18210212_144028_35_0005_alto.xml-13-23	0
bib19225772_18131116_148004_132_0003_alto.xml-0-24	0
bib11653828_18170912_144028_211_0001_alto.xml-0-42	0
bib11653825_18050223_145134_23_0001_alto.xml-4-9	-1
bib11653828_18220920_144028_219_0004_alto.xml-2-16	0
bib19277277_18300417_147682_87_0001_alto.xml-15-11	-1
bib11653828_18060329_144028_72_0001_alto.xml-12-0	-1
bib13506739_18251231_144030_304_0003_alto.xml-14-0	0
bib11653806_18041106_145120_125_0002_alto.xml-7-56	-1
bib11653828_18301123_144028_272_0001_alto.xml-0-11	0
bib11653823_18280129_144010_24_0001_alto.xml-1-32	0
bib11653828_18240126_144028_20_0002_alto.xml-7-31	0
bib11653828_18180409_144028_80_0001_alto.xml-1-24	0
bib13506739_18280102_144030_1_0002_alto.xml-3-12	0
bib19225792_18200408_147359_13_0008_alto.xml-0-59	0
bib11653806_18130430_145120_47_0001_alto.xml-1-43	-1
bib11653823_18291212_0_289_0002_alto.xml-22-14	0
bib11653823_18280129_144010_24_0002_alto.xml-16-24	-1
bib13506739_18261223_144030_288_0008_alto.xml-38-256	-1
bib19227291_18230226_145289_9_0002_alto.xml-3-106	0
bib13506739_18181017_144030_240_0004_alto.xml-13-20	0
bib19225792_18210818_147359_32_0005_alto.xml-2-16	-1
bib11653828_18200818_144028_190_0004_alto.xml-2-13	0
bib11653828_18290919_144028_217_0002_alto.xml-1-6	0
bib11653823_18281213_144010_292_0001_alto.xml-4-0	-1
bib19277277_18241231_147682_305_0001_alto.xml-0-138	0
bib13506739_18290423_144030_92_0005_alto.xml-1-19	0
bib11653828_18260721_144028_166_0004_alto.xml-6-78	-1
bib11653806_18190512_145120_53_0002_alto.xml-2-27	-1
bib11653828_18260814_144028_186_0003_alto.xml-9-56	0
bib19277277_18240929_147682_226_0004_alto.xml-22-19	-1
bib11653823_18280410_144010_83_0002_alto.xml-3-15	0
bib11653823_18300330_144010_73_0001_alto.xml-4-23	0
bib11653823_18270417_144010_88_0004_alto.xml-31-23	0
bib11653825_18030721_145134_83_0004_alto.xml-0-9	-1
bib19225772_18271114_148004_133_0011_alto.xml-1-40	-1
bib13506739_18040718_144030_164_0001_alto.xml-3-6	-1
bib13506739_18240709_144030_156_0003_alto.xml-3-29	0
bib13506739_18140502_144030_99_0001_alto.xml-2-4	-1
bib11653828_18160111_144028_8_0003_alto.xml-7-28	0
bib11653806_18181208_145120_136_0001_alto.xml-3-0	0
bib13506739_18171202_144030_279_0011_alto.xml-0-5	0
bib11653828_18220520_144028_115_0003_alto.xml-1-59	0
bib11653806_18120801_145120_86_0002_alto.xml-12-38	0
bib11653823_18280522_144010_118_0008_alto.xml-7-31	-1
bib11653823_18300226_144010_47_0001_alto.xml-8-6	-1
bib11653806_18101102_145120_126_0001_alto.xml-1-13	0
bib11653823_18230902_144010_202_0001_alto.xml-1-21	0
bib13506739_18300721_144030_165_0002_alto.xml-12-36	-1
bib13506739_18250510_144030_106_0001_alto.xml-24-11	0
bib15650837_18300515_146391_39_0002_alto.xml-18-4	0
bib13506739_18290114_144030_10_0001_alto.xml-19-0	-1
bib11653823_18300322_144010_67_0003_alto.xml-28-6	-1
bib19277277_18300605_147682_127_0004_alto.xml-78-7	0
bib11653825_18050326_145134_36_0002_alto.xml-15-11	0
bib13506739_18280321_144030_69_0004_alto.xml-15-29	0
bib13506739_18181103_144030_254_0008_alto.xml-1-5	-1
bib19225792_18110713_147359_28_0005_alto.xml-9-8	0
bib13506739_18170821_144030_192_0011_alto.xml-10-28	0
bib11653825_18190830_145134_103_0003_alto.xml-2-9	0
bib19223423_18050608_145063_46_0003_alto.xml-1-181	0
bib19225772_18271120_148004_135_0001_alto.xml-6-3	0
bib19223423_18290131_145063_9_0001_alto.xml-8-32	0
bib11653830_18981201_146968_94_0003_alto.xml-93-15	0
bib11653790_18970521_145648_39_0002_alto.xml-61-6	0
bib15760690_18950912_145050_140_0003_alto.xml-108-1	1
bib15650814_18951128_146365_279_0004_alto.xml-96-14	0
bib11653838_19010208_147024_6_0001_alto.xml-59-16	1
bib11653815_18950921_146944_112_0003_alto.xml-31-5	-1
