identifier	cluster
bib11653806_18040828_145120_96_0008_alto.xml-4-32	0
bib19225772_18140315_148004_31_0004_alto.xml-14-10	0
bib19223423_18251207_145063_97_0003_alto.xml-1-20	0
bib13506739_18201010_144030_235_0007_alto.xml-10-24	-1
bib19223423_18221106_145063_89_0004_alto.xml-0-5	0
bib19277277_18300402_147682_76_0002_alto.xml-23-33	0
bib11653806_18010320_145120_33_0004_alto.xml-1-36	0
bib19225772_18071023_148004_121_0003_alto.xml-0-135	-1
bib19277346_18251112_147394_45_0004_alto.xml-4-11	0
bib19223423_18281224_145063_103_0001_alto.xml-3-14	0
bib19225772_18300528_148004_60_0003_alto.xml-2-9	10
bib19223423_18160925_145063_77_0003_alto.xml-2-45	0
bib19225772_17990329_148004_36_0003_alto.xml-8-6	0
bib13506739_17980830_144030_199_0006_alto.xml-9-19	5
bib19277277_18300303_147682_51_0001_alto.xml-12-13	0
bib11653806_18130305_145120_25_0002_alto.xml-0-5	-1
bib19277346_18140226_147394_10_0001_alto.xml-4-44	-1
bib13506739_18110429_144030_98_0004_alto.xml-9-27	0
bib19277277_18290604_147682_127_0001_alto.xml-8-0	0
bib19277277_18300709_147682_155_0006_alto.xml-4-11	5
bib15650837_18260429_146391_34_0004_alto.xml-8-53	0
bib11653828_17980807_144028_179_0001_alto.xml-1-29	-1
bib11653828_18080224_144028_45_0002_alto.xml-9-8	11
bib13506739_18300402_144030_76_0004_alto.xml-21-4	0
bib13506739_18251216_144030_292_0003_alto.xml-13-33	0
bib13506739_18110423_144030_93_0004_alto.xml-6-31	0
bib11653828_18020317_144028_62_0002_alto.xml-11-9	7
bib19225772_18210126_148004_11_0004_alto.xml-5-13	5
bib11653825_18141222_145134_148_0005_alto.xml-2-19	0
bib11653806_18080830_145120_96_0008_alto.xml-8-6	0
bib11653825_18011221_145134_151_0003_alto.xml-3-48	0
bib11653828_18050727_144028_171_0002_alto.xml-4-20	2
bib11653828_18200622_144028_142_0004_alto.xml-0-18	0
bib13506739_17980509_144030_105_0007_alto.xml-6-10	0
bib15650837_17970527_146391_42_0004_alto.xml-3-31	0
bib19225792_18231122_147359_46_0005_alto.xml-6-6	0
bib13506739_18250114_144030_10_0002_alto.xml-20-3	0
bib11653806_18030504_145120_46_0003_alto.xml-4-5	0
bib11653806_18030527_145120_55_0004_alto.xml-12-6	0
bib11653806_18041114_145120_129_0004_alto.xml-6-37	0
bib13506739_17990613_144030_132_0008_alto.xml-6-56	0
bib11653823_18301025_144010_247_0004_alto.xml-15-15	0
bib13506739_18181005_144030_229_0007_alto.xml-10-35	0
bib19520388_18100103_147487_1_0002_alto.xml-1-11	0
bib15650837_18020512_146391_38_0004_alto.xml-10-17	0
bib15650837_18081109_146391_90_0004_alto.xml-16-44	0
bib11653828_18281206_144028_281_0003_alto.xml-0-0	-1
bib13506739_18170609_144030_130_0003_alto.xml-5-14	6
bib13506739_18040702_144030_150_0003_alto.xml-0-5	0
bib15650837_17940122_146391_6_0003_alto.xml-0-5	0
bib13506739_18300115_144030_11_0004_alto.xml-36-13	0
bib13506739_18030702_144030_146_0002_alto.xml-13-6	-1
bib19223423_18221030_145063_87_0003_alto.xml-4-8	0
bib13506739_17980509_144030_105_0007_alto.xml-10-22	0
bib19277277_18250727_147682_170_0002_alto.xml-27-15	0
bib13506739_17920123_144030_18_0001_alto.xml-2-4	2
bib11653825_18201007_145134_113_0007_alto.xml-2-3	0
bib13506739_18191207_144030_284_0003_alto.xml-1-0	0
bib11653823_18270222_144010_44_0004_alto.xml-3-6	0
