identifier	cluster
bib13506739_18060311_144030_57_0009_alto.xml-10-6	-1
bib13506739_18010629_144030_143_0008_alto.xml-2-17	-1
bib13506739_18160925_144030_223_0008_alto.xml-5-11	-1
bib11653828_18050123_144028_19_0002_alto.xml-5-37	3
bib19225772_18270123_148004_9_0001_alto.xml-4-53	-1
bib19223423_18020925_145063_77_0001_alto.xml-0-0	-1
bib11653828_18231002_144028_228_0004_alto.xml-7-61	-1
bib13506739_17980718_144030_162_0007_alto.xml-2-10	1
bib11653806_18060801_145120_80_0004_alto.xml-5-56	1
bib11653825_18040730_145134_91_0002_alto.xml-7-44	-1
bib11653828_18130506_144028_103_0001_alto.xml-0-19	-1
bib13506739_18170123_144030_18_0011_alto.xml-1-6	4
bib11653828_18030901_144028_198_0001_alto.xml-11-44	5
bib13506739_18220726_144030_171_0006_alto.xml-5-32	6
bib11653828_18121214_144028_291_0001_alto.xml-5-0	-1
bib19520388_18040215_147487_7_0003_alto.xml-0-8	-1
bib11653828_18081003_144028_229_0002_alto.xml-4-46	-1
bib11653828_18250611_144028_132_0002_alto.xml-15-13	-1
bib11653828_18110118_144028_15_0004_alto.xml-3-0	-1
bib13506739_18150516_144030_110_0008_alto.xml-3-7	-1
bib11653828_18031121_144028_266_0003_alto.xml-11-13	-1
bib11653825_18001124_145134_130_0001_alto.xml-2-9	-1
bib11653823_18270628_144010_148_0004_alto.xml-35-36	-1
bib13506739_18200115_144030_11_0007_alto.xml-5-2	1
bib13506739_17961124_144030_270_0002_alto.xml-1-1	-1
bib19277277_18300629_147682_146_0004_alto.xml-32-14	7
bib11653825_18171115_145134_137_0003_alto.xml-1-45	-1
bib11653828_18091209_144028_287_0002_alto.xml-1-13	-1
bib13506739_18170203_144030_27_0015_alto.xml-0-8	-1
bib15650837_18280726_146391_60_0002_alto.xml-15-30	-1
bib11653806_18100913_145120_104_0007_alto.xml-0-0	-1
bib11653825_18011121_145134_138_0002_alto.xml-6-19	-1
bib11653823_18240612_144010_134_0003_alto.xml-1-21	-1
