identifier	cluster
bib11653825_18120512_145134_55_0002_alto.xml-1-33	0
bib11653825_18200330_145134_36_0004_alto.xml-7-32	0
bib11653828_17940327_144028_70_0002_alto.xml-3-15	0
bib19225772_18220821_148004_95_0001_alto.xml-7-3	0
bib11653825_18040512_145134_57_0001_alto.xml-5-15	0
bib15650837_18270519_146391_40_0009_alto.xml-4-37	0
bib11653823_18221111_144010_263_0002_alto.xml-14-16	0
bib19277277_18300618_147682_138_0001_alto.xml-29-10	0
bib19277277_18281115_147682_268_0001_alto.xml-7-103	0
bib11653825_18200506_145134_52_0002_alto.xml-20-11	0
bib13506739_18290304_144030_52_0001_alto.xml-10-16	0
bib13506739_18100713_144030_161_0002_alto.xml-15-18	0
bib13506739_18290708_144030_154_0003_alto.xml-22-49	3
bib11653828_18060303_144028_50_0003_alto.xml-7-24	4
bib11653825_18141201_145134_138_0003_alto.xml-0-10	0
bib19227291_18240128_145289_4_0002_alto.xml-6-43	0
bib19225772_18121117_148004_131_0001_alto.xml-6-32	0
bib11653823_18260612_144010_133_0001_alto.xml-17-15	0
bib11653828_18210130_144028_24_0002_alto.xml-17-31	0
bib11653828_18020405_144028_76_0002_alto.xml-1-12	-1
bib11653828_17930627_144028_143_0002_alto.xml-4-27	0
bib11653823_18300121_144010_16_0001_alto.xml-11-29	0
bib11653828_18050621_144028_141_0001_alto.xml-4-65	0
bib19520388_17991218_147487_51_0003_alto.xml-3-23	0
bib11653828_18100714_144028_162_0001_alto.xml-10-4	0
bib19225772_18270808_148004_91_0001_alto.xml-3-18	0
bib15650837_18101208_146391_98_0002_alto.xml-6-75	0
bib19277346_18300918_147394_38_0002_alto.xml-10-17	0
bib15650837_18110821_146391_65_0002_alto.xml-0-2	0
bib11653823_18210910_144010_211_0003_alto.xml-0-24	0
bib19225772_17901109_148003_90_0003_alto.xml-5-16	0
bib13506739_18011105_144030_253_0017_alto.xml-7-135	5
bib19225772_18301117_148004_132_0001_alto.xml-5-18	0
bib11653823_18250317_144010_63_0001_alto.xml-4-23	0
bib11653828_17971128_144028_273_0002_alto.xml-2-16	0
bib11653828_18080609_144028_131_0001_alto.xml-9-33	0
bib11653823_18271127_144010_278_0001_alto.xml-15-10	0
bib19225772_17990305_148004_27_0001_alto.xml-6-0	-1
bib19227306_18281210_147700_50_0002_alto.xml-9-26	0
bib11653828_17940929_144028_222_0004_alto.xml-2-8	0
bib13506739_18291002_144030_228_0001_alto.xml-6-23	6
bib13506739_18290227_144030_48_0002_alto.xml-6-18	0
bib11653828_17910222_144028_43_0002_alto.xml-8-16	0
bib11653828_18160112_144028_9_0003_alto.xml-2-95	0
bib13506739_18290714_144030_159_0004_alto.xml-1-61	0
bib11653828_18050327_144028_71_0003_alto.xml-7-84	0
bib15650837_18140907_146391_71_0001_alto.xml-5-21	0
bib15650837_17940716_146391_56_0001_alto.xml-1-11	-1
bib19277277_18280617_147682_139_0001_alto.xml-16-38	0
bib19225772_17921221_148003_101_0002_alto.xml-13-15	0
bib11653823_18300826_144010_196_0002_alto.xml-1-18	0
bib11653825_18100604_145134_66_0001_alto.xml-4-27	0
