identifier	cluster
bib19227306_18280722_147700_30_0003_alto.xml-24-19	0
bib11653828_18210904_144028_206_0002_alto.xml-19-3	0
bib19227306_18271030_147700_18_0003_alto.xml-3-13	2
bib19227291_18290128_145289_5_0006_alto.xml-6-37	0
bib19227306_18291209_147700_49_0002_alto.xml-16-124	0
bib11653828_18140423_144028_92_0004_alto.xml-4-22	0
bib19223423_18201209_145063_98_0002_alto.xml-4-19	0
bib11653828_18240420_144028_90_0002_alto.xml-2-64	0
bib11653828_18210124_144028_19_0003_alto.xml-2-55	0
bib11653828_18140429_144028_97_0004_alto.xml-3-6	-1
bib11653828_18281205_144028_280_0004_alto.xml-3-25	0
bib11653828_18220612_144028_134_0004_alto.xml-7-48	0
bib11653828_18180908_144028_206_0001_alto.xml-10-26	0
bib15650837_18050810_146391_64_0003_alto.xml-7-10	1
bib19225772_18200107_148004_3_0002_alto.xml-2-36	0
bib13506739_18250311_144030_58_0002_alto.xml-19-0	0
bib19227291_18221127_145289_48_0003_alto.xml-6-103	0
bib19277277_18260215_147682_38_0001_alto.xml-19-26	0
bib11653828_18190406_144028_79_0001_alto.xml-4-11	0
bib19225792_18130619_147359_25_0001_alto.xml-0-6	1
bib11653823_18270119_144010_15_0001_alto.xml-11-13	0
bib11653828_18230604_144028_126_0003_alto.xml-5-6	0
bib19277277_18300121_147682_16_0001_alto.xml-15-3	0
bib11653828_18251224_144028_299_0004_alto.xml-5-35	0
bib19225792_18170301_147359_9_0007_alto.xml-2-23	-1
bib19225772_18301026_148004_122_0002_alto.xml-4-10	0
bib11653828_18240913_144028_212_0004_alto.xml-5-5	0
bib11653828_18301210_144028_287_0003_alto.xml-1-71	0
bib11653828_18220315_144028_63_0004_alto.xml-5-47	0
bib11653828_18290425_144028_94_0004_alto.xml-8-52	0
bib11653828_18180523_144028_115_0001_alto.xml-8-16	0
bib11653828_18240109_144028_6_0004_alto.xml-0-5	0
bib11653828_18141025_144028_247_0004_alto.xml-1-6	0
bib19227291_18151220_145289_101_0002_alto.xml-1-5	-1
bib11653828_18210717_144028_164_0001_alto.xml-7-47	0
bib11653828_18271217_144028_295_0003_alto.xml-20-6	0
bib19227306_18280729_147700_31_0003_alto.xml-17-21	0
bib11653828_18250503_144028_100_0002_alto.xml-7-35	0
bib11653828_18301222_144028_297_0002_alto.xml-11-5	0
bib11653828_18240520_144028_116_0003_alto.xml-11-24	0
bib11653828_18230403_144028_75_0002_alto.xml-4-60	0
bib19277277_18280830_147682_202_0001_alto.xml-6-56	-1
bib11653828_18230512_144028_107_0003_alto.xml-5-47	0
bib19223423_18080709_145063_55_0002_alto.xml-8-27	-1
bib15650837_18070311_146391_20_0004_alto.xml-3-6	0
bib19277277_18300413_147682_83_0006_alto.xml-9-10	-1
bib11653828_18301007_144028_232_0003_alto.xml-6-26	0
bib11653828_18230308_144028_56_0001_alto.xml-2-55	0
bib11653828_18281231_144028_300_0003_alto.xml-0-64	3
bib11653825_18130215_145134_20_0004_alto.xml-4-20	-1
bib19277277_18281230_147682_304_0001_alto.xml-17-72	0
