identifier	cluster
bib13506739_18291222_144030_297_0004_alto.xml-11-24	0
bib19277277_18251115_147682_265_0001_alto.xml-6-5	0
bib19277277_18301109_147682_260_0004_alto.xml-25-6	0
bib19227291_18301215_145289_50_0003_alto.xml-5-25	0
bib13506739_18210312_144030_59_0016_alto.xml-2-25	0
bib13506739_18110123_144030_19_0008_alto.xml-10-37	0
bib19277277_18250615_147682_135_0004_alto.xml-16-9	0
bib19225772_18051227_148004_149_0004_alto.xml-4-50	0
bib11653806_18030802_145120_79_0007_alto.xml-9-3	0
bib19277346_18101215_147394_48_0003_alto.xml-8-21	0
bib11653828_18050907_144028_207_0001_alto.xml-4-58	0
bib13506739_18280426_144030_97_0008_alto.xml-6-5	0
bib13506739_18180505_144030_101_0004_alto.xml-15-21	0
bib13506739_18201019_144030_243_0007_alto.xml-12-16	0
bib19277277_18270824_147682_197_0004_alto.xml-2-6	0
bib19277277_18260923_147682_221_0004_alto.xml-7-11	0
bib13506739_18280111_144030_9_0004_alto.xml-27-7	0
bib13506739_18240510_144030_107_0015_alto.xml-14-23	0
bib11653828_18080709_144028_156_0004_alto.xml-6-15	0
bib13506739_18301007_144030_232_0004_alto.xml-16-0	0
bib19225772_18061014_148004_115_0002_alto.xml-10-0	-1
bib13506739_18281017_144030_243_0004_alto.xml-28-30	0
bib19277277_18280618_147682_140_0004_alto.xml-14-45	0
bib19277277_18290302_147682_50_0004_alto.xml-37-25	0
bib13506739_18170823_144030_194_0010_alto.xml-7-7	0
bib19277277_18301209_147682_287_0004_alto.xml-10-5	0
bib13506739_18290919_144030_217_0008_alto.xml-30-22	0
bib13506739_18270901_144030_204_0007_alto.xml-26-7	0
bib11653823_18260420_144010_90_0004_alto.xml-8-11	0
bib13506739_18280618_144030_140_0008_alto.xml-19-3	0
bib11653828_18200615_144028_136_0002_alto.xml-5-14	0
bib19225772_18230416_148004_42_0004_alto.xml-7-11	0
bib15650837_18070704_146391_53_0004_alto.xml-7-6	0
bib19277277_18300419_147682_88_0004_alto.xml-45-16	0
bib11653828_18220321_144028_68_0002_alto.xml-6-30	0
