identifier	cluster
bib11653823_18211103_144010_258_0002_alto.xml-2-19	6
bib13506739_18110322_144030_69_0010_alto.xml-7-24	1
bib11653828_18281229_144028_298_0004_alto.xml-6-26	7
bib11653828_18190312_144028_59_0004_alto.xml-10-6	2
bib13506739_18260218_144030_29_0003_alto.xml-1-9	0
bib19225772_18031230_148004_151_0003_alto.xml-7-16	1
bib19225772_18040620_148004_70_0004_alto.xml-10-10	8
bib11653823_18301104_144010_256_0003_alto.xml-19-2	1
bib19277346_18200219_147394_8_0003_alto.xml-1-3	1
bib19277277_18250430_147682_98_0002_alto.xml-10-22	1
bib11653823_18280508_144010_107_0003_alto.xml-9-6	1
bib13506739_18180604_144030_125_0002_alto.xml-2-22	1
bib13506739_18270410_144030_84_0002_alto.xml-17-27	1
bib13506739_18200425_144030_94_0006_alto.xml-4-24	9
bib13506739_18130407_144030_80_0004_alto.xml-4-12	10
bib11653828_18030711_144028_153_0002_alto.xml-12-8	11
bib11653823_18280829_144010_201_0003_alto.xml-0-3	1
bib11653825_18170623_145134_75_0003_alto.xml-4-5	1
bib11653828_18070729_144028_172_0002_alto.xml-5-7	12
bib13506739_18250609_144030_130_0001_alto.xml-25-48	1
bib19223423_18031119_145063_92_0002_alto.xml-0-2	13
bib11653823_18291014_0_238_0004_alto.xml-5-20	1
bib13506739_18021204_144030_278_0004_alto.xml-8-68	14
bib11653828_18270814_144028_188_0003_alto.xml-5-18	15
bib13506739_18070314_144030_61_0006_alto.xml-16-64	16
bib11653823_18270611_144010_133_0002_alto.xml-9-11	1
bib11653828_18020507_144028_102_0002_alto.xml-12-15	17
bib19277277_18290102_147682_1_0001_alto.xml-21-2	2
bib11653823_18240909_144010_209_0007_alto.xml-10-31	1
bib11653823_18231108_144010_260_0004_alto.xml-2-14	1
bib11653823_18280724_144010_170_0002_alto.xml-7-7	1
bib11653823_18280819_144010_192_0002_alto.xml-20-3	1
bib11653823_18300318_144010_64_0002_alto.xml-22-2	1
bib19277277_18290113_147682_9_0001_alto.xml-1-6	4
bib13506739_18290316_144030_62_0003_alto.xml-17-85	1
bib11653823_18280829_144010_201_0003_alto.xml-1-2	1
bib13506739_18280522_144030_118_0002_alto.xml-15-4	1
bib13506739_18200929_144030_226_0006_alto.xml-14-8	18
bib11653823_18300712_144010_157_0002_alto.xml-10-2	1
bib13506739_18110322_144030_69_0013_alto.xml-1-79	1
bib11653823_18271211_144010_290_0003_alto.xml-13-7	3
bib11653828_18031017_144028_237_0002_alto.xml-2-7	19
bib13506739_18221121_144030_272_0012_alto.xml-1-71	1
bib19277277_18301022_147682_245_0001_alto.xml-26-24	20
bib13506739_18251229_144030_302_0003_alto.xml-3-3	1
bib11653828_18260706_144028_153_0001_alto.xml-5-13	21
bib13506739_18180604_144030_125_0004_alto.xml-18-27	22
bib11653823_18271231_144010_305_0002_alto.xml-24-3	3
bib13506739_18280807_144030_182_0003_alto.xml-12-22	1
bib11653823_18230730_144010_173_0007_alto.xml-1-6	0
bib11653823_18231219_144010_295_0005_alto.xml-1-34	3
bib11653823_18270421_144010_92_0003_alto.xml-2-15	1
bib13506739_18270605_144030_128_0002_alto.xml-43-3	23
bib11653823_18270122_144010_17_0002_alto.xml-17-23	1
bib13506739_18221121_144030_272_0013_alto.xml-0-18	1
bib11653823_18291121_0_271_0003_alto.xml-6-2	1
bib11653828_18281230_144028_299_0003_alto.xml-3-76	24
bib11653823_18291204_0_282_0002_alto.xml-13-2	3
bib11653823_18260113_144010_10_0003_alto.xml-1-3	1
bib19227291_18170709_145289_28_0004_alto.xml-3-12	25
bib11653828_18040920_144028_219_0002_alto.xml-11-7	26
bib13506739_18270119_144030_15_0002_alto.xml-6-18	1
bib11653828_18290103_144028_2_0004_alto.xml-2-5	2
bib19225792_18111123_147359_47_0007_alto.xml-6-33	27
bib11653825_18200612_145134_66_0003_alto.xml-8-13	3
bib11653823_18270419_144010_90_0003_alto.xml-16-3	1
bib19223423_18030129_145063_8_0001_alto.xml-2-17	28
bib11653825_18031110_145134_131_0002_alto.xml-19-6	29
bib13506739_18190202_144030_26_0012_alto.xml-3-19	30
bib13506739_18280328_144030_74_0001_alto.xml-9-13	31
bib11653823_18270427_144010_97_0003_alto.xml-10-60	1
bib11653825_18020506_145134_54_0002_alto.xml-0-17	32
bib11653823_18270414_144010_87_0003_alto.xml-6-62	1
bib13506739_18300220_144030_42_0004_alto.xml-8-12	33
bib13506739_18211025_144030_250_0001_alto.xml-2-43	34
bib19225772_18041017_148004_121_0002_alto.xml-7-19	2
bib13506739_18300915_144030_213_0003_alto.xml-4-5	1
bib13506739_18200608_144030_130_0010_alto.xml-11-37	5
bib15650837_18180218_146391_14_0004_alto.xml-3-7	35
bib11653823_18291215_0_291_0002_alto.xml-4-2	1
bib13506739_18250205_144030_29_0002_alto.xml-13-6	1
bib19223423_18290107_145063_2_0001_alto.xml-2-34	36
bib19520388_18060521_147487_20_0002_alto.xml-1-13	2
bib11653828_18280715_144028_159_0003_alto.xml-0-5	2
bib13506739_18280807_144030_182_0003_alto.xml-10-29	3
bib13506739_18300618_144030_138_0002_alto.xml-7-9	1
bib13506739_18091125_144030_275_0004_alto.xml-5-10	37
bib11653806_18150421_145120_42_0004_alto.xml-0-8	1
bib11653823_18280304_144010_54_0003_alto.xml-5-12	1
bib11653828_18290721_144028_165_0003_alto.xml-18-11	38
bib13506739_18280130_144030_25_0003_alto.xml-0-7	1
