lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	excluded_nodes	judgments_per_edge	edgeshares	nodes	judgments_total
aktiv	11.5	0.02505446623093682	19	0.06209150326797386	2	17	3	0	43	1.6005291005291005	1=0.54,2=0.35,3=0.08,4=0.03,5=0.00	200	605
anda	12.0	0.016129032258064516	17	0.034274193548387094	13	4	7	2	57	1.553323029366306	1=0.56,2=0.34,3=0.09,4=0.01,5=0.00	200	1005
annandag	1.5	0.0029498525073746312	1	0.0029498525073746312	0	1	0	0	1	1.5294117647058822	1=0.56,2=0.36,3=0.08,4=0.00	200	520
antyda	12.5	0.02334267040149393	11	0.03081232492997199	1	10	0	0	6	1.569482288828338	1=0.56,2=0.33,3=0.11,4=0.01	200	576
bäck	5.0	0.011990407673860911	7	0.025179856115107913	6	1	20	0	109	1.5489913544668588	1=0.55,2=0.36,3=0.08,4=0.01	200	1075
bearbeta	95.0	0.09218825812712275	140	0.20378457059679767	30	110	21	1	8	1.5793201133144477	1=0.60,2=0.24,3=0.13,4=0.03,5=0.00	200	1115
bedömande	1.0	0.001937984496124031	2	0.005813953488372093	0	2	0	0	5	1.5657142857142856	1=0.53,2=0.39,3=0.08,4=0.01	200	548
beredning	21.5	0.020359848484848484	35	0.04971590909090909	21	14	3	0	1	1.7732394366197184	1=0.48,2=0.32,3=0.16,4=0.04,5=0.00	200	1259
blockera	13.5	0.023076923076923078	26	0.06666666666666667	17	9	4	0	0	1.6435897435897435	1=0.49,2=0.39,3=0.11,4=0.01	200	641
bolagsstämma	0.0	0.0	0	0.0	0	0	0	0	0	1.5370919881305638	1=0.55,2=0.36,3=0.08,4=0.00	200	518
bröllop	1.5	0.002976190476190476	3	0.008928571428571428	0	3	0	0	2	1.6124260355029585	1=0.52,2=0.37,3=0.10,4=0.01	200	545
by	1.5	0.003257328990228013	1	0.003257328990228013	1	0	1	0	24	1.565982404692082	1=0.56,2=0.34,3=0.09,4=0.02	200	534
central	63.5	0.0699724517906336	108	0.17851239669421487	64	44	16	0	18	1.7208588957055215	1=0.55,2=0.24,3=0.17,4=0.04,5=0.01	200	1122
dun	6.5	0.016602809706257982	7	0.02681992337164751	1	6	1	0	76	1.5294117647058822	1=0.55,2=0.38,3=0.05,4=0.01,5=0.00	200	598
fack	34.5	0.04181818181818182	42	0.07636363636363637	29	13	3	0	94	1.5172413793103448	1=0.60,2=0.30,3=0.08,4=0.02,5=0.00	200	1540
fången	1.5	0.003952569169960474	4	0.015810276679841896	1	3	10	0	2	1.6313725490196078	1=0.54,2=0.32,3=0.12,4=0.02	197	416
färg	18.0	0.027649769585253458	25	0.0576036866359447	9	16	0	0	5	1.6794582392776525	1=0.53,2=0.31,3=0.12,4=0.03,5=0.01	200	744
förhandling	2.0	0.00392156862745098	2	0.0058823529411764705	0	2	0	0	1	1.54093567251462	1=0.57,2=0.32,3=0.11	195	527
framlida	6.0	0.018779342723004695	4	0.018779342723004695	3	1	5	1	121	1.5303292894280762	1=0.56,2=0.35,3=0.07,4=0.01,5=0.00	200	883
gagn	1.5	0.003048780487804878	1	0.003048780487804878	0	1	0	0	5	1.5548961424332344	1=0.54,2=0.37,3=0.09	200	524
gloria	35.0	0.039414414414414414	76	0.12837837837837837	61	15	19	0	72	1.5783718104495748	1=0.57,2=0.31,3=0.10,4=0.02,5=0.00	200	1299
granskare	20.5	0.04408602150537634	25	0.08064516129032258	0	25	0	0	52	1.6415525114155252	1=0.53,2=0.34,3=0.09,4=0.03,5=0.00	189	719
ingående	54.0	0.038502673796791446	121	0.12941176470588237	119	2	630	0	5	1.636552440290758	1=0.56,2=0.27,3=0.13,4=0.03,5=0.00	200	1576
jordisk	2.0	0.005249343832020997	4	0.015748031496062992	1	3	1	0	6	1.5475285171102662	1=0.58,2=0.30,3=0.12,4=0.00	200	407
kemisk	4.5	0.007853403141361256	9	0.02356020942408377	0	9	0	0	1	1.5974025974025974	1=0.52,2=0.38,3=0.08,4=0.02	200	615
kokärt	0.0	0.0	0	0.0	0	0	0	0	0	1.5398230088495575	1=0.55,2=0.37,3=0.08,4=0.00	200	522
konduktör	22.0	0.03551251008878128	23	0.05569007263922518	15	8	19	0	2	1.6047619047619048	1=0.53,2=0.34,3=0.12,4=0.01	200	674
krita	28.5	0.03807615230460922	42	0.0841683366733467	32	10	13	0	50	1.5580693815987934	1=0.56,2=0.33,3=0.08,4=0.02,5=0.00	200	1033
ledning	8.5	0.01456726649528706	17	0.043701799485861184	7	10	0	0	66	1.5648	1=0.56,2=0.34,3=0.08,4=0.02,5=0.00	200	978
medium	48.0	0.038882138517618466	58	0.07047387606318348	53	5	176	11	22	1.533112582781457	1=0.59,2=0.30,3=0.09,4=0.01,5=0.00	200	1389
mode	10.5	0.02564102564102564	18	0.06593406593406594	5	13	25	0	89	1.5290322580645161	1=0.60,2=0.29,3=0.09,4=0.02,5=0.00	200	711
motiv	26.0	0.030144927536231884	33	0.057391304347826085	17	16	1	0	11	1.6775777414075286	1=0.52,2=0.32,3=0.11,4=0.04,5=0.00	200	1025
notis	19.0	0.017094017094017096	31	0.04183535762483131	16	15	0	0	13	1.6058673469387754	1=0.55,2=0.33,3=0.09,4=0.03,5=0.00	200	1259
sittning	23.5	0.053837342497136315	33	0.1134020618556701	30	3	44	0	133	1.627388535031847	1=0.54,2=0.34,3=0.10,4=0.02,5=0.01	189	1022
stöt	61.5	0.04500548847420417	108	0.11855104281009879	75	33	49	0	89	1.527434842249657	1=0.61,2=0.28,3=0.09,4=0.02,5=0.01,6=0.00	200	2227
studie	17.0	0.02641802641802642	25	0.05827505827505827	15	10	0	0	2	1.6836027713625865	1=0.51,2=0.34,3=0.11,4=0.03,5=0.01	200	729
undertrycka	28.5	0.042600896860986545	52	0.11659192825112108	20	32	63	1	5	1.6997840172786176	1=0.52,2=0.32,3=0.11,4=0.04,5=0.01	200	787
uppfattning	18.5	0.03670634920634921	21	0.0625	6	15	9	0	17	1.5967302452316077	1=0.53,2=0.36,3=0.10,4=0.01,5=0.00	183	586
uppfostran	0.0	0.0	0	0.0	0	0	0	0	2	1.5591715976331362	1=0.54,2=0.36,3=0.09,4=0.00	200	527
uppläggning	61.5	0.06446540880503145	96	0.1509433962264151	63	33	152	4	0	1.5351014040561624	1=0.62,2=0.25,3=0.11,4=0.02,5=0.00	200	984
uppslag	12.5	0.008512087163772558	15	0.015321756894790603	13	2	1243	0	0	1.5666327568667344	1=0.55,2=0.35,3=0.08,4=0.02	197	1540
